; Candidate 6421
; ADRP+ADD at VM 0xfffffff00882a294 (fileoff 0x1826294): page=0x1fe9bf000 add_imm=0xe80

0xfffffff00882a214: 88032837  tbnz	w8, #5, #0xfffffff00882a284
0xfffffff00882a218: a80240b9  ldr	w8, [x21]
0xfffffff00882a21c: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff00882a220: e8430191  add	x8, sp, #0x50
0xfffffff00882a224: e80300f9  str	x8, [sp]
0xfffffff00882a228: a04ffff0  adrp	x0, #0xfffffff007221000
0xfffffff00882a22c: 00703891  add	x0, x0, #0xe1c
0xfffffff00882a230: 8c34d697  bl	#0xfffffff007db7460
0xfffffff00882a234: 20000014  b	#0xfffffff00882a2b4
0xfffffff00882a238: dd270294  bl	#0xfffffff0088b41ac
0xfffffff00882a23c: f70300aa  mov	x23, x0
0xfffffff00882a240: e00316aa  mov	x0, x22
0xfffffff00882a244: 83450194  bl	#0xfffffff00887b850
0xfffffff00882a248: a80240b9  ldr	w8, [x21]
0xfffffff00882a24c: f52302a9  stp	x21, x8, [sp, #0x20]
0xfffffff00882a250: e8430191  add	x8, sp, #0x50
0xfffffff00882a254: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882a258: e80314aa  mov	x8, x20
0xfffffff00882a25c: f72300a9  stp	x23, x8, [sp]
0xfffffff00882a260: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882a264: 00003a91  add	x0, x0, #0xe80
0xfffffff00882a268: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882a26c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882a270: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882a274: 63280291  add	x3, x3, #0x8a
0xfffffff00882a278: 02008052  mov	w2, #0
0xfffffff00882a27c: ad23ec97  bl	#0xfffffff008333130
0xfffffff00882a280: 0d000014  b	#0xfffffff00882a2b4
0xfffffff00882a284: a80240b9  ldr	w8, [x21]
0xfffffff00882a288: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff00882a28c: e8430191  add	x8, sp, #0x50
0xfffffff00882a290: e80300f9  str	x8, [sp]
0xfffffff00882a294: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882a298: 00003a91  add	x0, x0, #0xe80
0xfffffff00882a29c: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882a2a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882a2a4: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882a2a8: 63a80191  add	x3, x3, #0x6a
0xfffffff00882a2ac: 02008052  mov	w2, #0
0xfffffff00882a2b0: a023ec97  bl	#0xfffffff008333130
0xfffffff00882a2b4: a80240b9  ldr	w8, [x21]
0xfffffff00882a2b8: 1f050071  cmp	w8, #1
0xfffffff00882a2bc: 4b0a0054  b.lt	#0xfffffff00882a404
0xfffffff00882a2c0: 1a0080d2  mov	x26, #0
0xfffffff00882a2c4: e803134b  neg	w8, w19
0xfffffff00882a2c8: bb220091  add	x27, x21, #8
0xfffffff00882a2cc: 08011b12  and	w8, w8, #0x20
0xfffffff00882a2d0: e84f00b9  str	w8, [sp, #0x4c]
0xfffffff00882a2d4: f70314aa  mov	x23, x20
0xfffffff00882a2d8: e00314aa  mov	x0, x20
0xfffffff00882a2dc: e10316aa  mov	x1, x22
0xfffffff00882a2e0: 3c450194  bl	#0xfffffff00887b7d0
0xfffffff00882a2e4: 60080034  cbz	w0, #0xfffffff00882a3f0
0xfffffff00882a2e8: e00314aa  mov	x0, x20
0xfffffff00882a2ec: 4b450194  bl	#0xfffffff00887b818
0xfffffff00882a2f0: 7302f837  tbnz	w19, #0x1f, #0xfffffff00882a33c
0xfffffff00882a2f4: 78021b12  and	w24, w19, #0x20
0xfffffff00882a2f8: 1c000052  eor	w28, w0, #1
0xfffffff00882a2fc: ac270294  bl	#0xfffffff0088b41ac
0xfffffff00882a300: f90300aa  mov	x25, x0
0xfffffff00882a304: e00316aa  mov	x0, x22
0xfffffff00882a308: 52450194  bl	#0xfffffff00887b850
0xfffffff00882a30c: 8817582a  orr	w8, w28, w24, lsr #5
0xfffffff00882a310: e8020037  tbnz	w8, #0, #0xfffffff00882a36c
