; Candidate 3685
; ADRP+ADD at VM 0xfffffff00874dfb4 (fileoff 0x1749fb4): page=0x1fe9e4000 add_imm=0xd90

0xfffffff00874df34: 8fa5ff97  bl	#0xfffffff008737570
0xfffffff00874df38: 600a00f9  str	x0, [x19, #0x10]
0xfffffff00874df3c: e00314aa  mov	x0, x20
0xfffffff00874df40: e10313aa  mov	x1, x19
0xfffffff00874df44: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00874df48: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00874df4c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00874df50: ff430191  add	sp, sp, #0x50
0xfffffff00874df54: ff2303d5  autibsp	
0xfffffff00874df58: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00874df5c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00874df64
0xfffffff00874df60: 208e38d4  brk	#0xc471
0xfffffff00874df64: 02030014  b	#0xfffffff00874eb6c
0xfffffff00874df68: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff00874df6c: e2a300a9  stp	x2, x8, [sp, #8]
0xfffffff00874df70: f60300f9  str	x22, [sp]
0xfffffff00874df74: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874df78: 00403691  add	x0, x0, #0xd90
0xfffffff00874df7c: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874df80: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874df84: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874df88: 63c42691  add	x3, x3, #0x9b1
0xfffffff00874df8c: 02008052  mov	w2, #0
0xfffffff00874df90: 6894ef97  bl	#0xfffffff008333130
0xfffffff00874df94: 10000014  b	#0xfffffff00874dfd4
0xfffffff00874df98: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff00874df9c: 690a40b9  ldr	w9, [x19, #8]
0xfffffff00874dfa0: 6a2240b9  ldr	w10, [x19, #0x20]
0xfffffff00874dfa4: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff00874dfa8: 4850fff0  adrp	x8, #0xfffffff007158000
0xfffffff00874dfac: 08cd2b91  add	x8, x8, #0xaf3
0xfffffff00874dfb0: e82700a9  stp	x8, x9, [sp]
0xfffffff00874dfb4: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874dfb8: 00403691  add	x0, x0, #0xd90
0xfffffff00874dfbc: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874dfc0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874dfc4: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874dfc8: 633c2891  add	x3, x3, #0xa0f
0xfffffff00874dfcc: 02008052  mov	w2, #0
0xfffffff00874dfd0: 5894ef97  bl	#0xfffffff008333130
0xfffffff00874dfd4: 20008052  mov	w0, #1
0xfffffff00874dfd8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00874dfdc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00874dfe0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00874dfe4: ff430191  add	sp, sp, #0x50
0xfffffff00874dfe8: ff0f5fd6  retab	
0xfffffff00874dfec: 7f2303d5  pacibsp	
0xfffffff00874dff0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00874dff4: fd030091  mov	x29, sp
0xfffffff00874dff8: 000440f9  ldr	x0, [x0, #8]
0xfffffff00874dffc: 210840b9  ldr	w1, [x1, #8]
0xfffffff00874e000: 100040f9  ldr	x16, [x0]
0xfffffff00874e004: f10300aa  mov	x17, x0
0xfffffff00874e008: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff00874e00c: 301ac1da  autda	x16, x17
0xfffffff00874e010: 080e41f8  ldr	x8, [x16, #0x10]!
0xfffffff00874e014: e90310aa  mov	x9, x16
0xfffffff00874e018: f10309aa  mov	x17, x9
0xfffffff00874e01c: 31d3fef2  movk	x17, #0xf699, lsl #48
0xfffffff00874e020: 11093fd7  blraa	x8, x17
0xfffffff00874e024: 00008052  mov	w0, #0
0xfffffff00874e028: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00874e02c: ff0f5fd6  retab	
0xfffffff00874e030: 7f2303d5  pacibsp	
