; Candidate 16722
; ADRP+ADD at VM 0xfffffff009f35364 (fileoff 0x2f31364): page=0x1fde03000 add_imm=0xed8

0xfffffff009f352e4: 94222a91  add	x20, x20, #0xa88
0xfffffff009f352e8: 210100b4  cbz	x1, #0xfffffff009f3530c
0xfffffff009f352ec: 68b242b9  ldr	w8, [x19, #0x2b0]
0xfffffff009f352f0: e90f08cb  neg	x9, x8, lsl #3
0xfffffff009f352f4: 890229f8  ldadd	x9, x9, [x20]
0xfffffff009f352f8: 02f17dd3  lsl	x2, x8, #3
0xfffffff009f352fc: 7f5e01f9  str	xzr, [x19, #0x2b8]
0xfffffff009f35300: 20f0fed0  adrp	x0, #0xfffffff007d3b000
0xfffffff009f35304: 00603191  add	x0, x0, #0xc58
0xfffffff009f35308: b8869097  bl	#0xfffffff008356de8
0xfffffff009f3530c: e00313aa  mov	x0, x19
0xfffffff009f35310: 43fcff97  bl	#0xfffffff009f3441c
0xfffffff009f35314: 61b241f9  ldr	x1, [x19, #0x360]
0xfffffff009f35318: 010100b4  cbz	x1, #0xfffffff009f35338
0xfffffff009f3531c: e8ff8092  mov	x8, #-0x800
0xfffffff009f35320: 880228f8  ldadd	x8, x8, [x20]
0xfffffff009f35324: 7fb201f9  str	xzr, [x19, #0x360]
0xfffffff009f35328: 20f0fed0  adrp	x0, #0xfffffff007d3b000
0xfffffff009f3532c: 00a03291  add	x0, x0, #0xca8
0xfffffff009f35330: 02008152  mov	w2, #0x800
0xfffffff009f35334: ad869097  bl	#0xfffffff008356de8
0xfffffff009f35338: 60c20591  add	x0, x19, #0x170
0xfffffff009f3533c: e82400f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f35340: 01c944f9  ldr	x1, [x8, #0x990]
0xfffffff009f35344: a5d97997  bl	#0xfffffff007dab9d8
0xfffffff009f35348: 60c20391  add	x0, x19, #0xf0
0xfffffff009f3534c: f52400f0  adrp	x21, #0xfffffff00a3d4000
0xfffffff009f35350: a1ce44f9  ldr	x1, [x21, #0x998]
0xfffffff009f35354: aedf7997  bl	#0xfffffff007dad20c
0xfffffff009f35358: a1ce44f9  ldr	x1, [x21, #0x998]
0xfffffff009f3535c: e00313aa  mov	x0, x19
0xfffffff009f35360: abdf7997  bl	#0xfffffff007dad20c
0xfffffff009f35364: 00f0fef0  adrp	x0, #0xfffffff007d38000
0xfffffff009f35368: 00603b91  add	x0, x0, #0xed8
0xfffffff009f3536c: e10313aa  mov	x1, x19
0xfffffff009f35370: e7849097  bl	#0xfffffff00835670c
0xfffffff009f35374: e8a18092  mov	x8, #-0x510
0xfffffff009f35378: 880228f8  ldadd	x8, x8, [x20]
0xfffffff009f3537c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009f35380: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009f35384: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009f35388: ff430191  add	sp, sp, #0x50
0xfffffff009f3538c: ff0f5fd6  retab	
0xfffffff009f35390: 087e8352  mov	w8, #0x1bf0
0xfffffff009f35394: 49c9fe90  adrp	x9, #0xfffffff00785d000
0xfffffff009f35398: 293d3f91  add	x9, x9, #0xfcf
0xfffffff009f3539c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009f353a0: f32300a9  stp	x19, x8, [sp]
0xfffffff009f353a4: 40c9feb0  adrp	x0, #0xfffffff00785e000
0xfffffff009f353a8: 00140f91  add	x0, x0, #0x3c5
0xfffffff009f353ac: 587c9597  bl	#0xfffffff00849450c
0xfffffff009f353b0: 087e8352  mov	w8, #0x1bf0
0xfffffff009f353b4: 49c9fe90  adrp	x9, #0xfffffff00785d000
0xfffffff009f353b8: 293d3f91  add	x9, x9, #0xfcf
0xfffffff009f353bc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009f353c0: f32300a9  stp	x19, x8, [sp]
0xfffffff009f353c4: 40c9feb0  adrp	x0, #0xfffffff00785e000
0xfffffff009f353c8: 00580e91  add	x0, x0, #0x396
0xfffffff009f353cc: 507c9597  bl	#0xfffffff00849450c
0xfffffff009f353d0: 7f2303d5  pacibsp	
0xfffffff009f353d4: ffc302d1  sub	sp, sp, #0xb0
0xfffffff009f353d8: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff009f353dc: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff009f353e0: f85f07a9  stp	x24, x23, [sp, #0x70]
