; Candidate 6150
; ADRP+ADD at VM 0xfffffff0088176a0 (fileoff 0x18136a0): page=0x1fe9d2000 add_imm=0xe80

0xfffffff008817620: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008817624: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008817628: 880e8052  mov	w8, #0x74
0xfffffff00881762c: 2050fff0  adrp	x0, #0xfffffff00721e000
0xfffffff008817630: 00703791  add	x0, x0, #0xddc
0xfffffff008817634: fb2300a9  stp	x27, x8, [sp]
0xfffffff008817638: 8a7fd697  bl	#0xfffffff007db7460
0xfffffff00881763c: d7000014  b	#0xfffffff008817998
0xfffffff008817640: db720294  bl	#0xfffffff0088b41ac
0xfffffff008817644: fb0300aa  mov	x27, x0
0xfffffff008817648: 80008052  mov	w0, #4
0xfffffff00881764c: 81900194  bl	#0xfffffff00887b850
0xfffffff008817650: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008817654: e83700f9  str	x8, [sp, #0x68]
0xfffffff008817658: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff00881765c: e83300f9  str	x8, [sp, #0x60]
0xfffffff008817660: e8031aaa  mov	x8, x26
0xfffffff008817664: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff008817668: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff00881766c: f86704a9  stp	x24, x25, [sp, #0x40]
0xfffffff008817670: f65f03a9  stp	x22, x23, [sp, #0x30]
0xfffffff008817674: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817678: 08113691  add	x8, x8, #0xd84
0xfffffff00881767c: a9ff8052  mov	w9, #0x7fd
0xfffffff008817680: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008817684: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817688: 080d3491  add	x8, x8, #0xd03
0xfffffff00881768c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008817690: 880e8052  mov	w8, #0x74
0xfffffff008817694: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff008817698: 63a42c91  add	x3, x3, #0xb29
0xfffffff00881769c: fb2300a9  stp	x27, x8, [sp]
0xfffffff0088176a0: 804effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088176a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088176a8: 818fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088176ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088176b0: 02008052  mov	w2, #0
0xfffffff0088176b4: 9f6eec97  bl	#0xfffffff008333130
0xfffffff0088176b8: 1b7d8012  mov	w27, #-0x3e9
0xfffffff0088176bc: 800e8052  mov	w0, #0x74
0xfffffff0088176c0: c1008052  mov	w1, #6
0xfffffff0088176c4: 43900194  bl	#0xfffffff00887b7d0
0xfffffff0088176c8: c0080034  cbz	w0, #0xfffffff0088177e0
0xfffffff0088176cc: b30318f8  stur	x19, [x29, #-0x80]
0xfffffff0088176d0: f30314aa  mov	x19, x20
0xfffffff0088176d4: f40315aa  mov	x20, x21
0xfffffff0088176d8: f50319aa  mov	x21, x25
0xfffffff0088176dc: 800e8052  mov	w0, #0x74
0xfffffff0088176e0: 4e900194  bl	#0xfffffff00887b818
0xfffffff0088176e4: f90300aa  mov	x25, x0
0xfffffff0088176e8: b1720294  bl	#0xfffffff0088b41ac
0xfffffff0088176ec: fc0300aa  mov	x28, x0
0xfffffff0088176f0: c0008052  mov	w0, #6
0xfffffff0088176f4: 57900194  bl	#0xfffffff00887b850
0xfffffff0088176f8: 39030034  cbz	w25, #0xfffffff00881775c
0xfffffff0088176fc: fb4300f9  str	x27, [sp, #0x80]
0xfffffff008817700: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008817704: e83f00f9  str	x8, [sp, #0x78]
0xfffffff008817708: a88358f8  ldur	x8, [x29, #-0x78]
0xfffffff00881770c: e83b00f9  str	x8, [sp, #0x70]
0xfffffff008817710: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff008817714: e83700f9  str	x8, [sp, #0x68]
0xfffffff008817718: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff00881771c: e8031aaa  mov	x8, x26
