; Candidate 10996
; ADRP+ADD at VM 0xfffffff008df07e0 (fileoff 0x1dec7e0): page=0x1fe5d4000 add_imm=0xd54

0xfffffff008df0760: 1f290071  cmp	w8, #0xa
0xfffffff008df0764: a8000054  b.hi	#0xfffffff008df0778
0xfffffff008df0768: fb6b00a9  stp	x27, x26, [sp]
0xfffffff008df076c: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0770: 00843491  add	x0, x0, #0xd21
0xfffffff008df0774: 2b9ad597  bl	#0xfffffff008357020
0xfffffff008df0778: f86700a9  stp	x24, x25, [sp]
0xfffffff008df077c: 61a800f0  adrp	x1, #0xfffffff00a2ff000
0xfffffff008df0780: 21c03091  add	x1, x1, #0xc30
0xfffffff008df0784: 70ffffd0  adrp	x16, #0xfffffff008dde000
0xfffffff008df0788: 10d20e91  add	x16, x16, #0x3b4
0xfffffff008df078c: 519081d2  mov	x17, #0xc82
0xfffffff008df0790: 3002c1da  pacia	x16, x17
0xfffffff008df0794: e00310aa  mov	x0, x16
0xfffffff008df0798: e20317aa  mov	x2, x23
0xfffffff008df079c: e30316aa  mov	x3, x22
0xfffffff008df07a0: 04008052  mov	w4, #0
0xfffffff008df07a4: e50315aa  mov	x5, x21
0xfffffff008df07a8: e60314aa  mov	x6, x20
0xfffffff008df07ac: e70313aa  mov	x7, x19
0xfffffff008df07b0: 43bdff97  bl	#0xfffffff008ddfcbc
0xfffffff008df07b4: f30300aa  mov	x19, x0
0xfffffff008df07b8: 1f000071  cmp	w0, #0
0xfffffff008df07bc: c8088052  mov	w8, #0x46
0xfffffff008df07c0: 49018052  mov	w9, #0xa
0xfffffff008df07c4: 2801881a  csel	w8, w9, w8, eq
0xfffffff008df07c8: 89476c39  ldrb	w9, [x28, #0xb11]
0xfffffff008df07cc: 1f01096b  cmp	w8, w9
0xfffffff008df07d0: e3000054  b.lo	#0xfffffff008df07ec
0xfffffff008df07d4: 687e4093  sxtw	x8, w19
0xfffffff008df07d8: fb6b00a9  stp	x27, x26, [sp]
0xfffffff008df07dc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df07e0: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df07e4: 00503591  add	x0, x0, #0xd54
0xfffffff008df07e8: 0e9ad597  bl	#0xfffffff008357020
0xfffffff008df07ec: e00313aa  mov	x0, x19
0xfffffff008df07f0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008df07f4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008df07f8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008df07fc: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008df0800: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008df0804: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff008df0808: ff030291  add	sp, sp, #0x80
0xfffffff008df080c: ff0f5fd6  retab	
0xfffffff008df0810: 7f2303d5  pacibsp	
0xfffffff008df0814: ff4302d1  sub	sp, sp, #0x90
0xfffffff008df0818: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff008df081c: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008df0820: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008df0824: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008df0828: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008df082c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008df0830: fd030291  add	x29, sp, #0x80
0xfffffff008df0834: f90305aa  mov	x25, x5
0xfffffff008df0838: f80304aa  mov	x24, x4
0xfffffff008df083c: f40303aa  mov	x20, x3
0xfffffff008df0840: f50302aa  mov	x21, x2
0xfffffff008df0844: f60301aa  mov	x22, x1
0xfffffff008df0848: f70300aa  mov	x23, x0
0xfffffff008df084c: 7ca800f0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008df0850: 88476c39  ldrb	w8, [x28, #0xb11]
0xfffffff008df0854: ba2eff90  adrp	x26, #0xfffffff0073c4000
0xfffffff008df0858: 5a3f3d91  add	x26, x26, #0xf4f
0xfffffff008df085c: bb2eff90  adrp	x27, #0xfffffff0073c4000
