; Candidate 5653
; ADRP+ADD at VM 0xfffffff0087fed48 (fileoff 0x17fad48): page=0x1fe9eb000 add_imm=0xe80

0xfffffff0087fecc8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087feccc: e80313aa  mov	x8, x19
0xfffffff0087fecd0: c050ffd0  adrp	x0, #0xfffffff007218000
0xfffffff0087fecd4: 00fc0791  add	x0, x0, #0x1ff
0xfffffff0087fecd8: f62300a9  stp	x22, x8, [sp]
0xfffffff0087fecdc: 0c000014  b	#0xfffffff0087fed0c
0xfffffff0087fece0: 60040034  cbz	w0, #0xfffffff0087fed6c
0xfffffff0087fece4: e803154b  neg	w8, w21
0xfffffff0087fece8: 28042837  tbnz	w8, #5, #0xfffffff0087fed6c
0xfffffff0087fecec: 08334b39  ldrb	w8, [x24, #0x2cc]
0xfffffff0087fecf0: 09374b39  ldrb	w9, [x24, #0x2cd]
0xfffffff0087fecf4: 0a3b4b39  ldrb	w10, [x24, #0x2ce]
0xfffffff0087fecf8: 0b3f4b39  ldrb	w11, [x24, #0x2cf]
0xfffffff0087fecfc: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff0087fed00: e82700a9  stp	x8, x9, [sp]
0xfffffff0087fed04: c050ffd0  adrp	x0, #0xfffffff007218000
0xfffffff0087fed08: 00440691  add	x0, x0, #0x191
0xfffffff0087fed0c: d5e1d697  bl	#0xfffffff007db7460
0xfffffff0087fed10: 25000014  b	#0xfffffff0087feda4
0xfffffff0087fed14: 26d50294  bl	#0xfffffff0088b41ac
0xfffffff0087fed18: f60300aa  mov	x22, x0
0xfffffff0087fed1c: e00314aa  mov	x0, x20
0xfffffff0087fed20: ccf20194  bl	#0xfffffff00887b850
0xfffffff0087fed24: 08334b39  ldrb	w8, [x24, #0x2cc]
0xfffffff0087fed28: 09374b39  ldrb	w9, [x24, #0x2cd]
0xfffffff0087fed2c: 0a3b4b39  ldrb	w10, [x24, #0x2ce]
0xfffffff0087fed30: 0b3f4b39  ldrb	w11, [x24, #0x2cf]
0xfffffff0087fed34: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0087fed38: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087fed3c: e80313aa  mov	x8, x19
0xfffffff0087fed40: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fed44: f60300f9  str	x22, [sp]
0xfffffff0087fed48: 404ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fed4c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fed50: 4190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fed54: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fed58: 2352ff90  adrp	x3, #0xfffffff007242000
0xfffffff0087fed5c: 63a82991  add	x3, x3, #0xa6a
0xfffffff0087fed60: 02008052  mov	w2, #0
0xfffffff0087fed64: f3d0ec97  bl	#0xfffffff008333130
0xfffffff0087fed68: 0f000014  b	#0xfffffff0087feda4
0xfffffff0087fed6c: 08334b39  ldrb	w8, [x24, #0x2cc]
0xfffffff0087fed70: 09374b39  ldrb	w9, [x24, #0x2cd]
0xfffffff0087fed74: 0a3b4b39  ldrb	w10, [x24, #0x2ce]
0xfffffff0087fed78: 0b3f4b39  ldrb	w11, [x24, #0x2cf]
0xfffffff0087fed7c: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff0087fed80: e82700a9  stp	x8, x9, [sp]
0xfffffff0087fed84: 404ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fed88: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fed8c: 4190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fed90: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fed94: 2352ff90  adrp	x3, #0xfffffff007242000
0xfffffff0087fed98: 63f42791  add	x3, x3, #0x9fd
0xfffffff0087fed9c: 02008052  mov	w2, #0
0xfffffff0087feda0: e4d0ec97  bl	#0xfffffff008333130
0xfffffff0087feda4: e00313aa  mov	x0, x19
0xfffffff0087feda8: e10314aa  mov	x1, x20
0xfffffff0087fedac: 89f20194  bl	#0xfffffff00887b7d0
0xfffffff0087fedb0: 20090034  cbz	w0, #0xfffffff0087feed4
0xfffffff0087fedb4: e00313aa  mov	x0, x19
0xfffffff0087fedb8: 98f20194  bl	#0xfffffff00887b818
0xfffffff0087fedbc: b502f837  tbnz	w21, #0x1f, #0xfffffff0087fee10
0xfffffff0087fedc0: b7021b12  and	w23, w21, #0x20
0xfffffff0087fedc4: 1a000052  eor	w26, w0, #1
