; Candidate 129
; ADRP+ADD at VM 0xfffffff007e2a0ec (fileoff 0xe260ec): page=0x23cd000 add_imm=0xe2c

0xfffffff007e2a06c: 4c210091  add	x12, x10, #8
0xfffffff007e2a070: 1f010aeb  cmp	x8, x10
0xfffffff007e2a074: 8b018b9a  csel	x11, x12, x11, eq
0xfffffff007e2a078: 690100f9  str	x9, [x11]
0xfffffff007e2a07c: 2b810091  add	x11, x9, #0x20
0xfffffff007e2a080: 3f010aeb  cmp	x9, x10
0xfffffff007e2a084: 49018b9a  csel	x9, x10, x11, eq
0xfffffff007e2a088: 280100f9  str	x8, [x9]
0xfffffff007e2a08c: 7f7e02a9  stp	xzr, xzr, [x19, #0x20]
0xfffffff007e2a090: 68924878  ldurh	w8, [x19, #0x89]
0xfffffff007e2a094: 08791c12  and	w8, w8, #0xfffffff7
0xfffffff007e2a098: 68920878  sturh	w8, [x19, #0x89]
0xfffffff007e2a09c: 081d01f0  adrp	x8, #0xfffffff00a1cd000
0xfffffff007e2a0a0: 091945b9  ldr	w9, [x8, #0x518]
0xfffffff007e2a0a4: 29050051  sub	w9, w9, #1
0xfffffff007e2a0a8: 091905b9  str	w9, [x8, #0x518]
0xfffffff007e2a0ac: 96d038d5  mrs	x22, tpidr_el1
0xfffffff007e2a0b0: c81a44b9  ldr	w8, [x22, #0x418]
0xfffffff007e2a0b4: 381d01f0  adrp	x24, #0xfffffff00a1d1000
0xfffffff007e2a0b8: 18a33491  add	x24, x24, #0xd28
0xfffffff007e2a0bc: e20308aa  mov	x2, x8
0xfffffff007e2a0c0: 1fffa288  casl	w2, wzr, [x24]
0xfffffff007e2a0c4: 5f00086b  cmp	w2, w8
0xfffffff007e2a0c8: e1030054  b.ne	#0xfffffff007e2a144
0xfffffff007e2a0cc: ff060071  cmp	w23, #1
0xfffffff007e2a0d0: 61040054  b.ne	#0xfffffff007e2a15c
0xfffffff007e2a0d4: 77220091  add	x23, x19, #8
0xfffffff007e2a0d8: c81a44b9  ldr	w8, [x22, #0x418]
0xfffffff007e2a0dc: e20308aa  mov	x2, x8
0xfffffff007e2a0e0: fffea288  casl	w2, wzr, [x23]
0xfffffff007e2a0e4: 5f00086b  cmp	w2, w8
0xfffffff007e2a0e8: 41060054  b.ne	#0xfffffff007e2a1b0
0xfffffff007e2a0ec: 601e01b0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e2a0f0: 00b03891  add	x0, x0, #0xe2c
0xfffffff007e2a0f4: 850efe97  bl	#0xfffffff007dadb08
0xfffffff007e2a0f8: 080080d2  mov	x8, #0
0xfffffff007e2a0fc: c91a44b9  ldr	w9, [x22, #0x418]
0xfffffff007e2a100: ca4a41b9  ldr	w10, [x22, #0x148]
0xfffffff007e2a104: 4a050011  add	w10, w10, #1
0xfffffff007e2a108: ca4a01b9  str	w10, [x22, #0x148]
0xfffffff007e2a10c: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007e2a110: e97ee8c8  casa	x8, x9, [x23]
0xfffffff007e2a114: 1f0100f1  cmp	x8, #0
0xfffffff007e2a118: 41050054  b.ne	#0xfffffff007e2a1c0
0xfffffff007e2a11c: e00313aa  mov	x0, x19
0xfffffff007e2a120: e10315aa  mov	x1, x21
0xfffffff007e2a124: 3c020094  bl	#0xfffffff007e2aa14
0xfffffff007e2a128: f50300aa  mov	x21, x0
0xfffffff007e2a12c: 601e01b0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e2a130: 00b03891  add	x0, x0, #0xe2c
0xfffffff007e2a134: 3d11fe97  bl	#0xfffffff007dae628
0xfffffff007e2a138: 9f060071  cmp	w20, #1
0xfffffff007e2a13c: c0010054  b.eq	#0xfffffff007e2a174
0xfffffff007e2a140: 16000014  b	#0xfffffff007e2a198
0xfffffff007e2a144: 201d01f0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2a148: 00803491  add	x0, x0, #0xd20
0xfffffff007e2a14c: e10316aa  mov	x1, x22
0xfffffff007e2a150: 8509fe97  bl	#0xfffffff007dac764
0xfffffff007e2a154: ff060071  cmp	w23, #1
0xfffffff007e2a158: e0fbff54  b.eq	#0xfffffff007e2a0d4
0xfffffff007e2a15c: e00313aa  mov	x0, x19
0xfffffff007e2a160: e10315aa  mov	x1, x21
0xfffffff007e2a164: 2c020094  bl	#0xfffffff007e2aa14
0xfffffff007e2a168: f50300aa  mov	x21, x0
