; Candidate 8801
; ADRP+ADD at VM 0xfffffff0088c55dc (fileoff 0x18c15dc): page=0x1fe924000 add_imm=0xe80

0xfffffff0088c555c: ec3bef97  bl	#0xfffffff00849450c
0xfffffff0088c5560: 7f2303d5  pacibsp	
0xfffffff0088c5564: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c5568: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c556c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c5570: fd030191  add	x29, sp, #0x40
0xfffffff0088c5574: 60008052  mov	w0, #3
0xfffffff0088c5578: a8d8fe97  bl	#0xfffffff00887b818
0xfffffff0088c557c: f40300aa  mov	x20, x0
0xfffffff0088c5580: 0bbbff97  bl	#0xfffffff0088b41ac
0xfffffff0088c5584: dcaafd97  bl	#0xfffffff0088300f4
0xfffffff0088c5588: 94010036  tbz	w20, #0, #0xfffffff0088c55b8
0xfffffff0088c558c: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c5590: 08c92591  add	x8, x8, #0x972
0xfffffff0088c5594: 69308052  mov	w9, #0x183
0xfffffff0088c5598: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c559c: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c55a0: 08812591  add	x8, x8, #0x960
0xfffffff0088c55a4: d0aafd97  bl	#0xfffffff0088300e4
0xfffffff0088c55a8: 404afff0  adrp	x0, #0xfffffff007210000
0xfffffff0088c55ac: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c55b0: acc7d397  bl	#0xfffffff007db7460
0xfffffff0088c55b4: 12000014  b	#0xfffffff0088c55fc
0xfffffff0088c55b8: fdbaff97  bl	#0xfffffff0088b41ac
0xfffffff0088c55bc: c3aafd97  bl	#0xfffffff0088300c8
0xfffffff0088c55c0: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c55c4: 08c92591  add	x8, x8, #0x972
0xfffffff0088c55c8: 69308052  mov	w9, #0x183
0xfffffff0088c55cc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c55d0: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c55d4: 08812591  add	x8, x8, #0x960
0xfffffff0088c55d8: cdaafd97  bl	#0xfffffff00883010c
0xfffffff0088c55dc: 2049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c55e0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c55e4: 018afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c55e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c55ec: 234cfff0  adrp	x3, #0xfffffff00724c000
0xfffffff0088c55f0: 632c3f91  add	x3, x3, #0xfcb
0xfffffff0088c55f4: 02008052  mov	w2, #0
0xfffffff0088c55f8: ceb6e997  bl	#0xfffffff008333130
0xfffffff0088c55fc: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0088c5600: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0088c5604: ff430191  add	sp, sp, #0x50
0xfffffff0088c5608: ff0f5fd6  retab	
0xfffffff0088c560c: 7f2303d5  pacibsp	
0xfffffff0088c5610: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c5614: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c5618: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c561c: fd030191  add	x29, sp, #0x40
0xfffffff0088c5620: 60008052  mov	w0, #3
0xfffffff0088c5624: 7dd8fe97  bl	#0xfffffff00887b818
0xfffffff0088c5628: f40300aa  mov	x20, x0
0xfffffff0088c562c: e0baff97  bl	#0xfffffff0088b41ac
0xfffffff0088c5630: b1aafd97  bl	#0xfffffff0088300f4
0xfffffff0088c5634: 94010036  tbz	w20, #0, #0xfffffff0088c5664
0xfffffff0088c5638: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c563c: 087d2691  add	x8, x8, #0x99f
0xfffffff0088c5640: 89308052  mov	w9, #0x184
0xfffffff0088c5644: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c5648: e84affb0  adrp	x8, #0xfffffff007222000
0xfffffff0088c564c: 08812591  add	x8, x8, #0x960
0xfffffff0088c5650: a5aafd97  bl	#0xfffffff0088300e4
0xfffffff0088c5654: 404afff0  adrp	x0, #0xfffffff007210000
0xfffffff0088c5658: 00d82f91  add	x0, x0, #0xbf6
