; Candidate 10786
; ADRP+ADD at VM 0xfffffff008de68cc (fileoff 0x1de28cc): page=0x1fe5de000 add_imm=0xd21

0xfffffff008de684c: fa030091  mov	x26, sp
0xfffffff008de6850: 4868ffd0  adrp	x8, #0xfffffff007af0000
0xfffffff008de6854: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff008de6858: 080140f9  ldr	x8, [x8]
0xfffffff008de685c: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008de6860: bf0f3429  stp	wzr, w3, [x29, #-0x60]
0xfffffff008de6864: 88008052  mov	w8, #4
0xfffffff008de6868: a88319f8  stur	x8, [x29, #-0x68]
0xfffffff008de686c: f903032a  mov	w25, w3
0xfffffff008de6870: 36130091  add	x22, x25, #4
0xfffffff008de6874: e90316aa  mov	x9, x22
0xfffffff008de6878: 5068ffd0  adrp	x16, #0xfffffff007af0000
0xfffffff008de687c: 108646f9  ldr	x16, [x16, #0xd08]
0xfffffff008de6880: 1f0a3fd6  blraaz	x16
0xfffffff008de6884: e8030091  mov	x8, sp
0xfffffff008de6888: 294f0091  add	x9, x25, #0x13
0xfffffff008de688c: 29717c92  and	x9, x9, #0x1fffffff0
0xfffffff008de6890: 180109cb  sub	x24, x8, x9
0xfffffff008de6894: 1f030091  mov	sp, x24
0xfffffff008de6898: e00318aa  mov	x0, x24
0xfffffff008de689c: e10316aa  mov	x1, x22
0xfffffff008de68a0: a898bd97  bl	#0xfffffff007d4cb40
0xfffffff008de68a4: dba800b0  adrp	x27, #0xfffffff00a2ff000
0xfffffff008de68a8: 7b432c91  add	x27, x27, #0xb10
0xfffffff008de68ac: 68034039  ldrb	w8, [x27]
0xfffffff008de68b0: dc2efff0  adrp	x28, #0xfffffff0073c1000
0xfffffff008de68b4: 9c9f0c91  add	x28, x28, #0x327
0xfffffff008de68b8: 1f290071  cmp	w8, #0xa
0xfffffff008de68bc: 08010054  b.hi	#0xfffffff008de68dc
0xfffffff008de68c0: e82eff90  adrp	x8, #0xfffffff0073c2000
0xfffffff008de68c4: 08b52591  add	x8, x8, #0x96d
0xfffffff008de68c8: fc23bfa9  stp	x28, x8, [sp, #-0x10]!
0xfffffff008de68cc: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de68d0: 00843491  add	x0, x0, #0xd21
0xfffffff008de68d4: d3c1d597  bl	#0xfffffff008357020
0xfffffff008de68d8: ff430091  add	sp, sp, #0x10
0xfffffff008de68dc: 570700b4  cbz	x23, #0xfffffff008de69c4
0xfffffff008de68e0: 730800b4  cbz	x19, #0xfffffff008de69ec
0xfffffff008de68e4: a17301d1  sub	x1, x29, #0x5c
0xfffffff008de68e8: e00318aa  mov	x0, x24
0xfffffff008de68ec: 82008052  mov	w2, #4
0xfffffff008de68f0: e30316aa  mov	x3, x22
0xfffffff008de68f4: d7e4c297  bl	#0xfffffff007e9fc50
0xfffffff008de68f8: 00130091  add	x0, x24, #4
0xfffffff008de68fc: a2435ab8  ldur	w2, [x29, #-0x5c]
0xfffffff008de6900: e10317aa  mov	x1, x23
0xfffffff008de6904: e30319aa  mov	x3, x25
0xfffffff008de6908: d2e4c297  bl	#0xfffffff007e9fc50
0xfffffff008de690c: a58301d1  sub	x5, x29, #0x60
0xfffffff008de6910: a6a301d1  sub	x6, x29, #0x68
0xfffffff008de6914: e00315aa  mov	x0, x21
0xfffffff008de6918: 21028052  mov	w1, #0x11
0xfffffff008de691c: 02008052  mov	w2, #0
0xfffffff008de6920: e30318aa  mov	x3, x24
0xfffffff008de6924: e40316aa  mov	x4, x22
0xfffffff008de6928: 519081d2  mov	x17, #0xc82
0xfffffff008de692c: 910a3fd7  blraa	x20, x17
0xfffffff008de6930: 20080035  cbnz	w0, #0xfffffff008de6a34
0xfffffff008de6934: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff008de6938: 1f1100f1  cmp	x8, #4
0xfffffff008de693c: 210a0054  b.ne	#0xfffffff008de6a80
0xfffffff008de6940: 14008052  mov	w20, #0
0xfffffff008de6944: 28008052  mov	w8, #1
0xfffffff008de6948: 68020039  strb	w8, [x19]
