; Candidate 5150
; ADRP+ADD at VM 0xfffffff0087dbfbc (fileoff 0x17d7fbc): page=0x1fea0e000 add_imm=0xe80

0xfffffff0087dbf3c: 37020034  cbz	w23, #0xfffffff0087dbf80
0xfffffff0087dbf40: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dbf44: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087dbf48: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087dbf4c: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbf50: 09a92f91  add	x9, x8, #0xbea
0xfffffff0087dbf54: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbf58: 081d0291  add	x8, x8, #0x87
0xfffffff0087dbf5c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087dbf60: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087dbf64: 280a8052  mov	w8, #0x51
0xfffffff0087dbf68: a051fff0  adrp	x0, #0xfffffff007212000
0xfffffff0087dbf6c: 000c2191  add	x0, x0, #0x843
0xfffffff0087dbf70: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dbf74: 3b6dd797  bl	#0xfffffff007db7460
0xfffffff0087dbf78: 540300b5  cbnz	x20, #0xfffffff0087dbfe0
0xfffffff0087dbf7c: 23000014  b	#0xfffffff0087dc008
0xfffffff0087dbf80: 8b600394  bl	#0xfffffff0088b41ac
0xfffffff0087dbf84: f60300aa  mov	x22, x0
0xfffffff0087dbf88: c0008052  mov	w0, #6
0xfffffff0087dbf8c: 317e0294  bl	#0xfffffff00887b850
0xfffffff0087dbf90: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dbf94: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087dbf98: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087dbf9c: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbfa0: 09a92f91  add	x9, x8, #0xbea
0xfffffff0087dbfa4: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087dbfa8: 081d0291  add	x8, x8, #0x87
0xfffffff0087dbfac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087dbfb0: 280a8052  mov	w8, #0x51
0xfffffff0087dbfb4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087dbfb8: f60300f9  str	x22, [sp]
0xfffffff0087dbfbc: 6050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dbfc0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dbfc4: 6191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087dbfc8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dbfcc: 0353ffb0  adrp	x3, #0xfffffff00723c000
0xfffffff0087dbfd0: 63d83491  add	x3, x3, #0xd36
0xfffffff0087dbfd4: 02008052  mov	w2, #0
0xfffffff0087dbfd8: 565ced97  bl	#0xfffffff008333130
0xfffffff0087dbfdc: 740100b4  cbz	x20, #0xfffffff0087dc008
0xfffffff0087dbfe0: 550100b4  cbz	x21, #0xfffffff0087dc008
0xfffffff0087dbfe4: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff0087dbfe8: e80400b4  cbz	x8, #0xfffffff0087dc084
0xfffffff0087dbfec: 60aa40f9  ldr	x0, [x19, #0x150]
0xfffffff0087dbff0: a00400b4  cbz	x0, #0xfffffff0087dc084
0xfffffff0087dbff4: 821640b9  ldr	w2, [x20, #0x14]
0xfffffff0087dbff8: e10314aa  mov	x1, x20
0xfffffff0087dbffc: f1000194  bl	#0xfffffff00881c3c0
0xfffffff0087dc000: f60300aa  mov	x22, x0
0xfffffff0087dc004: 7c000014  b	#0xfffffff0087dc1f4
0xfffffff0087dc008: 200a8052  mov	w0, #0x51
0xfffffff0087dc00c: 81008052  mov	w1, #4
0xfffffff0087dc010: f07d0294  bl	#0xfffffff00887b7d0
0xfffffff0087dc014: 000b0034  cbz	w0, #0xfffffff0087dc174
0xfffffff0087dc018: 200a8052  mov	w0, #0x51
0xfffffff0087dc01c: ff7d0294  bl	#0xfffffff00887b818
0xfffffff0087dc020: f70300aa  mov	x23, x0
0xfffffff0087dc024: 62600394  bl	#0xfffffff0088b41ac
0xfffffff0087dc028: f60300aa  mov	x22, x0
0xfffffff0087dc02c: 80008052  mov	w0, #4
0xfffffff0087dc030: 087e0294  bl	#0xfffffff00887b850
0xfffffff0087dc034: b7060034  cbz	w23, #0xfffffff0087dc108
0xfffffff0087dc038: 68ee40b9  ldr	w8, [x19, #0xec]
