; Candidate 2118
; ADRP+ADD at VM 0xfffffff00855c560 (fileoff 0x1558560): page=0x1feb85000 add_imm=0xdd8

0xfffffff00855c4e0: 20a2ffd0  adrp	x0, #0xfffffff0079a2000
0xfffffff00855c4e4: 00001291  add	x0, x0, #0x480
0xfffffff00855c4e8: 01bb8152  mov	w1, #0xdd8
0xfffffff00855c4ec: 532cf697  bl	#0xfffffff0082e7638
0xfffffff00855c4f0: f30300aa  mov	x19, x0
0xfffffff00855c4f4: d4eb00d0  adrp	x20, #0xfffffff00a2d6000
0xfffffff00855c4f8: 94222191  add	x20, x20, #0x848
0xfffffff00855c4fc: e10314aa  mov	x1, x20
0xfffffff00855c500: bc9b4c94  bl	#0xfffffff0098833f0
0xfffffff00855c504: 1f702039  strb	wzr, [x0, #0x81c]
0xfffffff00855c508: 30a2ff90  adrp	x16, #0xfffffff0079a0000
0xfffffff00855c50c: 10e20791  add	x16, x16, #0x1f8
0xfffffff00855c510: 10420091  add	x16, x16, #0x10
0xfffffff00855c514: f10300aa  mov	x17, x0
0xfffffff00855c518: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00855c51c: 300ac1da  pacda	x16, x17
0xfffffff00855c520: 100000f9  str	x16, [x0]
0xfffffff00855c524: 1f8404f9  str	xzr, [x0, #0x908]
0xfffffff00855c528: 1fc02639  strb	wzr, [x0, #0x9b0]
0xfffffff00855c52c: e00314aa  mov	x0, x20
0xfffffff00855c530: 0123f697  bl	#0xfffffff0082e5134
0xfffffff00855c534: e00313aa  mov	x0, x19
0xfffffff00855c538: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00855c53c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00855c540: ff0f5fd6  retab	
0xfffffff00855c544: 5f2403d5  bti	c
0xfffffff00855c548: 6b20f617  b	#0xfffffff0082e46f4
0xfffffff00855c54c: 5f2403d5  bti	c
0xfffffff00855c550: 6920f617  b	#0xfffffff0082e46f4
0xfffffff00855c554: 7f2303d5  pacibsp	
0xfffffff00855c558: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00855c55c: fd030091  mov	x29, sp
0xfffffff00855c560: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c564: 00603791  add	x0, x0, #0xdd8
0xfffffff00855c568: 3433f797  bl	#0xfffffff008329238
0xfffffff00855c56c: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c570: 000d04f9  str	x0, [x8, #0x818]
0xfffffff00855c574: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c578: 00083891  add	x0, x0, #0xe02
0xfffffff00855c57c: 2f33f797  bl	#0xfffffff008329238
0xfffffff00855c580: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c584: 001104f9  str	x0, [x8, #0x820]
0xfffffff00855c588: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c58c: 00883891  add	x0, x0, #0xe22
0xfffffff00855c590: 2a33f797  bl	#0xfffffff008329238
0xfffffff00855c594: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c598: 001504f9  str	x0, [x8, #0x828]
0xfffffff00855c59c: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c5a0: 00e43891  add	x0, x0, #0xe39
0xfffffff00855c5a4: 2533f797  bl	#0xfffffff008329238
0xfffffff00855c5a8: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c5ac: 001904f9  str	x0, [x8, #0x830]
0xfffffff00855c5b0: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c5b4: 004c3991  add	x0, x0, #0xe53
0xfffffff00855c5b8: 2033f797  bl	#0xfffffff008329238
0xfffffff00855c5bc: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c5c0: 001d04f9  str	x0, [x8, #0x838]
0xfffffff00855c5c4: 205cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855c5c8: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00855c5cc: 1b33f797  bl	#0xfffffff008329238
0xfffffff00855c5d0: c8eb00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855c5d4: 002104f9  str	x0, [x8, #0x840]
0xfffffff00855c5d8: c0eb00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff00855c5dc: 00202191  add	x0, x0, #0x848
