; Candidate 515
; ADRP+ADD at VM 0xfffffff007f515e4 (fileoff 0xf4d5e4): page=0x22ec000 add_imm=0xe90

0xfffffff007f51564: 68218152  mov	w8, #0x90b
0xfffffff007f51568: a987ffb0  adrp	x9, #0xfffffff007046000
0xfffffff007f5156c: 29d92791  add	x9, x9, #0x9f6
0xfffffff007f51570: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f51574: f40300a9  stp	x20, x0, [sp]
0xfffffff007f51578: a087ffb0  adrp	x0, #0xfffffff007046000
0xfffffff007f5157c: 00c42b91  add	x0, x0, #0xaf1
0xfffffff007f51580: e30b1594  bl	#0xfffffff00849450c
0xfffffff007f51584: 7f2303d5  pacibsp	
0xfffffff007f51588: ffc302d1  sub	sp, sp, #0xb0
0xfffffff007f5158c: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff007f51590: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff007f51594: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff007f51598: fd830291  add	x29, sp, #0xa0
0xfffffff007f5159c: a81301d0  adrp	x8, #0xfffffff00a1c7000
0xfffffff007f515a0: 08010091  add	x8, x8, #0
0xfffffff007f515a4: 080140f9  ldr	x8, [x8]
0xfffffff007f515a8: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff007f515ac: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007f515b0: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff007f515b4: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff007f515b8: e00b803d  str	q0, [sp, #0x20]
0xfffffff007f515bc: d4028052  mov	w20, #0x16
0xfffffff007f515c0: 1ff80371  cmp	w0, #0xfe
0xfffffff007f515c4: 88060054  b.hi	#0xfffffff007f51694
0xfffffff007f515c8: f50301aa  mov	x21, x1
0xfffffff007f515cc: 410600b4  cbz	x1, #0xfffffff007f51694
0xfffffff007f515d0: a80240b9  ldr	w8, [x21]
0xfffffff007f515d4: 08011f32  orr	w8, w8, #2
0xfffffff007f515d8: 1f0d0071  cmp	w8, #3
0xfffffff007f515dc: 81010054  b.ne	#0xfffffff007f5160c
0xfffffff007f515e0: f30300aa  mov	x19, x0
0xfffffff007f515e4: 60170190  adrp	x0, #0xfffffff00a23d000
0xfffffff007f515e8: 00403a91  add	x0, x0, #0xe90
0xfffffff007f515ec: f170f997  bl	#0xfffffff007dad9b0
0xfffffff007f515f0: 68170190  adrp	x8, #0xfffffff00a23d000
0xfffffff007f515f4: 08c13a91  add	x8, x8, #0xeb0
0xfffffff007f515f8: 095973f8  ldr	x9, [x8, w19, uxtw #3]
0xfffffff007f515fc: 3f0115eb  cmp	x9, x21
0xfffffff007f51600: a0000054  b.eq	#0xfffffff007f51614
0xfffffff007f51604: 34028052  mov	w20, #0x11
0xfffffff007f51608: 1d000014  b	#0xfffffff007f5167c
0xfffffff007f5160c: d4028052  mov	w20, #0x16
0xfffffff007f51610: 21000014  b	#0xfffffff007f51694
0xfffffff007f51614: e903132a  mov	w9, w19
0xfffffff007f51618: 1f7929f8  str	xzr, [x8, x9, lsl #3]
0xfffffff007f5161c: f30300f9  str	x19, [sp]
0xfffffff007f51620: 6288fff0  adrp	x2, #0xfffffff007060000
0xfffffff007f51624: 42d80191  add	x2, x2, #0x76
0xfffffff007f51628: e0830091  add	x0, sp, #0x20
0xfffffff007f5162c: 010a8052  mov	w1, #0x50
0xfffffff007f51630: cba50a94  bl	#0xfffffff0081fad5c
0xfffffff007f51634: a81701d0  adrp	x8, #0xfffffff00a247000
0xfffffff007f51638: 00d947f9  ldr	x0, [x8, #0xfb0]
0xfffffff007f5163c: 100040f9  ldr	x16, [x0]
0xfffffff007f51640: f10300aa  mov	x17, x0
0xfffffff007f51644: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff007f51648: 301ac1da  autda	x16, x17
0xfffffff007f5164c: f10310aa  mov	x17, x16
0xfffffff007f51650: f147c1da  xpacd	x17
0xfffffff007f51654: 1f0211eb  cmp	x16, x17
0xfffffff007f51658: 40000054  b.eq	#0xfffffff007f51660
0xfffffff007f5165c: 408e38d4  brk	#0xc472
0xfffffff007f51660: 08020491  add	x8, x16, #0x100
