; Candidate 8146
; ADRP+ADD at VM 0xfffffff008897900 (fileoff 0x1893900): page=0x1ff176000 add_imm=0xe58

0xfffffff008897880: 00603a91  add	x0, x0, #0xe98
0xfffffff008897884: e10313aa  mov	x1, x19
0xfffffff008897888: a1fbea97  bl	#0xfffffff00835670c
0xfffffff00889788c: e00314aa  mov	x0, x20
0xfffffff008897890: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff008897894: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff008897898: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00889789c: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff0088978a0: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff0088978a4: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff0088978a8: ff830391  add	sp, sp, #0xe0
0xfffffff0088978ac: ff0f5fd6  retab	
0xfffffff0088978b0: 7f2303d5  pacibsp	
0xfffffff0088978b4: ff8303d1  sub	sp, sp, #0xe0
0xfffffff0088978b8: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff0088978bc: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff0088978c0: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff0088978c4: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff0088978c8: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff0088978cc: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff0088978d0: fd430391  add	x29, sp, #0xd0
0xfffffff0088978d4: f80306aa  mov	x24, x6
0xfffffff0088978d8: f70305aa  mov	x23, x5
0xfffffff0088978dc: f60304aa  mov	x22, x4
0xfffffff0088978e0: fa0303aa  mov	x26, x3
0xfffffff0088978e4: fb0302aa  mov	x27, x2
0xfffffff0088978e8: f90301aa  mov	x25, x1
0xfffffff0088978ec: f50300aa  mov	x21, x0
0xfffffff0088978f0: c10600b4  cbz	x1, #0xfffffff0088979c8
0xfffffff0088978f4: ba060034  cbz	w26, #0xfffffff0088979c8
0xfffffff0088978f8: 980600b4  cbz	x24, #0xfffffff0088979c8
0xfffffff0088978fc: 1f0300f9  str	xzr, [x24]
0xfffffff008897900: a08bffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff008897904: 00603991  add	x0, x0, #0xe58
0xfffffff008897908: fbfaea97  bl	#0xfffffff0083564f4
0xfffffff00889790c: f30300aa  mov	x19, x0
0xfffffff008897910: a10a40f9  ldr	x1, [x21, #0x10]
0xfffffff008897914: e7c1ff97  bl	#0xfffffff0088880b0
0xfffffff008897918: 600900b4  cbz	x0, #0xfffffff008897a44
0xfffffff00889791c: a10e40f9  ldr	x1, [x21, #0x18]
0xfffffff008897920: e00313aa  mov	x0, x19
0xfffffff008897924: e20319aa  mov	x2, x25
0xfffffff008897928: e3031aaa  mov	x3, x26
0xfffffff00889792c: e40316aa  mov	x4, x22
0xfffffff008897930: e5031baa  mov	x5, x27
0xfffffff008897934: 060080d2  mov	x6, #0
0xfffffff008897938: edc2ff97  bl	#0xfffffff0088884ec
0xfffffff00889793c: 600f0034  cbz	w0, #0xfffffff008897b28
0xfffffff008897940: f40300aa  mov	x20, x0
0xfffffff008897944: 200e8052  mov	w0, #0x71
0xfffffff008897948: 81008052  mov	w1, #4
0xfffffff00889794c: a18fff97  bl	#0xfffffff00887b7d0
0xfffffff008897950: c03b0034  cbz	w0, #0xfffffff0088980c8
0xfffffff008897954: 200e8052  mov	w0, #0x71
0xfffffff008897958: b08fff97  bl	#0xfffffff00887b818
0xfffffff00889795c: f80300aa  mov	x24, x0
0xfffffff008897960: 13720094  bl	#0xfffffff0088b41ac
0xfffffff008897964: f70300aa  mov	x23, x0
0xfffffff008897968: 80008052  mov	w0, #4
0xfffffff00889796c: b98fff97  bl	#0xfffffff00887b850
0xfffffff008897970: 78180034  cbz	w24, #0xfffffff008897c7c
0xfffffff008897974: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff008897978: e90314aa  mov	x9, x20
0xfffffff00889797c: ff2707a9  stp	xzr, x9, [sp, #0x70]
