; Candidate 13315
; ADRP+ADD at VM 0xfffffff009288f10 (fileoff 0x2284f10): page=0x1fe233000 add_imm=0xe91

0xfffffff009288e90: 81108052  mov	w1, #0x84
0xfffffff009288e94: ac2dc897  bl	#0xfffffff008494544
0xfffffff009288e98: 7f2303d5  pacibsp	
0xfffffff009288e9c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288ea0: fd030091  mov	x29, sp
0xfffffff009288ea4: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288ea8: 00443a91  add	x0, x0, #0xe91
0xfffffff009288eac: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288eb0: 42940191  add	x2, x2, #0x65
0xfffffff009288eb4: 21118052  mov	w1, #0x89
0xfffffff009288eb8: a32dc897  bl	#0xfffffff008494544
0xfffffff009288ebc: 7f2303d5  pacibsp	
0xfffffff009288ec0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288ec4: fd030091  mov	x29, sp
0xfffffff009288ec8: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288ecc: 00443a91  add	x0, x0, #0xe91
0xfffffff009288ed0: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288ed4: 42940191  add	x2, x2, #0x65
0xfffffff009288ed8: c1128052  mov	w1, #0x96
0xfffffff009288edc: 9a2dc897  bl	#0xfffffff008494544
0xfffffff009288ee0: 7f2303d5  pacibsp	
0xfffffff009288ee4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288ee8: fd030091  mov	x29, sp
0xfffffff009288eec: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288ef0: 00443a91  add	x0, x0, #0xe91
0xfffffff009288ef4: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288ef8: 42940191  add	x2, x2, #0x65
0xfffffff009288efc: 41138052  mov	w1, #0x9a
0xfffffff009288f00: 912dc897  bl	#0xfffffff008494544
0xfffffff009288f04: 7f2303d5  pacibsp	
0xfffffff009288f08: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288f0c: fd030091  mov	x29, sp
0xfffffff009288f10: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288f14: 00443a91  add	x0, x0, #0xe91
0xfffffff009288f18: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288f1c: 42dc0391  add	x2, x2, #0xf7
0xfffffff009288f20: 61158052  mov	w1, #0xab
0xfffffff009288f24: 882dc897  bl	#0xfffffff008494544
0xfffffff009288f28: 7f2303d5  pacibsp	
0xfffffff009288f2c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288f30: fd030091  mov	x29, sp
0xfffffff009288f34: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288f38: 00443a91  add	x0, x0, #0xe91
0xfffffff009288f3c: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288f40: 425c0291  add	x2, x2, #0x97
0xfffffff009288f44: 41148052  mov	w1, #0xa2
0xfffffff009288f48: 7f2dc897  bl	#0xfffffff008494544
0xfffffff009288f4c: 7f2303d5  pacibsp	
0xfffffff009288f50: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288f54: fd030091  mov	x29, sp
0xfffffff009288f58: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288f5c: 00443a91  add	x0, x0, #0xe91
0xfffffff009288f60: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288f64: 427c0091  add	x2, x2, #0x1f
0xfffffff009288f68: c10a8052  mov	w1, #0x56
0xfffffff009288f6c: 762dc897  bl	#0xfffffff008494544
0xfffffff009288f70: 7f2303d5  pacibsp	
0xfffffff009288f74: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288f78: fd030091  mov	x29, sp
0xfffffff009288f7c: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288f80: 00443a91  add	x0, x0, #0xe91
0xfffffff009288f84: 8211fff0  adrp	x2, #0xfffffff0074bb000
0xfffffff009288f88: 42fc3f91  add	x2, x2, #0xfff
0xfffffff009288f8c: 810a8052  mov	w1, #0x54
