; Candidate 16383
; ADRP+ADD at VM 0xfffffff009e7e10c (fileoff 0x2e7a10c): page=0x1fd9b5000 add_imm=0xe40

0xfffffff009e7e08c: 145940f9  ldr	x20, [x8, #0xb0]
0xfffffff009e7e090: e00313aa  mov	x0, x19
0xfffffff009e7e094: e10314aa  mov	x1, x20
0xfffffff009e7e098: e20316aa  mov	x2, x22
0xfffffff009e7e09c: e30318aa  mov	x3, x24
0xfffffff009e7e0a0: a4020094  bl	#0xfffffff009e7eb30
0xfffffff009e7e0a4: 40090034  cbz	w0, #0xfffffff009e7e1cc
0xfffffff009e7e0a8: fa0300aa  mov	x26, x0
0xfffffff009e7e0ac: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009e7e0b0: e86b01a9  stp	x8, x26, [sp, #0x10]
0xfffffff009e7e0b4: 694f8052  mov	w9, #0x27b
0xfffffff009e7e0b8: a8cdfeb0  adrp	x8, #0xfffffff007833000
0xfffffff009e7e0bc: 086d2791  add	x8, x8, #0x9db
0xfffffff009e7e0c0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e7e0c4: a0cdfeb0  adrp	x0, #0xfffffff007833000
0xfffffff009e7e0c8: 00a43b91  add	x0, x0, #0xee9
0xfffffff009e7e0cc: fe050094  bl	#0xfffffff009e7f8c4
0xfffffff009e7e0d0: f8031aaa  mov	x24, x26
0xfffffff009e7e0d4: 78000014  b	#0xfffffff009e7e2b4
0xfffffff009e7e0d8: a82a00d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e7e0dc: 08e12791  add	x8, x8, #0x9f8
0xfffffff009e7e0e0: 29008052  mov	w9, #1
0xfffffff009e7e0e4: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009e7e0e8: a82a00d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e7e0ec: 090a8052  mov	w9, #0x50
0xfffffff009e7e0f0: 090105f9  str	x9, [x8, #0xa00]
0xfffffff009e7e0f4: e93340f9  ldr	x9, [sp, #0x60]
0xfffffff009e7e0f8: 084c8052  mov	w8, #0x260
0xfffffff009e7e0fc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e7e100: a8cdfeb0  adrp	x8, #0xfffffff007833000
0xfffffff009e7e104: 086d2791  add	x8, x8, #0x9db
0xfffffff009e7e108: e80300f9  str	x8, [sp]
0xfffffff009e7e10c: a0cdfeb0  adrp	x0, #0xfffffff007833000
0xfffffff009e7e110: 00003991  add	x0, x0, #0xe40
0xfffffff009e7e114: ec050094  bl	#0xfffffff009e7f8c4
0xfffffff009e7e118: 98018052  mov	w24, #0xc
0xfffffff009e7e11c: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff009e7e120: d93b0294  bl	#0xfffffff009f0d084
0xfffffff009e7e124: e03b40f9  ldr	x0, [sp, #0x70]
0xfffffff009e7e128: e9ce0294  bl	#0xfffffff009f31ccc
0xfffffff009e7e12c: e04340f9  ldr	x0, [sp, #0x80]
0xfffffff009e7e130: 400000b4  cbz	x0, #0xfffffff009e7e138
0xfffffff009e7e134: b06c0294  bl	#0xfffffff009f193f4
0xfffffff009e7e138: f43740f9  ldr	x20, [sp, #0x68]
0xfffffff009e7e13c: e03f40f9  ldr	x0, [sp, #0x78]
0xfffffff009e7e140: 9ac17c97  bl	#0xfffffff007dae7a8
0xfffffff009e7e144: e00314aa  mov	x0, x20
0xfffffff009e7e148: adc17c97  bl	#0xfffffff007dae7fc
0xfffffff009e7e14c: e00313aa  mov	x0, x19
0xfffffff009e7e150: 35010094  bl	#0xfffffff009e7e624
0xfffffff009e7e154: 58010035  cbnz	w24, #0xfffffff009e7e17c
0xfffffff009e7e158: f4e78297  bl	#0xfffffff007f38128
0xfffffff009e7e15c: e10300aa  mov	x1, x0
0xfffffff009e7e160: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff009e7e164: e9679652  mov	w9, #0xb33f
0xfffffff009e7e168: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e7e16c: 29008052  mov	w9, #1
0xfffffff009e7e170: e90300f9  str	x9, [sp]
0xfffffff009e7e174: 80008052  mov	w0, #4
0xfffffff009e7e178: 36008397  bl	#0xfffffff007f3e250
0xfffffff009e7e17c: e04b40f9  ldr	x0, [sp, #0x90]
0xfffffff009e7e180: 682d8297  bl	#0xfffffff007f09720
0xfffffff009e7e184: b0fdff17  b	#0xfffffff009e7d844
0xfffffff009e7e188: b40240f9  ldr	x20, [x21]
