; Candidate 4092
; ADRP+ADD at VM 0xfffffff008791ac4 (fileoff 0x178dac4): page=0x1fe9a0000 add_imm=0xd90

0xfffffff008791a44: 2a010aca  eor	x10, x9, x10
0xfffffff008791a48: ca1100b5  cbnz	x10, #0xfffffff008791c80
0xfffffff008791a4c: a911f8b7  tbnz	x9, #0x3f, #0xfffffff008791c80
0xfffffff008791a50: 150500b9  str	w21, [x8, #4]
0xfffffff008791a54: 886e40f9  ldr	x8, [x20, #0xd8]
0xfffffff008791a58: 007d40f9  ldr	x0, [x8, #0xf8]
0xfffffff008791a5c: a00100b4  cbz	x0, #0xfffffff008791a90
0xfffffff008791a60: 770000b4  cbz	x23, #0xfffffff008791a6c
0xfffffff008791a64: e6164029  ldp	w6, w5, [x23]
0xfffffff008791a68: 03000014  b	#0xfffffff008791a74
0xfffffff008791a6c: 06008052  mov	w6, #0
0xfffffff008791a70: 05008052  mov	w5, #0
0xfffffff008791a74: df020071  cmp	w22, #0
0xfffffff008791a78: e2079f1a  cset	w2, ne
0xfffffff008791a7c: 814241b9  ldr	w1, [x20, #0x140]
0xfffffff008791a80: 08168252  mov	w8, #0x10b0
0xfffffff008791a84: 8403088b  add	x4, x28, x8
0xfffffff008791a88: e30318aa  mov	x3, x24
0xfffffff008791a8c: 93790094  bl	#0xfffffff0087b00d8
0xfffffff008791a90: 96020491  add	x22, x20, #0x100
0xfffffff008791a94: e2430291  add	x2, sp, #0x90
0xfffffff008791a98: e00316aa  mov	x0, x22
0xfffffff008791a9c: 01008052  mov	w1, #0
0xfffffff008791aa0: c3008052  mov	w3, #6
0xfffffff008791aa4: 5bc2f197  bl	#0xfffffff008402410
0xfffffff008791aa8: e0010034  cbz	w0, #0xfffffff008791ae4
0xfffffff008791aac: e80315aa  mov	x8, x21
0xfffffff008791ab0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008791ab4: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff008791ab8: 494effd0  adrp	x9, #0xfffffff00715b000
0xfffffff008791abc: 29150491  add	x9, x9, #0x105
0xfffffff008791ac0: e92300a9  stp	x9, x8, [sp]
0xfffffff008791ac4: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff008791ac8: 00403691  add	x0, x0, #0xd90
0xfffffff008791acc: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008791ad0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008791ad4: a34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff008791ad8: 63dc1891  add	x3, x3, #0x637
0xfffffff008791adc: 02008052  mov	w2, #0
0xfffffff008791ae0: 9485ee97  bl	#0xfffffff008333130
0xfffffff008791ae4: 886a69b9  ldr	w8, [x20, #0x2968]
0xfffffff008791ae8: 080d0051  sub	w8, w8, #3
0xfffffff008791aec: 1f050071  cmp	w8, #1
0xfffffff008791af0: 680a0054  b.hi	#0xfffffff008791c3c
0xfffffff008791af4: 803a58f9  ldr	x0, [x20, #0x3070]
0xfffffff008791af8: f567d897  bl	#0xfffffff007dabacc
0xfffffff008791afc: 803258f9  ldr	x0, [x20, #0x3060]
0xfffffff008791b00: 3d0aff97  bl	#0xfffffff0087543f4
0xfffffff008791b04: ff8b00b9  str	wzr, [sp, #0x88]
0xfffffff008791b08: ff4300f9  str	xzr, [sp, #0x80]
0xfffffff008791b0c: bb060011  add	w27, w21, #1
0xfffffff008791b10: 803658f9  ldr	x0, [x20, #0x3068]
0xfffffff008791b14: 610aff97  bl	#0xfffffff008754498
0xfffffff008791b18: a0020037  tbnz	w0, #0, #0xfffffff008791b6c
0xfffffff008791b1c: 15008052  mov	w21, #0
0xfffffff008791b20: f3030291  add	x19, sp, #0x80
0xfffffff008791b24: 7703150b  add	w23, w27, w21
0xfffffff008791b28: 803658f9  ldr	x0, [x20, #0x3068]
0xfffffff008791b2c: 190aff97  bl	#0xfffffff008754390
0xfffffff008791b30: ff02006b  cmp	w23, w0
0xfffffff008791b34: a1010054  b.ne	#0xfffffff008791b68
0xfffffff008791b38: 803258f9  ldr	x0, [x20, #0x3060]
0xfffffff008791b3c: 2e0aff97  bl	#0xfffffff0087543f4
0xfffffff008791b40: 803658f9  ldr	x0, [x20, #0x3068]
