; Candidate 7224
; ADRP+ADD at VM 0xfffffff008861114 (fileoff 0x185d114): page=0x1fe988000 add_imm=0xe80

0xfffffff008861094: 28158052  mov	w8, #0xa9
0xfffffff008861098: 894dff90  adrp	x9, #0xfffffff007211000
0xfffffff00886109c: 29892c91  add	x9, x9, #0xb22
0xfffffff0088610a0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088610a4: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff0088610a8: 08811191  add	x8, x8, #0x460
0xfffffff0088610ac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088610b0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088610b4: 680c8052  mov	w8, #0x63
0xfffffff0088610b8: 204efff0  adrp	x0, #0xfffffff007228000
0xfffffff0088610bc: 00280e91  add	x0, x0, #0x38a
0xfffffff0088610c0: f72300a9  stp	x23, x8, [sp]
0xfffffff0088610c4: e758d597  bl	#0xfffffff007db7460
0xfffffff0088610c8: 74feff17  b	#0xfffffff008860a98
0xfffffff0088610cc: 384c0194  bl	#0xfffffff0088b41ac
0xfffffff0088610d0: f60300aa  mov	x22, x0
0xfffffff0088610d4: 80008052  mov	w0, #4
0xfffffff0088610d8: de690094  bl	#0xfffffff00887b850
0xfffffff0088610dc: e8031aaa  mov	x8, x26
0xfffffff0088610e0: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088610e4: 284efff0  adrp	x8, #0xfffffff007228000
0xfffffff0088610e8: 0a9d0c91  add	x10, x8, #0x327
0xfffffff0088610ec: 68138052  mov	w8, #0x9b
0xfffffff0088610f0: 894dff90  adrp	x9, #0xfffffff007211000
0xfffffff0088610f4: 29892c91  add	x9, x9, #0xb22
0xfffffff0088610f8: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088610fc: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff008861100: 08811191  add	x8, x8, #0x460
0xfffffff008861104: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008861108: 680c8052  mov	w8, #0x63
0xfffffff00886110c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008861110: f60300f9  str	x22, [sp]
0xfffffff008861114: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008861118: 00003a91  add	x0, x0, #0xe80
0xfffffff00886111c: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008861120: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008861124: a34fff90  adrp	x3, #0xfffffff007255000
0xfffffff008861128: 63103791  add	x3, x3, #0xdc4
0xfffffff00886112c: 02008052  mov	w2, #0
0xfffffff008861130: 0048eb97  bl	#0xfffffff008333130
0xfffffff008861134: 5c7d8012  mov	w28, #-0x3eb
0xfffffff008861138: 58feff17  b	#0xfffffff008860a98
0xfffffff00886113c: 1c4c0194  bl	#0xfffffff0088b41ac
0xfffffff008861140: f60300aa  mov	x22, x0
0xfffffff008861144: 80008052  mov	w0, #4
0xfffffff008861148: c2690094  bl	#0xfffffff00887b850
0xfffffff00886114c: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff008861150: e9031caa  mov	x9, x28
0xfffffff008861154: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008861158: e9031aaa  mov	x9, x26
0xfffffff00886115c: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff008861160: 88148052  mov	w8, #0xa4
0xfffffff008861164: 894dff90  adrp	x9, #0xfffffff007211000
0xfffffff008861168: 29892c91  add	x9, x9, #0xb22
0xfffffff00886116c: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff008861170: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff008861174: 08811191  add	x8, x8, #0x460
0xfffffff008861178: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886117c: 680c8052  mov	w8, #0x63
0xfffffff008861180: a34fff90  adrp	x3, #0xfffffff007255000
0xfffffff008861184: 63e43891  add	x3, x3, #0xe39
0xfffffff008861188: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886118c: f60300f9  str	x22, [sp]
0xfffffff008861190: 404cff90  adrp	x0, #0xfffffff0071e9000
