; Candidate 984
; ADRP+ADD at VM 0xfffffff00814c45c (fileoff 0x114845c): page=0x1fef32000 add_imm=0xce8

0xfffffff00814c3dc: e00315aa  mov	x0, x21
0xfffffff00814c3e0: 1621ff97  bl	#0xfffffff008114838
0xfffffff00814c3e4: e83740f9  ldr	x8, [sp, #0x68]
0xfffffff00814c3e8: 081140f9  ldr	x8, [x8, #0x20]
0xfffffff00814c3ec: e02302a9  stp	x0, x8, [sp, #0x20]
0xfffffff00814c3f0: f66701a9  stp	x22, x25, [sp, #0x10]
0xfffffff00814c3f4: e92340f9  ldr	x9, [sp, #0x40]
0xfffffff00814c3f8: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff00814c3fc: e82700a9  stp	x8, x9, [sp]
0xfffffff00814c400: 0076ff90  adrp	x0, #0xfffffff00700c000
0xfffffff00814c404: 00000091  add	x0, x0, #0
0xfffffff00814c408: 610601d0  adrp	x1, #0xfffffff00a21a000
0xfffffff00814c40c: 21502f91  add	x1, x1, #0xbd4
0xfffffff00814c410: 42008052  mov	w2, #2
0xfffffff00814c414: c37bff90  adrp	x3, #0xfffffff0070c4000
0xfffffff00814c418: 63b02391  add	x3, x3, #0x8ec
0xfffffff00814c41c: 459b0794  bl	#0xfffffff008333130
0xfffffff00814c420: a5ffff17  b	#0xfffffff00814c2b4
0xfffffff00814c424: e0031baa  mov	x0, x27
0xfffffff00814c428: 45140094  bl	#0xfffffff00815153c
0xfffffff00814c42c: aeffff17  b	#0xfffffff00814c2e4
0xfffffff00814c430: e0031baa  mov	x0, x27
0xfffffff00814c434: e10313aa  mov	x1, x19
0xfffffff00814c438: 02008052  mov	w2, #0
0xfffffff00814c43c: af7df197  bl	#0xfffffff007dabaf8
0xfffffff00814c440: c4ffff17  b	#0xfffffff00814c350
0xfffffff00814c444: e0031baa  mov	x0, x27
0xfffffff00814c448: e10313aa  mov	x1, x19
0xfffffff00814c44c: c680f197  bl	#0xfffffff007dac764
0xfffffff00814c450: 39f40736  tbz	w25, #0, #0xfffffff00814c2d4
0xfffffff00814c454: c6ffff17  b	#0xfffffff00814c36c
0xfffffff00814c458: f8d9ffb4  cbz	x24, #0xfffffff00814bf94
0xfffffff00814c45c: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814c460: 00a03391  add	x0, x0, #0xce8
0xfffffff00814c464: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814c468: 21942d91  add	x1, x1, #0xb65
0xfffffff00814c46c: 228b8052  mov	w2, #0x459
0xfffffff00814c470: e94c0d94  bl	#0xfffffff00849f814
0xfffffff00814c474: 280d40b9  ldr	w8, [x9, #0xc]
0xfffffff00814c478: 1f010071  cmp	w8, #0
0xfffffff00814c47c: ea079f1a  cset	w10, ne
0xfffffff00814c480: ea4300b9  str	w10, [sp, #0x40]
0xfffffff00814c484: 68010034  cbz	w8, #0xfffffff00814c4b0
0xfffffff00814c488: ff6300f9  str	xzr, [sp, #0xc0]
0xfffffff00814c48c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00814c490: e00305ad  stp	q0, q0, [sp, #0xa0]
0xfffffff00814c494: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff00814c498: 280d40b9  ldr	w8, [x9, #0xc]
0xfffffff00814c49c: 480b0034  cbz	w8, #0xfffffff00814c604
0xfffffff00814c4a0: 28030190  adrp	x8, #0xfffffff00a1b0000
0xfffffff00814c4a4: 177944b9  ldr	w23, [x8, #0x478]
0xfffffff00814c4a8: 28030190  adrp	x8, #0xfffffff00a1b0000
0xfffffff00814c4ac: 5afeff17  b	#0xfffffff00814be14
0xfffffff00814c4b0: 37008052  mov	w23, #1
0xfffffff00814c4b4: 16ffff17  b	#0xfffffff00814c10c
0xfffffff00814c4b8: 48ba8052  mov	w8, #0x5d2
0xfffffff00814c4bc: 8979ffd0  adrp	x9, #0xfffffff00707e000
0xfffffff00814c4c0: 29c93b91  add	x9, x9, #0xef2
0xfffffff00814c4c4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00814c4c8: e12300a9  stp	x1, x8, [sp]
0xfffffff00814c4cc: 407affd0  adrp	x0, #0xfffffff007096000
0xfffffff00814c4d0: 00502c91  add	x0, x0, #0xb14
0xfffffff00814c4d4: 0e200d94  bl	#0xfffffff00849450c
0xfffffff00814c4d8: 00060190  adrp	x0, #0xfffffff00a20c000
