; Candidate 2766
; ADRP+ADD at VM 0xfffffff0086e7438 (fileoff 0x16e3438): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e73b8: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e73bc: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e73c0: 00403691  add	x0, x0, #0xd90
0xfffffff0086e73c4: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e73c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e73cc: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e73d0: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e73d4: 02008052  mov	w2, #0
0xfffffff0086e73d8: 562ff197  bl	#0xfffffff008333130
0xfffffff0086e73dc: 080340f9  ldr	x8, [x24]
0xfffffff0086e73e0: 15050079  strh	w21, [x8, #2]
0xfffffff0086e73e4: bf3e0072  tst	w21, #0xffff
0xfffffff0086e73e8: c0010054  b.eq	#0xfffffff0086e7420
0xfffffff0086e73ec: 090080d2  mov	x9, #0
0xfffffff0086e73f0: 0a114039  ldrb	w10, [x8, #4]
0xfffffff0086e73f4: aa000036  tbz	w10, #0, #0xfffffff0086e7408
0xfffffff0086e73f8: 0b01098b  add	x11, x8, x9
0xfffffff0086e73fc: 0cb54929  ldp	w12, w13, [x8, #0x4c]
0xfffffff0086e7400: 6c6d00b9  str	w12, [x11, #0x6c]
0xfffffff0086e7404: 6d8d00b9  str	w13, [x11, #0x8c]
0xfffffff0086e7408: 00008052  mov	w0, #0
0xfffffff0086e740c: 4a7d0153  lsr	w10, w10, #1
0xfffffff0086e7410: 29110091  add	x9, x9, #4
0xfffffff0086e7414: 3f8100f1  cmp	x9, #0x20
0xfffffff0086e7418: e1feff54  b.ne	#0xfffffff0086e73f4
0xfffffff0086e741c: 33f5ff17  b	#0xfffffff0086e48e8
0xfffffff0086e7420: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0086e7424: 08094039  ldrb	w8, [x8, #2]
0xfffffff0086e7428: e8a50636  tbz	w8, #0, #0xfffffff0086e48e4
0xfffffff0086e742c: 4853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086e7430: 08f90591  add	x8, x8, #0x17e
0xfffffff0086e7434: e80300f9  str	x8, [sp]
0xfffffff0086e7438: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e743c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7440: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7444: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7448: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e744c: 63d42691  add	x3, x3, #0x9b5
0xfffffff0086e7450: 02008052  mov	w2, #0
0xfffffff0086e7454: 372ff197  bl	#0xfffffff008333130
0xfffffff0086e7458: 23f5ff17  b	#0xfffffff0086e48e4
0xfffffff0086e745c: 7f2303d5  pacibsp	
0xfffffff0086e7460: ffc301d1  sub	sp, sp, #0x70
0xfffffff0086e7464: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0086e7468: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0086e746c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0086e7470: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0086e7474: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0086e7478: fd830191  add	x29, sp, #0x60
0xfffffff0086e747c: a2050034  cbz	w2, #0xfffffff0086e7530
0xfffffff0086e7480: f30302aa  mov	x19, x2
0xfffffff0086e7484: f40301aa  mov	x20, x1
0xfffffff0086e7488: f50300aa  mov	x21, x0
0xfffffff0086e748c: 37008052  mov	w23, #1
0xfffffff0086e7490: 9700a072  movk	w23, #4, lsl #16
0xfffffff0086e7494: 09284529  ldp	w9, w10, [x0, #0x28]
0xfffffff0086e7498: 5f01026b  cmp	w10, w2
0xfffffff0086e749c: e2040054  b.hs	#0xfffffff0086e7538
0xfffffff0086e74a0: 08008052  mov	w8, #0
0xfffffff0086e74a4: 18008052  mov	w24, #0
0xfffffff0086e74a8: 0b048052  mov	w11, #0x20
0xfffffff0086e74ac: 6b010a4b  sub	w11, w11, w10
0xfffffff0086e74b0: bf2e00b9  str	wzr, [x21, #0x2c]
0xfffffff0086e74b4: ae3241a9  ldp	x14, x12, [x21, #0x10]
