; Candidate 7833
; ADRP+ADD at VM 0xfffffff008882088 (fileoff 0x187e088): page=0x1fe967000 add_imm=0xe80

0xfffffff008882008: 18020034  cbz	w24, #0xfffffff008882048
0xfffffff00888200c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008882010: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008882014: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008882018: 684cfff0  adrp	x8, #0xfffffff007211000
0xfffffff00888201c: 08491c91  add	x8, x8, #0x712
0xfffffff008882020: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008882024: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882028: 08fd0891  add	x8, x8, #0x23f
0xfffffff00888202c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008882030: 880b8052  mov	w8, #0x5c
0xfffffff008882034: 404dffd0  adrp	x0, #0xfffffff00722c000
0xfffffff008882038: 00003e91  add	x0, x0, #0xf80
0xfffffff00888203c: f72300a9  stp	x23, x8, [sp]
0xfffffff008882040: 08d5d497  bl	#0xfffffff007db7460
0xfffffff008882044: 19000014  b	#0xfffffff0088820a8
0xfffffff008882048: 59c80094  bl	#0xfffffff0088b41ac
0xfffffff00888204c: f70300aa  mov	x23, x0
0xfffffff008882050: 00018052  mov	w0, #8
0xfffffff008882054: ffe5ff97  bl	#0xfffffff00887b850
0xfffffff008882058: e80316aa  mov	x8, x22
0xfffffff00888205c: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff008882060: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008882064: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008882068: 684cfff0  adrp	x8, #0xfffffff007211000
0xfffffff00888206c: 08491c91  add	x8, x8, #0x712
0xfffffff008882070: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008882074: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882078: 08fd0891  add	x8, x8, #0x23f
0xfffffff00888207c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008882080: 880b8052  mov	w8, #0x5c
0xfffffff008882084: f72300a9  stp	x23, x8, [sp]
0xfffffff008882088: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888208c: 00003a91  add	x0, x0, #0xe80
0xfffffff008882090: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008882094: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008882098: c34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00888209c: 63ec3491  add	x3, x3, #0xd3b
0xfffffff0088820a0: 02008052  mov	w2, #0
0xfffffff0088820a4: 23c4ea97  bl	#0xfffffff008333130
0xfffffff0088820a8: e00316aa  mov	x0, x22
0xfffffff0088820ac: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0088820b0: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0088820b4: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0088820b8: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0088820bc: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0088820c0: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0088820c4: ff430391  add	sp, sp, #0xd0
0xfffffff0088820c8: ff0f5fd6  retab	
0xfffffff0088820cc: 7f2303d5  pacibsp	
0xfffffff0088820d0: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0088820d4: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0088820d8: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0088820dc: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0088820e0: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0088820e4: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0088820e8: fd830291  add	x29, sp, #0xa0
0xfffffff0088820ec: f60303aa  mov	x22, x3
0xfffffff0088820f0: f50302aa  mov	x21, x2
0xfffffff0088820f4: f40301aa  mov	x20, x1
0xfffffff0088820f8: f30300aa  mov	x19, x0
0xfffffff0088820fc: 800b8052  mov	w0, #0x5c
0xfffffff008882100: e1008052  mov	w1, #7
0xfffffff008882104: b3e5ff97  bl	#0xfffffff00887b7d0
