; Candidate 7161
; ADRP+ADD at VM 0xfffffff00885bfe4 (fileoff 0x1857fe4): page=0x1fe98e000 add_imm=0xe80

0xfffffff00885bf64: f70300aa  mov	x23, x0
0xfffffff00885bf68: e0008052  mov	w0, #7
0xfffffff00885bf6c: 397e0094  bl	#0xfffffff00887b850
0xfffffff00885bf70: a8a641a9  ldp	x8, x9, [x21, #0x18]
0xfffffff00885bf74: aa4280b9  ldrsw	x10, [x21, #0x40]
0xfffffff00885bf78: 2b0b0a8b  add	x11, x25, x10, lsl #2
0xfffffff00885bf7c: 6b1540b9  ldr	w11, [x11, #0x14]
0xfffffff00885bf80: 6c4240b9  ldr	w12, [x19, #0x40]
0xfffffff00885bf84: 8d1a40b9  ldr	w13, [x20, #0x18]
0xfffffff00885bf88: ce5a40b9  ldr	w14, [x22, #0x58]
0xfffffff00885bf8c: af1240b9  ldr	w15, [x21, #0x10]
0xfffffff00885bf90: b02a40b9  ldr	w16, [x21, #0x28]
0xfffffff00885bf94: 31c740b9  ldr	w17, [x25, #0xc4]
0xfffffff00885bf98: eaaf09a9  stp	x10, x11, [sp, #0x98]
0xfffffff00885bf9c: f9c708a9  stp	x25, x17, [sp, #0x88]
0xfffffff00885bfa0: f0a707a9  stp	x16, x9, [sp, #0x78]
0xfffffff00885bfa4: efa306a9  stp	x15, x8, [sp, #0x68]
0xfffffff00885bfa8: eed705a9  stp	x14, x21, [sp, #0x58]
0xfffffff00885bfac: eddb04a9  stp	x13, x22, [sp, #0x48]
0xfffffff00885bfb0: ecd303a9  stp	x12, x20, [sp, #0x38]
0xfffffff00885bfb4: c8928152  mov	w8, #0xc96
0xfffffff00885bfb8: 494eff90  adrp	x9, #0xfffffff007223000
0xfffffff00885bfbc: 29892891  add	x9, x9, #0xa22
0xfffffff00885bfc0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00885bfc4: 684eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885bfc8: 08811191  add	x8, x8, #0x460
0xfffffff00885bfcc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885bfd0: 880c8052  mov	w8, #0x64
0xfffffff00885bfd4: c34fffb0  adrp	x3, #0xfffffff007254000
0xfffffff00885bfd8: 63d03e91  add	x3, x3, #0xfb4
0xfffffff00885bfdc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885bfe0: f70300f9  str	x23, [sp]
0xfffffff00885bfe4: 604cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885bfe8: 00003a91  add	x0, x0, #0xe80
0xfffffff00885bfec: 618dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885bff0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885bff4: 02008052  mov	w2, #0
0xfffffff00885bff8: 4e5ceb97  bl	#0xfffffff008333130
0xfffffff00885bffc: a84280b9  ldrsw	x8, [x21, #0x40]
0xfffffff00885c000: 280b088b  add	x8, x25, x8, lsl #2
0xfffffff00885c004: 081540b9  ldr	w8, [x8, #0x14]
0xfffffff00885c008: 1f050071  cmp	w8, #1
0xfffffff00885c00c: a1000054  b.ne	#0xfffffff00885c020
0xfffffff00885c010: a22301d1  sub	x2, x29, #0x48
0xfffffff00885c014: e00316aa  mov	x0, x22
0xfffffff00885c018: e10315aa  mov	x1, x21
0xfffffff00885c01c: d20bff97  bl	#0xfffffff00881ef64
0xfffffff00885c020: a83240f9  ldr	x8, [x21, #0x60]
0xfffffff00885c024: 680100b4  cbz	x8, #0xfffffff00885c050
0xfffffff00885c028: 091140b9  ldr	w9, [x8, #0x10]
0xfffffff00885c02c: 29050071  subs	w9, w9, #1
0xfffffff00885c030: 091100b9  str	w9, [x8, #0x10]
0xfffffff00885c034: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff00885c038: 00d940fa  ccmp	x8, #0, #0, le
0xfffffff00885c03c: a1000054  b.ne	#0xfffffff00885c050
0xfffffff00885c040: a22301d1  sub	x2, x29, #0x48
0xfffffff00885c044: e00316aa  mov	x0, x22
0xfffffff00885c048: e10315aa  mov	x1, x21
0xfffffff00885c04c: c60bff97  bl	#0xfffffff00881ef64
0xfffffff00885c050: e00314aa  mov	x0, x20
0xfffffff00885c054: e10315aa  mov	x1, x21
0xfffffff00885c058: 7475fe97  bl	#0xfffffff0087f9628
0xfffffff00885c05c: a1835bf8  ldur	x1, [x29, #-0x48]
0xfffffff00885c060: 810000b4  cbz	x1, #0xfffffff00885c070
