; Candidate 10069
; ADRP+ADD at VM 0xfffffff008c91e88 (fileoff 0x1c8de88): page=0x1fe6c0000 add_imm=0xe60

0xfffffff008c91e08: d01ac1da  autda	x16, x22
0xfffffff008c91e0c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008c91e10: e90310aa  mov	x9, x16
0xfffffff008c91e14: e00314aa  mov	x0, x20
0xfffffff008c91e18: f10309aa  mov	x17, x9
0xfffffff008c91e1c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008c91e20: 11093fd7  blraa	x8, x17
0xfffffff008c91e24: 730100b4  cbz	x19, #0xfffffff008c91e50
0xfffffff008c91e28: 700240f9  ldr	x16, [x19]
0xfffffff008c91e2c: f10313aa  mov	x17, x19
0xfffffff008c91e30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c91e34: 301ac1da  autda	x16, x17
0xfffffff008c91e38: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008c91e3c: e90310aa  mov	x9, x16
0xfffffff008c91e40: e00313aa  mov	x0, x19
0xfffffff008c91e44: f10309aa  mov	x17, x9
0xfffffff008c91e48: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008c91e4c: 11093fd7  blraa	x8, x17
0xfffffff008c91e50: e00315aa  mov	x0, x21
0xfffffff008c91e54: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008c91e58: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008c91e5c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008c91e60: ff0f5fd6  retab	
0xfffffff008c91e64: 7f2303d5  pacibsp	
0xfffffff008c91e68: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008c91e6c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008c91e70: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008c91e74: fd830091  add	x29, sp, #0x20
0xfffffff008c91e78: f50300aa  mov	x21, x0
0xfffffff008c91e7c: 20008052  mov	w0, #1
0xfffffff008c91e80: 304eda97  bl	#0xfffffff008325740
0xfffffff008c91e84: f40300aa  mov	x20, x0
0xfffffff008c91e88: 0036ff90  adrp	x0, #0xfffffff007351000
0xfffffff008c91e8c: 00803991  add	x0, x0, #0xe60
0xfffffff008c91e90: 5454da97  bl	#0xfffffff008326fe0
0xfffffff008c91e94: f30300aa  mov	x19, x0
0xfffffff008c91e98: f40300b4  cbz	x20, #0xfffffff008c91f14
0xfffffff008c91e9c: d30300b4  cbz	x19, #0xfffffff008c91f14
0xfffffff008c91ea0: 900240f9  ldr	x16, [x20]
0xfffffff008c91ea4: f60314aa  mov	x22, x20
0xfffffff008c91ea8: 36b4f9f2  movk	x22, #0xcda1, lsl #48
0xfffffff008c91eac: f10314aa  mov	x17, x20
0xfffffff008c91eb0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c91eb4: 301ac1da  autda	x16, x17
0xfffffff008c91eb8: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff008c91ebc: e90310aa  mov	x9, x16
0xfffffff008c91ec0: e00314aa  mov	x0, x20
0xfffffff008c91ec4: e10313aa  mov	x1, x19
0xfffffff008c91ec8: f10309aa  mov	x17, x9
0xfffffff008c91ecc: f18ceaf2  movk	x17, #0x5467, lsl #48
0xfffffff008c91ed0: 11093fd7  blraa	x8, x17
0xfffffff008c91ed4: a0c648f9  ldr	x0, [x21, #0x1188]
0xfffffff008c91ed8: a00200b4  cbz	x0, #0xfffffff008c91f2c
0xfffffff008c91edc: 100040f9  ldr	x16, [x0]
0xfffffff008c91ee0: f10300aa  mov	x17, x0
0xfffffff008c91ee4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c91ee8: 301ac1da  autda	x16, x17
0xfffffff008c91eec: 11ab80d2  mov	x17, #0x558
0xfffffff008c91ef0: 1002118b  add	x16, x16, x17
0xfffffff008c91ef4: 080240f9  ldr	x8, [x16]
0xfffffff008c91ef8: e90310aa  mov	x9, x16
0xfffffff008c91efc: e10314aa  mov	x1, x20
0xfffffff008c91f00: f10309aa  mov	x17, x9
0xfffffff008c91f04: 3183ecf2  movk	x17, #0x6419, lsl #48
