; Candidate 3355
; ADRP+ADD at VM 0xfffffff008737230 (fileoff 0x1733230): page=0x1fe9fa000 add_imm=0xd90

0xfffffff0087371b0: 5fd11539  strb	wzr, [x10, #0x574]
0xfffffff0087371b4: 0a08088b  add	x10, x0, x8, lsl #2
0xfffffff0087371b8: 497d05b9  str	w9, [x10, #0x57c]
0xfffffff0087371bc: 08050091  add	x8, x8, #1
0xfffffff0087371c0: 1f2100f1  cmp	x8, #8
0xfffffff0087371c4: 41ffff54  b.ne	#0xfffffff0087371ac
0xfffffff0087371c8: c0035fd6  ret	
0xfffffff0087371cc: 5f2403d5  bti	c
0xfffffff0087371d0: 1ffc10a9  stp	xzr, xzr, [x0, #0x108]
0xfffffff0087371d4: 1f8c00f9  str	xzr, [x0, #0x118]
0xfffffff0087371d8: c0035fd6  ret	
0xfffffff0087371dc: 5f2403d5  bti	c
0xfffffff0087371e0: e2ffff17  b	#0xfffffff008737168
0xfffffff0087371e4: 7f2303d5  pacibsp	
0xfffffff0087371e8: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087371ec: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087371f0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087371f4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087371f8: fdc30091  add	x29, sp, #0x30
0xfffffff0087371fc: f30300aa  mov	x19, x0
0xfffffff008737200: 3096fff0  adrp	x16, #0xfffffff0079fe000
0xfffffff008737204: 10023d91  add	x16, x16, #0xf40
0xfffffff008737208: 10420091  add	x16, x16, #0x10
0xfffffff00873720c: f10300aa  mov	x17, x0
0xfffffff008737210: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff008737214: 300ac1da  pacda	x16, x17
0xfffffff008737218: 100000f9  str	x16, [x0]
0xfffffff00873721c: 08d442f9  ldr	x8, [x0, #0x5a8]
0xfffffff008737220: 140940b9  ldr	w20, [x8, #8]
0xfffffff008737224: e850fff0  adrp	x8, #0xfffffff007156000
0xfffffff008737228: 084d3791  add	x8, x8, #0xdd3
0xfffffff00873722c: e85300a9  stp	x8, x20, [sp]
0xfffffff008737230: c04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008737234: 00403691  add	x0, x0, #0xd90
0xfffffff008737238: 2196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873723c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008737240: 2350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff008737244: 63900e91  add	x3, x3, #0x3a4
0xfffffff008737248: 02008052  mov	w2, #0
0xfffffff00873724c: b9efef97  bl	#0xfffffff008333130
0xfffffff008737250: 150080d2  mov	x21, #0
0xfffffff008737254: 6802158b  add	x8, x19, x21
0xfffffff008737258: 09a940f9  ldr	x9, [x8, #0x150]
0xfffffff00873725c: a90000b4  cbz	x9, #0xfffffff008737270
0xfffffff008737260: 01c10491  add	x1, x8, #0x130
0xfffffff008737264: 60d242f9  ldr	x0, [x19, #0x5a0]
0xfffffff008737268: e20314aa  mov	x2, x20
0xfffffff00873726c: d93e0094  bl	#0xfffffff008746dd0
0xfffffff008737270: b5220291  add	x21, x21, #0x88
0xfffffff008737274: bf0211f1  cmp	x21, #0x440
0xfffffff008737278: e1feff54  b.ne	#0xfffffff008737254
0xfffffff00873727c: 60da42f9  ldr	x0, [x19, #0x5b0]
0xfffffff008737280: 400100b4  cbz	x0, #0xfffffff0087372a8
0xfffffff008737284: 100040f9  ldr	x16, [x0]
0xfffffff008737288: f10300aa  mov	x17, x0
0xfffffff00873728c: d1b3e2f2  movk	x17, #0x159e, lsl #48
0xfffffff008737290: 301ac1da  autda	x16, x17
0xfffffff008737294: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008737298: e90310aa  mov	x9, x16
0xfffffff00873729c: f10309aa  mov	x17, x9
0xfffffff0087372a0: 512efaf2  movk	x17, #0xd172, lsl #48
0xfffffff0087372a4: 11093fd7  blraa	x8, x17
0xfffffff0087372a8: 612252a9  ldp	x1, x8, [x19, #0x120]
0xfffffff0087372ac: 09fd7ed3  lsr	x9, x8, #0x3e
