; Candidate 5733
; ADRP+ADD at VM 0xfffffff008802304 (fileoff 0x17fe304): page=0x1fe9e7000 add_imm=0xe80

0xfffffff008802284: a0030034  cbz	w0, #0xfffffff0088022f8
0xfffffff008802288: e803154b  neg	w8, w21
0xfffffff00880228c: 68032837  tbnz	w8, #5, #0xfffffff0088022f8
0xfffffff008802290: 28234339  ldrb	w8, [x25, #0xc8]
0xfffffff008802294: 29bf4d39  ldrb	w9, [x25, #0x36f]
0xfffffff008802298: e82700a9  stp	x8, x9, [sp]
0xfffffff00880229c: a050fff0  adrp	x0, #0xfffffff007219000
0xfffffff0088022a0: 00d01691  add	x0, x0, #0x5b4
0xfffffff0088022a4: 6fd4d697  bl	#0xfffffff007db7460
0xfffffff0088022a8: 1f000014  b	#0xfffffff008802324
0xfffffff0088022ac: c0c70294  bl	#0xfffffff0088b41ac
0xfffffff0088022b0: f60300aa  mov	x22, x0
0xfffffff0088022b4: e00314aa  mov	x0, x20
0xfffffff0088022b8: 66e50194  bl	#0xfffffff00887b850
0xfffffff0088022bc: 28234339  ldrb	w8, [x25, #0xc8]
0xfffffff0088022c0: 29bf4d39  ldrb	w9, [x25, #0x36f]
0xfffffff0088022c4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088022c8: e80313aa  mov	x8, x19
0xfffffff0088022cc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088022d0: f60300f9  str	x22, [sp]
0xfffffff0088022d4: 204ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088022d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088022dc: 2190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088022e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088022e4: 0352ffd0  adrp	x3, #0xfffffff007244000
0xfffffff0088022e8: 63840e91  add	x3, x3, #0x3a1
0xfffffff0088022ec: 02008052  mov	w2, #0
0xfffffff0088022f0: 90c3ec97  bl	#0xfffffff008333130
0xfffffff0088022f4: 0c000014  b	#0xfffffff008802324
0xfffffff0088022f8: 28234339  ldrb	w8, [x25, #0xc8]
0xfffffff0088022fc: 29bf4d39  ldrb	w9, [x25, #0x36f]
0xfffffff008802300: e82700a9  stp	x8, x9, [sp]
0xfffffff008802304: 204ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008802308: 00003a91  add	x0, x0, #0xe80
0xfffffff00880230c: 2190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008802310: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008802314: 0352ffd0  adrp	x3, #0xfffffff007244000
0xfffffff008802318: 63a40d91  add	x3, x3, #0x369
0xfffffff00880231c: 02008052  mov	w2, #0
0xfffffff008802320: 84c3ec97  bl	#0xfffffff008333130
0xfffffff008802324: e00313aa  mov	x0, x19
0xfffffff008802328: e10314aa  mov	x1, x20
0xfffffff00880232c: 29e50194  bl	#0xfffffff00887b7d0
0xfffffff008802330: 20090034  cbz	w0, #0xfffffff008802454
0xfffffff008802334: e00313aa  mov	x0, x19
0xfffffff008802338: 38e50194  bl	#0xfffffff00887b818
0xfffffff00880233c: b502f837  tbnz	w21, #0x1f, #0xfffffff008802390
0xfffffff008802340: b7021b12  and	w23, w21, #0x20
0xfffffff008802344: 18000052  eor	w24, w0, #1
0xfffffff008802348: 99c70294  bl	#0xfffffff0088b41ac
0xfffffff00880234c: f60300aa  mov	x22, x0
0xfffffff008802350: e00314aa  mov	x0, x20
0xfffffff008802354: 3fe50194  bl	#0xfffffff00887b850
0xfffffff008802358: 0817572a  orr	w8, w24, w23, lsr #5
0xfffffff00880235c: 48030037  tbnz	w8, #0, #0xfffffff0088023c4
0xfffffff008802360: 28ab4d39  ldrb	w8, [x25, #0x36a]
0xfffffff008802364: 29b34379  ldrh	w9, [x25, #0x1d8]
0xfffffff008802368: 2ab74379  ldrh	w10, [x25, #0x1da]
0xfffffff00880236c: 2be74d39  ldrb	w11, [x25, #0x379]
0xfffffff008802370: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff008802374: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008802378: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880237c: e80313aa  mov	x8, x19
0xfffffff008802380: a050fff0  adrp	x0, #0xfffffff007219000
