; Candidate 1467
; ADRP+ADD at VM 0xfffffff00842aae0 (fileoff 0x1426ae0): page=0x1fec79000 add_imm=0xe67

0xfffffff00842aa60: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00842aa64: 08008152  mov	w8, #0x800
0xfffffff00842aa68: fa2301a9  stp	x26, x8, [sp, #0x10]
0xfffffff00842aa6c: f56700a9  stp	x21, x25, [sp]
0xfffffff00842aa70: c063ffd0  adrp	x0, #0xfffffff0070a4000
0xfffffff00842aa74: 00e82491  add	x0, x0, #0x93a
0xfffffff00842aa78: a5a60194  bl	#0xfffffff00849450c
0xfffffff00842aa7c: 7f2303d5  pacibsp	
0xfffffff00842aa80: ff8301d1  sub	sp, sp, #0x60
0xfffffff00842aa84: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00842aa88: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00842aa8c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00842aa90: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00842aa94: fd430191  add	x29, sp, #0x50
0xfffffff00842aa98: 400200b4  cbz	x0, #0xfffffff00842aae0
0xfffffff00842aa9c: 086844b9  ldr	w8, [x0, #0x468]
0xfffffff00842aaa0: e803282a  mvn	w8, w8
0xfffffff00842aaa4: 1f096ff2  tst	x8, #0xe0000
0xfffffff00842aaa8: c1010054  b.ne	#0xfffffff00842aae0
0xfffffff00842aaac: a8aaffd0  adrp	x8, #0xfffffff007980000
0xfffffff00842aab0: 08dd4cb9  ldr	w8, [x8, #0xcdc]
0xfffffff00842aab4: 084d1c12  and	w8, w8, #0xfffff0
0xfffffff00842aab8: 1f410571  cmp	w8, #0x150
0xfffffff00842aabc: 82020054  b.hs	#0xfffffff00842ab0c
0xfffffff00842aac0: 00a8fff0  adrp	x0, #0xfffffff00792d000
0xfffffff00842aac4: 00c01c91  add	x0, x0, #0x730
0xfffffff00842aac8: 012a8052  mov	w1, #0x150
0xfffffff00842aacc: 82008252  mov	w2, #0x1004
0xfffffff00842aad0: 8200a072  movk	w2, #4, lsl #16
0xfffffff00842aad4: 030080d2  mov	x3, #0
0xfffffff00842aad8: 8aeee597  bl	#0xfffffff007da6500
0xfffffff00842aadc: 10000014  b	#0xfffffff00842ab1c
0xfffffff00842aae0: c063ffb0  adrp	x0, #0xfffffff0070a3000
0xfffffff00842aae4: 009c3991  add	x0, x0, #0xe67
0xfffffff00842aae8: 4eb1fc97  bl	#0xfffffff008357020
0xfffffff00842aaec: 130080d2  mov	x19, #0
0xfffffff00842aaf0: e00313aa  mov	x0, x19
0xfffffff00842aaf4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00842aaf8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00842aafc: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00842ab00: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00842ab04: ff830191  add	sp, sp, #0x60
0xfffffff00842ab08: ff0f5fd6  retab	
0xfffffff00842ab0c: a0aaffd0  adrp	x0, #0xfffffff007980000
0xfffffff00842ab10: 00c03291  add	x0, x0, #0xcb0
0xfffffff00842ab14: 81008052  mov	w1, #4
0xfffffff00842ab18: aaefe597  bl	#0xfffffff007da69c0
0xfffffff00842ab1c: f30300aa  mov	x19, x0
0xfffffff00842ab20: 88ef0090  adrp	x8, #0xfffffff00a21a000
0xfffffff00842ab24: 08c10191  add	x8, x8, #0x70
0xfffffff00842ab28: 092a8052  mov	w9, #0x150
0xfffffff00842ab2c: 080129f8  ldadd	x9, x8, [x8]
0xfffffff00842ab30: 28008052  mov	w8, #1
0xfffffff00842ab34: 080800b9  str	w8, [x0, #8]
0xfffffff00842ab38: b0a8ffb0  adrp	x16, #0xfffffff00793f000
0xfffffff00842ab3c: 10422f91  add	x16, x16, #0xbd0
0xfffffff00842ab40: 10420091  add	x16, x16, #0x10
0xfffffff00842ab44: f10300aa  mov	x17, x0
0xfffffff00842ab48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00842ab4c: 300ac1da  pacda	x16, x17
0xfffffff00842ab50: 100000f9  str	x16, [x0]
0xfffffff00842ab54: 89ef0090  adrp	x9, #0xfffffff00a21a000
0xfffffff00842ab58: 29210c91  add	x9, x9, #0x308
0xfffffff00842ab5c: 2a910091  add	x10, x9, #0x24
