; Candidate 9432
; ADRP+ADD at VM 0xfffffff008a4a19c (fileoff 0x1a4619c): page=0x1ff013000 add_imm=0xd98

0xfffffff008a4a11c: 12000094  bl	#0xfffffff008a4a164
0xfffffff008a4a120: f40300aa  mov	x20, x0
0xfffffff008a4a124: 730100b4  cbz	x19, #0xfffffff008a4a150
0xfffffff008a4a128: 700240f9  ldr	x16, [x19]
0xfffffff008a4a12c: f10313aa  mov	x17, x19
0xfffffff008a4a130: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a4a134: 301ac1da  autda	x16, x17
0xfffffff008a4a138: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a4a13c: e90310aa  mov	x9, x16
0xfffffff008a4a140: e00313aa  mov	x0, x19
0xfffffff008a4a144: f10309aa  mov	x17, x9
0xfffffff008a4a148: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a4a14c: 11093fd7  blraa	x8, x17
0xfffffff008a4a150: e00314aa  mov	x0, x20
0xfffffff008a4a154: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008a4a158: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008a4a15c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008a4a160: ff0f5fd6  retab	
0xfffffff008a4a164: 7f2303d5  pacibsp	
0xfffffff008a4a168: ff0301d1  sub	sp, sp, #0x40
0xfffffff008a4a16c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008a4a170: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008a4a174: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008a4a178: fdc30091  add	x29, sp, #0x30
0xfffffff008a4a17c: f40300aa  mov	x20, x0
0xfffffff008a4a180: 000600b4  cbz	x0, #0xfffffff008a4a240
0xfffffff008a4a184: f60302aa  mov	x22, x2
0xfffffff008a4a188: c20700b4  cbz	x2, #0xfffffff008a4a280
0xfffffff008a4a18c: e00301aa  mov	x0, x1
0xfffffff008a4a190: 92feff97  bl	#0xfffffff008a49bd8
0xfffffff008a4a194: 400900b4  cbz	x0, #0xfffffff008a4a2bc
0xfffffff008a4a198: f30300aa  mov	x19, x0
0xfffffff008a4a19c: 8080fff0  adrp	x0, #0xfffffff007a5d000
0xfffffff008a4a1a0: 00603691  add	x0, x0, #0xd98
0xfffffff008a4a1a4: d430e497  bl	#0xfffffff0083564f4
0xfffffff008a4a1a8: c00a00b4  cbz	x0, #0xfffffff008a4a300
0xfffffff008a4a1ac: f50300aa  mov	x21, x0
0xfffffff008a4a1b0: 160000f9  str	x22, [x0]
0xfffffff008a4a1b4: 8880ffd0  adrp	x8, #0xfffffff007a5c000
0xfffffff008a4a1b8: 085d47f9  ldr	x8, [x8, #0xeb8]
0xfffffff008a4a1bc: 000140f9  ldr	x0, [x8]
0xfffffff008a4a1c0: 10000090  adrp	x16, #0xfffffff008a4a000
0xfffffff008a4a1c4: 10120d91  add	x16, x16, #0x344
0xfffffff008a4a1c8: d13b8cd2  mov	x17, #0x61de
0xfffffff008a4a1cc: 3002c1da  pacia	x16, x17
0xfffffff008a4a1d0: e20310aa  mov	x2, x16
0xfffffff008a4a1d4: e10313aa  mov	x1, x19
0xfffffff008a4a1d8: e30314aa  mov	x3, x20
0xfffffff008a4a1dc: e40315aa  mov	x4, x21
0xfffffff008a4a1e0: 05008052  mov	w5, #0
0xfffffff008a4a1e4: 5cfee497  bl	#0xfffffff008389b54
0xfffffff008a4a1e8: f40300aa  mov	x20, x0
0xfffffff008a4a1ec: a00000b5  cbnz	x0, #0xfffffff008a4a200
0xfffffff008a4a1f0: 8080fff0  adrp	x0, #0xfffffff007a5d000
0xfffffff008a4a1f4: 00603791  add	x0, x0, #0xdd8
0xfffffff008a4a1f8: e10315aa  mov	x1, x21
0xfffffff008a4a1fc: 4431e497  bl	#0xfffffff00835670c
0xfffffff008a4a200: 700240f9  ldr	x16, [x19]
0xfffffff008a4a204: f10313aa  mov	x17, x19
0xfffffff008a4a208: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a4a20c: 301ac1da  autda	x16, x17
0xfffffff008a4a210: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a4a214: e90310aa  mov	x9, x16
0xfffffff008a4a218: e00313aa  mov	x0, x19
