; Candidate 8645
; ADRP+ADD at VM 0xfffffff0088b97d8 (fileoff 0x18b57d8): page=0x1fe97c000 add_imm=0xda9

0xfffffff0088b9758: 61000054  b.ne	#0xfffffff0088b9764
0xfffffff0088b975c: 16008052  mov	w22, #0
0xfffffff0088b9760: a0010014  b	#0xfffffff0088b9de0
0xfffffff0088b9764: f50302aa  mov	x21, x2
0xfffffff0088b9768: f30301aa  mov	x19, x1
0xfffffff0088b976c: f40300aa  mov	x20, x0
0xfffffff0088b9770: 481840b9  ldr	w8, [x2, #0x18]
0xfffffff0088b9774: a8030034  cbz	w8, #0xfffffff0088b97e8
0xfffffff0088b9778: 28008052  mov	w8, #1
0xfffffff0088b977c: 88520739  strb	w8, [x20, #0x1d4]
0xfffffff0088b9780: e00313aa  mov	x0, x19
0xfffffff0088b9784: 21008052  mov	w1, #1
0xfffffff0088b9788: 11e5ff97  bl	#0xfffffff0088b2bcc
0xfffffff0088b978c: f60300aa  mov	x22, x0
0xfffffff0088b9790: 602c0035  cbnz	w0, #0xfffffff0088b9d1c
0xfffffff0088b9794: 98620791  add	x24, x20, #0x1d8
0xfffffff0088b9798: a0088052  mov	w0, #0x45
0xfffffff0088b979c: e1008052  mov	w1, #7
0xfffffff0088b97a0: 0c08ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b97a4: 60070034  cbz	w0, #0xfffffff0088b9890
0xfffffff0088b97a8: a0088052  mov	w0, #0x45
0xfffffff0088b97ac: 1b08ff97  bl	#0xfffffff00887b818
0xfffffff0088b97b0: f70300aa  mov	x23, x0
0xfffffff0088b97b4: 7eeaff97  bl	#0xfffffff0088b41ac
0xfffffff0088b97b8: f60300aa  mov	x22, x0
0xfffffff0088b97bc: e0008052  mov	w0, #7
0xfffffff0088b97c0: 2408ff97  bl	#0xfffffff00887b850
0xfffffff0088b97c4: 77040034  cbz	w23, #0xfffffff0088b9850
0xfffffff0088b97c8: 88524739  ldrb	w8, [x20, #0x1d4]
0xfffffff0088b97cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b97d0: a8088052  mov	w8, #0x45
0xfffffff0088b97d4: f62300a9  stp	x22, x8, [sp]
0xfffffff0088b97d8: e04bff90  adrp	x0, #0xfffffff007235000
0xfffffff0088b97dc: 00a43691  add	x0, x0, #0xda9
0xfffffff0088b97e0: 20f7d397  bl	#0xfffffff007db7460
0xfffffff0088b97e4: 2b000014  b	#0xfffffff0088b9890
0xfffffff0088b97e8: 9f520739  strb	wzr, [x20, #0x1d4]
0xfffffff0088b97ec: e00313aa  mov	x0, x19
0xfffffff0088b97f0: 01008052  mov	w1, #0
0xfffffff0088b97f4: f6e4ff97  bl	#0xfffffff0088b2bcc
0xfffffff0088b97f8: f60300aa  mov	x22, x0
0xfffffff0088b97fc: 00290035  cbnz	w0, #0xfffffff0088b9d1c
0xfffffff0088b9800: a0088052  mov	w0, #0x45
0xfffffff0088b9804: e1008052  mov	w1, #7
0xfffffff0088b9808: f207ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b980c: 000d0034  cbz	w0, #0xfffffff0088b99ac
0xfffffff0088b9810: a0088052  mov	w0, #0x45
0xfffffff0088b9814: 0108ff97  bl	#0xfffffff00887b818
0xfffffff0088b9818: f60300aa  mov	x22, x0
0xfffffff0088b981c: 64eaff97  bl	#0xfffffff0088b41ac
0xfffffff0088b9820: f50300aa  mov	x21, x0
0xfffffff0088b9824: e0008052  mov	w0, #7
0xfffffff0088b9828: 0a08ff97  bl	#0xfffffff00887b850
0xfffffff0088b982c: 160a0034  cbz	w22, #0xfffffff0088b996c
0xfffffff0088b9830: 88524739  ldrb	w8, [x20, #0x1d4]
0xfffffff0088b9834: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b9838: a8088052  mov	w8, #0x45
0xfffffff0088b983c: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b9840: e04bff90  adrp	x0, #0xfffffff007235000
0xfffffff0088b9844: 00a43691  add	x0, x0, #0xda9
0xfffffff0088b9848: 06f7d397  bl	#0xfffffff007db7460
0xfffffff0088b984c: 58000014  b	#0xfffffff0088b99ac
0xfffffff0088b9850: 57eaff97  bl	#0xfffffff0088b41ac
0xfffffff0088b9854: f60300aa  mov	x22, x0
