; Candidate 4539
; ADRP+ADD at VM 0xfffffff0087b9f48 (fileoff 0x17b5f48): page=0x1fe978000 add_imm=0xd90

0xfffffff0087b9ec8: eb032baa  mvn	x11, x11
0xfffffff0087b9ecc: 5f010beb  cmp	x10, x11
0xfffffff0087b9ed0: ad010054  b.le	#0xfffffff0087b9f04
0xfffffff0087b9ed4: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b9ed8: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b9edc: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b9ee0: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9ee4: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9ee8: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9eec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9ef0: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9ef4: 63d03191  add	x3, x3, #0xc74
0xfffffff0087b9ef8: 02008052  mov	w2, #0
0xfffffff0087b9efc: 8de4ed97  bl	#0xfffffff008333130
0xfffffff0087b9f00: 37fdff17  b	#0xfffffff0087b93dc
0xfffffff0087b9f04: 005500b9  str	w0, [x8, #0x54]
0xfffffff0087b9f08: 0a314239  ldrb	w10, [x8, #0x8c]
0xfffffff0087b9f0c: 6aaeff35  cbnz	w10, #0xfffffff0087b94d8
0xfffffff0087b9f10: 0a116e39  ldrb	w10, [x8, #0xb84]
0xfffffff0087b9f14: 2aaeff35  cbnz	w10, #0xfffffff0087b94d8
0xfffffff0087b9f18: 214dffb0  adrp	x1, #0xfffffff00715e000
0xfffffff0087b9f1c: 21bc2691  add	x1, x1, #0x9af
0xfffffff0087b9f20: e00313aa  mov	x0, x19
0xfffffff0087b9f24: 62008052  mov	w2, #3
0xfffffff0087b9f28: e6040094  bl	#0xfffffff0087bb2c0
0xfffffff0087b9f2c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087b9f30: 009900b9  str	w0, [x8, #0x98]
0xfffffff0087b9f34: 1f1c0071  cmp	w0, #7
0xfffffff0087b9f38: 49180054  b.ls	#0xfffffff0087ba240
0xfffffff0087b9f3c: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b9f40: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b9f44: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b9f48: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9f4c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9f50: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9f54: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9f58: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9f5c: 63683291  add	x3, x3, #0xc9a
0xfffffff0087b9f60: 02008052  mov	w2, #0
0xfffffff0087b9f64: 73e4ed97  bl	#0xfffffff008333130
0xfffffff0087b9f68: 1dfdff17  b	#0xfffffff0087b93dc
0xfffffff0087b9f6c: 0a8540b9  ldr	w10, [x8, #0x84]
0xfffffff0087b9f70: 4ab5ff35  cbnz	w10, #0xfffffff0087b9618
0xfffffff0087b9f74: 21feff17  b	#0xfffffff0087b97f8
0xfffffff0087b9f78: 74963cb9  str	w20, [x19, #0x3c94]
0xfffffff0087b9f7c: 2a4540b9  ldr	w10, [x9, #0x44]
0xfffffff0087b9f80: 2a0e0034  cbz	w10, #0xfffffff0087ba144
0xfffffff0087b9f84: 5f0d0071  cmp	w10, #3
0xfffffff0087b9f88: 210e0054  b.ne	#0xfffffff0087ba14c
0xfffffff0087b9f8c: 1f010071  cmp	w8, #0
0xfffffff0087b9f90: ea179f1a  cset	w10, eq
0xfffffff0087b9f94: 2b008052  mov	w11, #1
0xfffffff0087b9f98: 6b9e3cb9  str	w11, [x19, #0x3c9c]
0xfffffff0087b9f9c: 6aa23cb9  str	w10, [x19, #0x3ca0]
0xfffffff0087b9fa0: 6b000014  b	#0xfffffff0087ba14c
0xfffffff0087b9fa4: 084d208b  add	x8, x8, w0, uxtw #3
0xfffffff0087b9fa8: 149d43f9  ldr	x20, [x8, #0x738]
0xfffffff0087b9fac: 214dffb0  adrp	x1, #0xfffffff00715e000
0xfffffff0087b9fb0: 21f42891  add	x1, x1, #0xa3d
0xfffffff0087b9fb4: e00313aa  mov	x0, x19
0xfffffff0087b9fb8: 62008052  mov	w2, #3
0xfffffff0087b9fbc: c1040094  bl	#0xfffffff0087bb2c0
0xfffffff0087b9fc0: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087b9fc4: 009906b9  str	w0, [x8, #0x698]
