; Candidate 15869
; ADRP+ADD at VM 0xfffffff009db3798 (fileoff 0x2daf798): page=0x609000 add_imm=0xd28

0xfffffff009db3718: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff009db371c: 11093fd7  blraa	x8, x17
0xfffffff009db3720: c0030034  cbz	w0, #0xfffffff009db3798
0xfffffff009db3724: f70300aa  mov	x23, x0
0xfffffff009db3728: 18008052  mov	w24, #0
0xfffffff009db372c: 593000b0  adrp	x25, #0xfffffff00a3bc000
0xfffffff009db3730: 39a33491  add	x25, x25, #0xd28
0xfffffff009db3734: 608640f9  ldr	x0, [x19, #0x108]
0xfffffff009db3738: 100040f9  ldr	x16, [x0]
0xfffffff009db373c: f10300aa  mov	x17, x0
0xfffffff009db3740: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db3744: 301ac1da  autda	x16, x17
0xfffffff009db3748: 112380d2  mov	x17, #0x118
0xfffffff009db374c: 1002118b  add	x16, x16, x17
0xfffffff009db3750: 080240f9  ldr	x8, [x16]
0xfffffff009db3754: e90310aa  mov	x9, x16
0xfffffff009db3758: e10318aa  mov	x1, x24
0xfffffff009db375c: f10309aa  mov	x17, x9
0xfffffff009db3760: 718af0f2  movk	x17, #0x8453, lsl #48
0xfffffff009db3764: 11093fd7  blraa	x8, x17
0xfffffff009db3768: e10319aa  mov	x1, x25
0xfffffff009db376c: 62c19497  bl	#0xfffffff0082e3cf4
0xfffffff009db3770: e00000b4  cbz	x0, #0xfffffff009db378c
0xfffffff009db3774: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff009db3778: 1f0116eb  cmp	x8, x22
0xfffffff009db377c: 81000054  b.ne	#0xfffffff009db378c
0xfffffff009db3780: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff009db3784: 1f0114eb  cmp	x8, x20
0xfffffff009db3788: 40090054  b.eq	#0xfffffff009db38b0
0xfffffff009db378c: 18070011  add	w24, w24, #1
0xfffffff009db3790: ff02186b  cmp	w23, w24
0xfffffff009db3794: 01fdff54  b.ne	#0xfffffff009db3734
0xfffffff009db3798: 403000b0  adrp	x0, #0xfffffff00a3bc000
0xfffffff009db379c: 00a03491  add	x0, x0, #0xd28
0xfffffff009db37a0: 100040f9  ldr	x16, [x0]
0xfffffff009db37a4: f10300aa  mov	x17, x0
0xfffffff009db37a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db37ac: 301ac1da  autda	x16, x17
0xfffffff009db37b0: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff009db37b4: e90310aa  mov	x9, x16
0xfffffff009db37b8: f10309aa  mov	x17, x9
0xfffffff009db37bc: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff009db37c0: 11093fd7  blraa	x8, x17
0xfffffff009db37c4: 600f00b4  cbz	x0, #0xfffffff009db39b0
0xfffffff009db37c8: f70300aa  mov	x23, x0
0xfffffff009db37cc: 100040f9  ldr	x16, [x0]
0xfffffff009db37d0: f10300aa  mov	x17, x0
0xfffffff009db37d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009db37d8: 301ac1da  autda	x16, x17
0xfffffff009db37dc: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff009db37e0: e90310aa  mov	x9, x16
0xfffffff009db37e4: e10316aa  mov	x1, x22
0xfffffff009db37e8: e20314aa  mov	x2, x20
0xfffffff009db37ec: 03008012  mov	w3, #-1
0xfffffff009db37f0: e40313aa  mov	x4, x19
0xfffffff009db37f4: f10309aa  mov	x17, x9
0xfffffff009db37f8: 1161f2f2  movk	x17, #0x9308, lsl #48
0xfffffff009db37fc: 11093fd7  blraa	x8, x17
0xfffffff009db3800: 606a40f9  ldr	x0, [x19, #0xd0]
0xfffffff009db3804: 10000090  adrp	x16, #0xfffffff009db3000
0xfffffff009db3808: 10522991  add	x16, x16, #0xa54
0xfffffff009db380c: 117b8ed2  mov	x17, #0x73d8
0xfffffff009db3810: 3002c1da  pacia	x16, x17
0xfffffff009db3814: e10310aa  mov	x1, x16
