; Candidate 4396
; ADRP+ADD at VM 0xfffffff0087af4e0 (fileoff 0x17ab4e0): page=0x1fe982000 add_imm=0xd90

0xfffffff0087af460: 011400f9  str	x1, [x0, #0x28]
0xfffffff0087af464: 604dffd0  adrp	x0, #0xfffffff00715d000
0xfffffff0087af468: 00b42891  add	x0, x0, #0xa2d
0xfffffff0087af46c: 010080d2  mov	x1, #0
0xfffffff0087af470: 086bef97  bl	#0xfffffff00838a090
0xfffffff0087af474: f30300aa  mov	x19, x0
0xfffffff0087af478: 6892ffd0  adrp	x8, #0xfffffff0079fd000
0xfffffff0087af47c: 08f141f9  ldr	x8, [x8, #0x3e0]
0xfffffff0087af480: 000140f9  ldr	x0, [x8]
0xfffffff0087af484: e10313aa  mov	x1, x19
0xfffffff0087af488: e20314aa  mov	x2, x20
0xfffffff0087af48c: e30315aa  mov	x3, x21
0xfffffff0087af490: e40315aa  mov	x4, x21
0xfffffff0087af494: 05008052  mov	w5, #0
0xfffffff0087af498: af69ef97  bl	#0xfffffff008389b54
0xfffffff0087af49c: c01a00f9  str	x0, [x22, #0x30]
0xfffffff0087af4a0: a00100b4  cbz	x0, #0xfffffff0087af4d4
0xfffffff0087af4a4: 700240f9  ldr	x16, [x19]
0xfffffff0087af4a8: f10313aa  mov	x17, x19
0xfffffff0087af4ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087af4b0: 301ac1da  autda	x16, x17
0xfffffff0087af4b4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0087af4b8: e90310aa  mov	x9, x16
0xfffffff0087af4bc: e00313aa  mov	x0, x19
0xfffffff0087af4c0: f10309aa  mov	x17, x9
0xfffffff0087af4c4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0087af4c8: 11093fd7  blraa	x8, x17
0xfffffff0087af4cc: 00008052  mov	w0, #0
0xfffffff0087af4d0: 0e000014  b	#0xfffffff0087af508
0xfffffff0087af4d4: 284dfff0  adrp	x8, #0xfffffff007156000
0xfffffff0087af4d8: 08b12e91  add	x8, x8, #0xbac
0xfffffff0087af4dc: e80300f9  str	x8, [sp]
0xfffffff0087af4e0: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087af4e4: 00403691  add	x0, x0, #0xd90
0xfffffff0087af4e8: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087af4ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087af4f0: e34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087af4f4: 63480891  add	x3, x3, #0x212
0xfffffff0087af4f8: 02008052  mov	w2, #0
0xfffffff0087af4fc: 0d0fee97  bl	#0xfffffff008333130
0xfffffff0087af500: 80578052  mov	w0, #0x2bc
0xfffffff0087af504: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0087af508: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087af50c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087af510: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087af514: ff030191  add	sp, sp, #0x40
0xfffffff0087af518: ff0f5fd6  retab	
0xfffffff0087af51c: 7f2303d5  pacibsp	
0xfffffff0087af520: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087af524: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087af528: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087af52c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087af530: fd430191  add	x29, sp, #0x50
0xfffffff0087af534: f40302aa  mov	x20, x2
0xfffffff0087af538: f50301aa  mov	x21, x1
0xfffffff0087af53c: f30300aa  mov	x19, x0
0xfffffff0087af540: 000040f9  ldr	x0, [x0]
0xfffffff0087af544: 62f1d797  bl	#0xfffffff007dabacc
0xfffffff0087af548: bf820071  cmp	w21, #0x20
0xfffffff0087af54c: e3010054  b.lo	#0xfffffff0087af588
0xfffffff0087af550: 08048052  mov	w8, #0x20
0xfffffff0087af554: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff0087af558: 684dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff0087af55c: 08192391  add	x8, x8, #0x8c6
