; Candidate 16786
; ADRP+ADD at VM 0xfffffff009f5bf4c (fileoff 0x2f57f4c): page=0x1fd90a000 add_imm=0xea3

0xfffffff009f5becc: e9498152  mov	w9, #0xa4f
0xfffffff009f5bed0: e82700a9  stp	x8, x9, [sp]
0xfffffff009f5bed4: 40c8fed0  adrp	x0, #0xfffffff007865000
0xfffffff009f5bed8: 00a43c91  add	x0, x0, #0xf29
0xfffffff009f5bedc: 598efc97  bl	#0xfffffff009e7f840
0xfffffff009f5bee0: 1a008052  mov	w26, #0
0xfffffff009f5bee4: 54000014  b	#0xfffffff009f5c034
0xfffffff009f5bee8: f52b40f9  ldr	x21, [sp, #0x50]
0xfffffff009f5beec: e00315aa  mov	x0, x21
0xfffffff009f5bef0: c8e38997  bl	#0xfffffff0081d4e10
0xfffffff009f5bef4: f60300aa  mov	x22, x0
0xfffffff009f5bef8: ff2f00f9  str	xzr, [sp, #0x58]
0xfffffff009f5befc: e00313aa  mov	x0, x19
0xfffffff009f5bf00: 9fd3fe97  bl	#0xfffffff009f10d7c
0xfffffff009f5bf04: 170080d2  mov	x23, #0
0xfffffff009f5bf08: 1f0c0071  cmp	w0, #3
0xfffffff009f5bf0c: c1060054  b.ne	#0xfffffff009f5bfe4
0xfffffff009f5bf10: e00313aa  mov	x0, x19
0xfffffff009f5bf14: 1f46fe97  bl	#0xfffffff009eed790
0xfffffff009f5bf18: 60030036  tbz	w0, #0, #0xfffffff009f5bf84
0xfffffff009f5bf1c: 170080d2  mov	x23, #0
0xfffffff009f5bf20: 31000014  b	#0xfffffff009f5bfe4
0xfffffff009f5bf24: 9a018052  mov	w26, #0xc
0xfffffff009f5bf28: 30ffff17  b	#0xfffffff009f5bbe8
0xfffffff009f5bf2c: 093e8452  mov	w9, #0x21f0
0xfffffff009f5bf30: 6902098b  add	x9, x19, x9
0xfffffff009f5bf34: e8e701a9  stp	x8, x25, [sp, #0x18]
0xfffffff009f5bf38: 8a3c8152  mov	w10, #0x9e4
0xfffffff009f5bf3c: 4bc8fed0  adrp	x11, #0xfffffff007865000
0xfffffff009f5bf40: 6b793b91  add	x11, x11, #0xede
0xfffffff009f5bf44: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009f5bf48: e90b00f9  str	x9, [sp, #0x10]
0xfffffff009f5bf4c: 40c8fed0  adrp	x0, #0xfffffff007865000
0xfffffff009f5bf50: 008c3a91  add	x0, x0, #0xea3
0xfffffff009f5bf54: 5c8efc97  bl	#0xfffffff009e7f8c4
0xfffffff009f5bf58: ba0b8052  mov	w26, #0x5d
0xfffffff009f5bf5c: 36000014  b	#0xfffffff009f5c034
0xfffffff009f5bf60: 1a008052  mov	w26, #0
0xfffffff009f5bf64: 9f0200f9  str	xzr, [x20]
0xfffffff009f5bf68: 33000014  b	#0xfffffff009f5c034
0xfffffff009f5bf6c: 1f0100f1  cmp	x8, #0
0xfffffff009f5bf70: a80b8052  mov	w8, #0x5d
0xfffffff009f5bf74: 1a019f1a  csel	w26, w8, wzr, eq
0xfffffff009f5bf78: 2f000014  b	#0xfffffff009f5c034
0xfffffff009f5bf7c: 5a048052  mov	w26, #0x22
0xfffffff009f5bf80: 2d000014  b	#0xfffffff009f5c034
0xfffffff009f5bf84: e00313aa  mov	x0, x19
0xfffffff009f5bf88: 7dd3fe97  bl	#0xfffffff009f10d7c
0xfffffff009f5bf8c: 1f0c0071  cmp	w0, #3
0xfffffff009f5bf90: 21080054  b.ne	#0xfffffff009f5c094
0xfffffff009f5bf94: e1830191  add	x1, sp, #0x60
0xfffffff009f5bf98: e2630191  add	x2, sp, #0x58
0xfffffff009f5bf9c: e00313aa  mov	x0, x19
0xfffffff009f5bfa0: 31c8fe97  bl	#0xfffffff009f0e064
0xfffffff009f5bfa4: e0010034  cbz	w0, #0xfffffff009f5bfe0
0xfffffff009f5bfa8: fa0300aa  mov	x26, x0
0xfffffff009f5bfac: 083e8452  mov	w8, #0x21f0
0xfffffff009f5bfb0: 6802088b  add	x8, x19, x8
0xfffffff009f5bfb4: 69478152  mov	w9, #0xa3b
0xfffffff009f5bfb8: 4ac8fed0  adrp	x10, #0xfffffff007865000
0xfffffff009f5bfbc: 4a793b91  add	x10, x10, #0xede
0xfffffff009f5bfc0: ea2700a9  stp	x10, x9, [sp]
0xfffffff009f5bfc4: e92340f9  ldr	x9, [sp, #0x40]
0xfffffff009f5bfc8: e9eb01a9  stp	x9, x26, [sp, #0x18]
