; Candidate 12742
; ADRP+ADD at VM 0xfffffff00914ec84 (fileoff 0x214ac84): page=0x1fe339000 add_imm=0xeaf

0xfffffff00914ec04: f30300aa  mov	x19, x0
0xfffffff00914ec08: 368e00f0  adrp	x22, #0xfffffff00a315000
0xfffffff00914ec0c: a00100b4  cbz	x0, #0xfffffff00914ec40
0xfffffff00914ec10: 378e00f0  adrp	x23, #0xfffffff00a315000
0xfffffff00914ec14: f7c21f91  add	x23, x23, #0x7f0
0xfffffff00914ec18: e80240b9  ldr	w8, [x23]
0xfffffff00914ec1c: 1f090071  cmp	w8, #2
0xfffffff00914ec20: 03040054  b.lo	#0xfffffff00914eca0
0xfffffff00914ec24: c8625e39  ldrb	w8, [x22, #0x798]
0xfffffff00914ec28: 08020034  cbz	w8, #0xfffffff00914ec68
0xfffffff00914ec2c: f50300f9  str	x21, [sp]
0xfffffff00914ec30: c019ffb0  adrp	x0, #0xfffffff007487000
0xfffffff00914ec34: 003c3b91  add	x0, x0, #0xecf
0xfffffff00914ec38: 0aa2b197  bl	#0xfffffff007db7460
0xfffffff00914ec3c: 19000014  b	#0xfffffff00914eca0
0xfffffff00914ec40: c8625e39  ldrb	w8, [x22, #0x798]
0xfffffff00914ec44: 88000034  cbz	w8, #0xfffffff00914ec54
0xfffffff00914ec48: c019ffb0  adrp	x0, #0xfffffff007487000
0xfffffff00914ec4c: 00bc3a91  add	x0, x0, #0xeaf
0xfffffff00914ec50: af000014  b	#0xfffffff00914ef0c
0xfffffff00914ec54: 92fcb597  bl	#0xfffffff007ecde9c
0xfffffff00914ec58: 60010034  cbz	w0, #0xfffffff00914ec84
0xfffffff00914ec5c: c019ffb0  adrp	x0, #0xfffffff007487000
0xfffffff00914ec60: 00bc3a91  add	x0, x0, #0xeaf
0xfffffff00914ec64: c6000014  b	#0xfffffff00914ef7c
0xfffffff00914ec68: 8dfcb597  bl	#0xfffffff007ecde9c
0xfffffff00914ec6c: 20010034  cbz	w0, #0xfffffff00914ec90
0xfffffff00914ec70: f50300f9  str	x21, [sp]
0xfffffff00914ec74: c019ffb0  adrp	x0, #0xfffffff007487000
0xfffffff00914ec78: 003c3b91  add	x0, x0, #0xecf
0xfffffff00914ec7c: e920c897  bl	#0xfffffff008357020
0xfffffff00914ec80: 08000014  b	#0xfffffff00914eca0
0xfffffff00914ec84: c019ffb0  adrp	x0, #0xfffffff007487000
0xfffffff00914ec88: 00bc3a91  add	x0, x0, #0xeaf
0xfffffff00914ec8c: c8000014  b	#0xfffffff00914efac
0xfffffff00914ec90: f50300f9  str	x21, [sp]
0xfffffff00914ec94: c019ffb0  adrp	x0, #0xfffffff007487000
0xfffffff00914ec98: 003c3b91  add	x0, x0, #0xecf
0xfffffff00914ec9c: 2d82cc97  bl	#0xfffffff00846f550
0xfffffff00914eca0: bf1200f1  cmp	x21, #4
0xfffffff00914eca4: c0000054  b.eq	#0xfffffff00914ecbc
0xfffffff00914eca8: c8625e39  ldrb	w8, [x22, #0x798]
0xfffffff00914ecac: a8010034  cbz	w8, #0xfffffff00914ece0
0xfffffff00914ecb0: c019ffb0  adrp	x0, #0xfffffff007487000
0xfffffff00914ecb4: 00c83f91  add	x0, x0, #0xff2
0xfffffff00914ecb8: 95000014  b	#0xfffffff00914ef0c
0xfffffff00914ecbc: 749a00f9  str	x20, [x19, #0x130]
0xfffffff00914ecc0: e80240b9  ldr	w8, [x23]
0xfffffff00914ecc4: 08030034  cbz	w8, #0xfffffff00914ed24
0xfffffff00914ecc8: c8625e39  ldrb	w8, [x22, #0x798]
0xfffffff00914eccc: 48010034  cbz	w8, #0xfffffff00914ecf4
0xfffffff00914ecd0: c019ffb0  adrp	x0, #0xfffffff007487000
0xfffffff00914ecd4: 00703b91  add	x0, x0, #0xedc
0xfffffff00914ecd8: e2a1b197  bl	#0xfffffff007db7460
0xfffffff00914ecdc: 12000014  b	#0xfffffff00914ed24
0xfffffff00914ece0: 6ffcb597  bl	#0xfffffff007ecde9c
0xfffffff00914ece4: 40010034  cbz	w0, #0xfffffff00914ed0c
0xfffffff00914ece8: c019ffb0  adrp	x0, #0xfffffff007487000
0xfffffff00914ecec: 00c83f91  add	x0, x0, #0xff2
0xfffffff00914ecf0: a3000014  b	#0xfffffff00914ef7c
0xfffffff00914ecf4: 6afcb597  bl	#0xfffffff007ecde9c
0xfffffff00914ecf8: 00010034  cbz	w0, #0xfffffff00914ed18
0xfffffff00914ecfc: c019ffb0  adrp	x0, #0xfffffff007487000
0xfffffff00914ed00: 00703b91  add	x0, x0, #0xedc
