; Candidate 7648
; ADRP+ADD at VM 0xfffffff008876508 (fileoff 0x1872508): page=0x1fe973000 add_imm=0xe80

0xfffffff008876488: 63d42d91  add	x3, x3, #0xb75
0xfffffff00887648c: 02008052  mov	w2, #0
0xfffffff008876490: 28f3ea97  bl	#0xfffffff008333130
0xfffffff008876494: e00314aa  mov	x0, x20
0xfffffff008876498: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00887649c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088764a0: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088764a4: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088764a8: ff430291  add	sp, sp, #0x90
0xfffffff0088764ac: ff0f5fd6  retab	
0xfffffff0088764b0: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff0088764b4: 2049ff97  bl	#0xfffffff008848934
0xfffffff0088764b8: 3df70094  bl	#0xfffffff0088b41ac
0xfffffff0088764bc: f50300aa  mov	x21, x0
0xfffffff0088764c0: e0008052  mov	w0, #7
0xfffffff0088764c4: e3140094  bl	#0xfffffff00887b850
0xfffffff0088764c8: f60300aa  mov	x22, x0
0xfffffff0088764cc: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff0088764d0: 771240b9  ldr	w23, [x19, #0x10]
0xfffffff0088764d4: 1849ff97  bl	#0xfffffff008848934
0xfffffff0088764d8: e80314aa  mov	x8, x20
0xfffffff0088764dc: e02304a9  stp	x0, x8, [sp, #0x40]
0xfffffff0088764e0: f35f03a9  stp	x19, x23, [sp, #0x30]
0xfffffff0088764e4: a8148052  mov	w8, #0xa5
0xfffffff0088764e8: e94cff90  adrp	x9, #0xfffffff007212000
0xfffffff0088764ec: 29213591  add	x9, x9, #0xd48
0xfffffff0088764f0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088764f4: a84dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff0088764f8: 08250691  add	x8, x8, #0x189
0xfffffff0088764fc: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff008876500: 680b8052  mov	w8, #0x5b
0xfffffff008876504: f52300a9  stp	x21, x8, [sp]
0xfffffff008876508: 804bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887650c: 00003a91  add	x0, x0, #0xe80
0xfffffff008876510: 818cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008876514: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008876518: 034ffff0  adrp	x3, #0xfffffff007259000
0xfffffff00887651c: 632c2d91  add	x3, x3, #0xb4b
0xfffffff008876520: 02008052  mov	w2, #0
0xfffffff008876524: 03f3ea97  bl	#0xfffffff008333130
0xfffffff008876528: a9ffff17  b	#0xfffffff0088763cc
0xfffffff00887652c: 7f2303d5  pacibsp	
0xfffffff008876530: ff0302d1  sub	sp, sp, #0x80
0xfffffff008876534: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008876538: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00887653c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008876540: fdc30191  add	x29, sp, #0x70
0xfffffff008876544: f30300aa  mov	x19, x0
0xfffffff008876548: 600b8052  mov	w0, #0x5b
0xfffffff00887654c: c1008052  mov	w1, #6
0xfffffff008876550: a0140094  bl	#0xfffffff00887b7d0
0xfffffff008876554: a0050034  cbz	w0, #0xfffffff008876608
0xfffffff008876558: 600b8052  mov	w0, #0x5b
0xfffffff00887655c: af140094  bl	#0xfffffff00887b818
0xfffffff008876560: f50300aa  mov	x21, x0
0xfffffff008876564: 12f70094  bl	#0xfffffff0088b41ac
0xfffffff008876568: f40300aa  mov	x20, x0
0xfffffff00887656c: c0008052  mov	w0, #6
0xfffffff008876570: b8140094  bl	#0xfffffff00887b850
0xfffffff008876574: f5010034  cbz	w21, #0xfffffff0088765b0
0xfffffff008876578: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00887657c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008876580: e84cff90  adrp	x8, #0xfffffff007212000
0xfffffff008876584: 097d2f91  add	x9, x8, #0xbdf
