; Candidate 965
; ADRP+ADD at VM 0xfffffff00813240c (fileoff 0x112e40c): page=0x1fef4a000 add_imm=0xd6a

0xfffffff00813238c: 13a00391  add	x19, x0, #0xe8
0xfffffff008132390: 002040f9  ldr	x0, [x0, #0x40]
0xfffffff008132394: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff008132398: 083d40f9  ldr	x8, [x8, #0x78]
0xfffffff00813239c: 880000b4  cbz	x8, #0xfffffff0081323ac
0xfffffff0081323a0: 01008052  mov	w1, #0
0xfffffff0081323a4: b1679ed2  mov	x17, #0xf33d
0xfffffff0081323a8: 11093fd7  blraa	x8, x17
0xfffffff0081323ac: 680240f9  ldr	x8, [x19]
0xfffffff0081323b0: a80000b4  cbz	x8, #0xfffffff0081323c4
0xfffffff0081323b4: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff0081323b8: 08054039  ldrb	w8, [x8, #1]
0xfffffff0081323bc: 1f790071  cmp	w8, #0x1e
0xfffffff0081323c0: 81010054  b.ne	#0xfffffff0081323f0
0xfffffff0081323c4: e00314aa  mov	x0, x20
0xfffffff0081323c8: e10313aa  mov	x1, x19
0xfffffff0081323cc: 02068052  mov	w2, #0x30
0xfffffff0081323d0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0081323d4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0081323d8: ff030191  add	sp, sp, #0x40
0xfffffff0081323dc: ff2303d5  autibsp	
0xfffffff0081323e0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0081323e4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0081323ec
0xfffffff0081323e8: 208e38d4  brk	#0xc471
0xfffffff0081323ec: 81d1f917  b	#0xfffffff007fa69f0
0xfffffff0081323f0: 28ce8052  mov	w8, #0x671
0xfffffff0081323f4: 497affd0  adrp	x9, #0xfffffff00707c000
0xfffffff0081323f8: 29b13491  add	x9, x9, #0xd2c
0xfffffff0081323fc: 4a7affd0  adrp	x10, #0xfffffff00707c000
0xfffffff008132400: 4a493691  add	x10, x10, #0xd92
0xfffffff008132404: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008132408: ea4f00a9  stp	x10, x19, [sp]
0xfffffff00813240c: 407affd0  adrp	x0, #0xfffffff00707c000
0xfffffff008132410: 00a83591  add	x0, x0, #0xd6a
0xfffffff008132414: 3e880d94  bl	#0xfffffff00849450c
0xfffffff008132418: 7f2303d5  pacibsp	
0xfffffff00813241c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008132420: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008132424: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008132428: fdc30091  add	x29, sp, #0x30
0xfffffff00813242c: f30301aa  mov	x19, x1
0xfffffff008132430: f40300aa  mov	x20, x0
0xfffffff008132434: 002040f9  ldr	x0, [x0, #0x40]
0xfffffff008132438: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff00813243c: 083d40f9  ldr	x8, [x8, #0x78]
0xfffffff008132440: 880000b4  cbz	x8, #0xfffffff008132450
0xfffffff008132444: 01008052  mov	w1, #0
0xfffffff008132448: b1679ed2  mov	x17, #0xf33d
0xfffffff00813244c: 11093fd7  blraa	x8, x17
0xfffffff008132450: 680240f9  ldr	x8, [x19]
0xfffffff008132454: a80000b4  cbz	x8, #0xfffffff008132468
0xfffffff008132458: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff00813245c: 08054039  ldrb	w8, [x8, #1]
0xfffffff008132460: 1f790071  cmp	w8, #0x1e
0xfffffff008132464: 81010054  b.ne	#0xfffffff008132494
0xfffffff008132468: 81a20391  add	x1, x20, #0xe8
0xfffffff00813246c: e00313aa  mov	x0, x19
0xfffffff008132470: 02068052  mov	w2, #0x30
0xfffffff008132474: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008132478: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00813247c: ff030191  add	sp, sp, #0x40
0xfffffff008132480: ff2303d5  autibsp	
0xfffffff008132484: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008132488: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008132490
