; Candidate 916
; ADRP+ADD at VM 0xfffffff00810705c (fileoff 0x110305c): page=0x1fef6e000 add_imm=0xd2e

0xfffffff008106fdc: 081540b9  ldr	w8, [x8, #0x14]
0xfffffff008106fe0: 280f00b9  str	w8, [x25, #0xc]
0xfffffff008106fe4: 685e40f9  ldr	x8, [x19, #0xb8]
0xfffffff008106fe8: 089540b9  ldr	w8, [x8, #0x94]
0xfffffff008106fec: 281300b9  str	w8, [x25, #0x10]
0xfffffff008106ff0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008106ff4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008106ff8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008106ffc: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008107000: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008107004: ffc30191  add	sp, sp, #0x70
0xfffffff008107008: ff0f5fd6  retab	
0xfffffff00810700c: 887bffd0  adrp	x8, #0xfffffff007079000
0xfffffff008107010: 08d13691  add	x8, x8, #0xdb4
0xfffffff008107014: c9368152  mov	w9, #0x9b6
0xfffffff008107018: e82700a9  stp	x8, x9, [sp]
0xfffffff00810701c: 807bfff0  adrp	x0, #0xfffffff00707a000
0xfffffff008107020: 00b01191  add	x0, x0, #0x46c
0xfffffff008107024: 3a350e94  bl	#0xfffffff00849450c
0xfffffff008107028: 08384079  ldrh	w8, [x0, #0x1c]
0xfffffff00810702c: a9258252  mov	w9, #0x112d
0xfffffff008107030: 0a7cffd0  adrp	x10, #0xfffffff007089000
0xfffffff008107034: 4af13b91  add	x10, x10, #0xefc
0xfffffff008107038: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00810703c: e80300a9  stp	x8, x0, [sp]
0xfffffff008107040: 007cffd0  adrp	x0, #0xfffffff007089000
0xfffffff008107044: 00ac3f91  add	x0, x0, #0xfeb
0xfffffff008107048: 31350e94  bl	#0xfffffff00849450c
0xfffffff00810704c: 687bffd0  adrp	x8, #0xfffffff007075000
0xfffffff008107050: 08713291  add	x8, x8, #0xc9c
0xfffffff008107054: a9198052  mov	w9, #0xcd
0xfffffff008107058: e82700a9  stp	x8, x9, [sp]
0xfffffff00810705c: 607bffd0  adrp	x0, #0xfffffff007075000
0xfffffff008107060: 00b83491  add	x0, x0, #0xd2e
0xfffffff008107064: 2a350e94  bl	#0xfffffff00849450c
0xfffffff008107068: 7f2303d5  pacibsp	
0xfffffff00810706c: ff0302d1  sub	sp, sp, #0x80
0xfffffff008107070: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008107074: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008107078: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00810707c: fdc30191  add	x29, sp, #0x70
0xfffffff008107080: c00800b4  cbz	x0, #0xfffffff008107198
0xfffffff008107084: f30300aa  mov	x19, x0
0xfffffff008107088: 080440f9  ldr	x8, [x0, #8]
0xfffffff00810708c: 480900b4  cbz	x8, #0xfffffff0081071b4
0xfffffff008107090: f50302aa  mov	x21, x2
0xfffffff008107094: e20900b4  cbz	x2, #0xfffffff0081071d0
0xfffffff008107098: f40303aa  mov	x20, x3
0xfffffff00810709c: 830a00b4  cbz	x3, #0xfffffff0081071ec
0xfffffff0081070a0: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff0081070a4: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff0081070a8: ff4b00b9  str	wzr, [sp, #0x48]
0xfffffff0081070ac: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff0081070b0: 89c38352  mov	w9, #0x1e1c
0xfffffff0081070b4: e9630079  strh	w9, [sp, #0x30]
0xfffffff0081070b8: 0081c03c  ldur	q0, [x8, #8]
0xfffffff0081070bc: e083833c  stur	q0, [sp, #0x38]
0xfffffff0081070c0: ff2b00b9  str	wzr, [sp, #0x28]
0xfffffff0081070c4: ffff01a9  stp	xzr, xzr, [sp, #0x18]
0xfffffff0081070c8: ff0b00f9  str	xzr, [sp, #0x10]
0xfffffff0081070cc: e9230079  strh	w9, [sp, #0x10]
0xfffffff0081070d0: 0081c13c  ldur	q0, [x8, #0x18]
0xfffffff0081070d4: e083813c  stur	q0, [sp, #0x18]
0xfffffff0081070d8: e2c30091  add	x2, sp, #0x30
