; Candidate 7268
; ADRP+ADD at VM 0xfffffff0088641e8 (fileoff 0x18601e8): page=0x1fe9c4000 add_imm=0xd4a

0xfffffff008864168: 21008052  mov	w1, #1
0xfffffff00886416c: b0d50094  bl	#0xfffffff00889982c
0xfffffff008864170: e0070034  cbz	w0, #0xfffffff00886426c
0xfffffff008864174: f40300aa  mov	x20, x0
0xfffffff008864178: 600c8052  mov	w0, #0x63
0xfffffff00886417c: 81008052  mov	w1, #4
0xfffffff008864180: 945d0094  bl	#0xfffffff00887b7d0
0xfffffff008864184: e0f1ff34  cbz	w0, #0xfffffff008863fc0
0xfffffff008864188: 600c8052  mov	w0, #0x63
0xfffffff00886418c: a35d0094  bl	#0xfffffff00887b818
0xfffffff008864190: f60300aa  mov	x22, x0
0xfffffff008864194: 06400194  bl	#0xfffffff0088b41ac
0xfffffff008864198: f50300aa  mov	x21, x0
0xfffffff00886419c: 80008052  mov	w0, #4
0xfffffff0088641a0: ac5d0094  bl	#0xfffffff00887b850
0xfffffff0088641a4: 560b0034  cbz	w22, #0xfffffff00886430c
0xfffffff0088641a8: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff0088641ac: e90314aa  mov	x9, x20
0xfffffff0088641b0: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff0088641b4: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff0088641b8: 694dff90  adrp	x9, #0xfffffff007210000
0xfffffff0088641bc: 2bb92791  add	x11, x9, #0x9ee
0xfffffff0088641c0: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff0088641c4: 08648052  mov	w8, #0x320
0xfffffff0088641c8: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff0088641cc: 29813091  add	x9, x9, #0xc20
0xfffffff0088641d0: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff0088641d4: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff0088641d8: 08811191  add	x8, x8, #0x460
0xfffffff0088641dc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088641e0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088641e4: 680c8052  mov	w8, #0x63
0xfffffff0088641e8: 204eff90  adrp	x0, #0xfffffff007228000
0xfffffff0088641ec: 00283591  add	x0, x0, #0xd4a
0xfffffff0088641f0: aefeff17  b	#0xfffffff008863ca8
0xfffffff0088641f4: ee3f0194  bl	#0xfffffff0088b41ac
0xfffffff0088641f8: f50300aa  mov	x21, x0
0xfffffff0088641fc: 80008052  mov	w0, #4
0xfffffff008864200: 945d0094  bl	#0xfffffff00887b850
0xfffffff008864204: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff008864208: e90314aa  mov	x9, x20
0xfffffff00886420c: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff008864210: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008864214: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff008864218: 684dff90  adrp	x8, #0xfffffff007210000
0xfffffff00886421c: 0bb92791  add	x11, x8, #0x9ee
0xfffffff008864220: 48638052  mov	w8, #0x31a
0xfffffff008864224: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff008864228: 29813091  add	x9, x9, #0xc20
0xfffffff00886422c: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff008864230: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff008864234: 08811191  add	x8, x8, #0x460
0xfffffff008864238: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886423c: 680c8052  mov	w8, #0x63
0xfffffff008864240: 834fffd0  adrp	x3, #0xfffffff007256000
0xfffffff008864244: 63181f91  add	x3, x3, #0x7c6
0xfffffff008864248: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886424c: f50300f9  str	x21, [sp]
0xfffffff008864250: 204cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008864254: 00003a91  add	x0, x0, #0xe80
0xfffffff008864258: 218dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00886425c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008864260: 02008052  mov	w2, #0
0xfffffff008864264: b33beb97  bl	#0xfffffff008333130
