; Candidate 13215
; ADRP+ADD at VM 0xfffffff00922cdc4 (fileoff 0x2228dc4): page=0x1fe285000 add_imm=0xd0a

0xfffffff00922cd44: 49011837  tbnz	w9, #3, #0xfffffff00922cd6c
0xfffffff00922cd48: 48010035  cbnz	w8, #0xfffffff00922cd70
0xfffffff00922cd4c: e00313aa  mov	x0, x19
0xfffffff00922cd50: 21008052  mov	w1, #1
0xfffffff00922cd54: 69dbc597  bl	#0xfffffff0083a3af8
0xfffffff00922cd58: 40020034  cbz	w0, #0xfffffff00922cda0
0xfffffff00922cd5c: e00300f9  str	x0, [sp]
0xfffffff00922cd60: 2014ffb0  adrp	x0, #0xfffffff0074b1000
0xfffffff00922cd64: 00dc3491  add	x0, x0, #0xd37
0xfffffff00922cd68: 1d000014  b	#0xfffffff00922cddc
0xfffffff00922cd6c: 28010034  cbz	w8, #0xfffffff00922cd90
0xfffffff00922cd70: e00313aa  mov	x0, x19
0xfffffff00922cd74: 41008052  mov	w1, #2
0xfffffff00922cd78: 60dbc597  bl	#0xfffffff0083a3af8
0xfffffff00922cd7c: 20010034  cbz	w0, #0xfffffff00922cda0
0xfffffff00922cd80: e00300f9  str	x0, [sp]
0xfffffff00922cd84: 2014ffb0  adrp	x0, #0xfffffff0074b1000
0xfffffff00922cd88: 00383591  add	x0, x0, #0xd4e
0xfffffff00922cd8c: 14000014  b	#0xfffffff00922cddc
0xfffffff00922cd90: e00313aa  mov	x0, x19
0xfffffff00922cd94: 010080d2  mov	x1, #0
0xfffffff00922cd98: 58dbc597  bl	#0xfffffff0083a3af8
0xfffffff00922cd9c: a0010035  cbnz	w0, #0xfffffff00922cdd0
0xfffffff00922cda0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00922cda4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00922cda8: ffc30091  add	sp, sp, #0x30
0xfffffff00922cdac: ff0f5fd6  retab	
0xfffffff00922cdb0: e00300f9  str	x0, [sp]
0xfffffff00922cdb4: 2014ffb0  adrp	x0, #0xfffffff0074b1000
0xfffffff00922cdb8: 00783391  add	x0, x0, #0xcde
0xfffffff00922cdbc: 08000014  b	#0xfffffff00922cddc
0xfffffff00922cdc0: e00300f9  str	x0, [sp]
0xfffffff00922cdc4: 2014ffb0  adrp	x0, #0xfffffff0074b1000
0xfffffff00922cdc8: 00283491  add	x0, x0, #0xd0a
0xfffffff00922cdcc: 04000014  b	#0xfffffff00922cddc
0xfffffff00922cdd0: e00300f9  str	x0, [sp]
0xfffffff00922cdd4: 2014ffb0  adrp	x0, #0xfffffff0074b1000
0xfffffff00922cdd8: 00803491  add	x0, x0, #0xd20
0xfffffff00922cddc: 91a8c497  bl	#0xfffffff008357020
0xfffffff00922cde0: 700240f9  ldr	x16, [x19]
0xfffffff00922cde4: f10313aa  mov	x17, x19
0xfffffff00922cde8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00922cdec: 301ac1da  autda	x16, x17
0xfffffff00922cdf0: 115e80d2  mov	x17, #0x2f0
0xfffffff00922cdf4: 1002118b  add	x16, x16, x17
0xfffffff00922cdf8: 080240f9  ldr	x8, [x16]
0xfffffff00922cdfc: e20310aa  mov	x2, x16
0xfffffff00922ce00: f00308aa  mov	x16, x8
0xfffffff00922ce04: e00313aa  mov	x0, x19
0xfffffff00922ce08: 01008052  mov	w1, #0
0xfffffff00922ce0c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00922ce10: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00922ce14: ffc30091  add	sp, sp, #0x30
0xfffffff00922ce18: ff2303d5  autibsp	
0xfffffff00922ce1c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00922ce20: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00922ce28
0xfffffff00922ce24: 208e38d4  brk	#0xc471
0xfffffff00922ce28: f10302aa  mov	x17, x2
0xfffffff00922ce2c: b1d8ebf2  movk	x17, #0x5ec5, lsl #48
0xfffffff00922ce30: 110a1fd7  braa	x16, x17
0xfffffff00922ce34: 5f2403d5  bti	c
0xfffffff00922ce38: 40008052  mov	w0, #2
0xfffffff00922ce3c: c0035fd6  ret	
0xfffffff00922ce40: 5f2403d5  bti	c
