; Candidate 10716
; ADRP+ADD at VM 0xfffffff008de409c (fileoff 0x1de009c): page=0x1fe5e0000 add_imm=0xd21

0xfffffff008de401c: ea2700a9  stp	x10, x9, [sp]
0xfffffff008de4020: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4024: 00543891  add	x0, x0, #0xe15
0xfffffff008de4028: fecbd597  bl	#0xfffffff008357020
0xfffffff008de402c: 70ffff17  b	#0xfffffff008de3dec
0xfffffff008de4030: 7f2303d5  pacibsp	
0xfffffff008de4034: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008de4038: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff008de403c: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff008de4040: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008de4044: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008de4048: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008de404c: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008de4050: fd430291  add	x29, sp, #0x90
0xfffffff008de4054: f50307aa  mov	x21, x7
0xfffffff008de4058: f30306aa  mov	x19, x6
0xfffffff008de405c: f90305aa  mov	x25, x5
0xfffffff008de4060: fa0304aa  mov	x26, x4
0xfffffff008de4064: fb0303aa  mov	x27, x3
0xfffffff008de4068: fc0302aa  mov	x28, x2
0xfffffff008de406c: e11b00f9  str	x1, [sp, #0x30]
0xfffffff008de4070: f60300aa  mov	x22, x0
0xfffffff008de4074: d8a800f0  adrp	x24, #0xfffffff00a2ff000
0xfffffff008de4078: 18432c91  add	x24, x24, #0xb10
0xfffffff008de407c: 08034039  ldrb	w8, [x24]
0xfffffff008de4080: f72effd0  adrp	x23, #0xfffffff0073c2000
0xfffffff008de4084: f70a0e91  add	x23, x23, #0x382
0xfffffff008de4088: f42effb0  adrp	x20, #0xfffffff0073c1000
0xfffffff008de408c: 949e0c91  add	x20, x20, #0x327
0xfffffff008de4090: 1f290071  cmp	w8, #0xa
0xfffffff008de4094: a8000054  b.hi	#0xfffffff008de40a8
0xfffffff008de4098: f45f00a9  stp	x20, x23, [sp]
0xfffffff008de409c: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de40a0: 00843491  add	x0, x0, #0xd21
0xfffffff008de40a4: dfcbd597  bl	#0xfffffff008357020
0xfffffff008de40a8: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff008de40ac: f60a00b4  cbz	x22, #0xfffffff008de4208
0xfffffff008de40b0: fc0b00b4  cbz	x28, #0xfffffff008de422c
0xfffffff008de40b4: d50d00b4  cbz	x21, #0xfffffff008de426c
0xfffffff008de40b8: b80b40f9  ldr	x24, [x29, #0x10]
0xfffffff008de40bc: 980d00b4  cbz	x24, #0xfffffff008de426c
0xfffffff008de40c0: e2e30091  add	x2, sp, #0x38
0xfffffff008de40c4: e00319aa  mov	x0, x25
0xfffffff008de40c8: e10313aa  mov	x1, x19
0xfffffff008de40cc: 77220094  bl	#0xfffffff008decaa8
0xfffffff008de40d0: e00e0035  cbnz	w0, #0xfffffff008de42ac
0xfffffff008de40d4: f71f40f9  ldr	x23, [sp, #0x38]
0xfffffff008de40d8: e00317aa  mov	x0, x23
0xfffffff008de40dc: 840a0094  bl	#0xfffffff008de6aec
0xfffffff008de40e0: f40300aa  mov	x20, x0
0xfffffff008de40e4: e02effb0  adrp	x0, #0xfffffff0073c1000
0xfffffff008de40e8: 00c00a91  add	x0, x0, #0x2b0
0xfffffff008de40ec: e32effb0  adrp	x3, #0xfffffff0073c1000
0xfffffff008de40f0: 63480d91  add	x3, x3, #0x352
0xfffffff008de40f4: e52effd0  adrp	x5, #0xfffffff0073c2000
0xfffffff008de40f8: a5080e91  add	x5, x5, #0x382
0xfffffff008de40fc: e10314aa  mov	x1, x20
0xfffffff008de4100: e20317aa  mov	x2, x23
0xfffffff008de4104: 84cb8052  mov	w4, #0x65c
0xfffffff008de4108: c70a0094  bl	#0xfffffff008de6c24
0xfffffff008de410c: 540f00b4  cbz	x20, #0xfffffff008de42f4
0xfffffff008de4110: e6e30091  add	x6, sp, #0x38
0xfffffff008de4114: e0031caa  mov	x0, x28
0xfffffff008de4118: e1031baa  mov	x1, x27
