; Candidate 7097
; ADRP+ADD at VM 0xfffffff0088575a0 (fileoff 0x18535a0): page=0x1fe992000 add_imm=0xe80

0xfffffff008857520: 9f7600b9  str	wzr, [x20, #0x74]
0xfffffff008857524: e00314aa  mov	x0, x20
0xfffffff008857528: e10315aa  mov	x1, x21
0xfffffff00885752c: 42008052  mov	w2, #2
0xfffffff008857530: 4586fe97  bl	#0xfffffff0087f8e44
0xfffffff008857534: 20ffff17  b	#0xfffffff0088571b4
0xfffffff008857538: 1d730194  bl	#0xfffffff0088b41ac
0xfffffff00885753c: f60300aa  mov	x22, x0
0xfffffff008857540: 80008052  mov	w0, #4
0xfffffff008857544: c3900094  bl	#0xfffffff00887b850
0xfffffff008857548: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff00885754c: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008857550: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008857554: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff008857558: 8c2640b9  ldr	w12, [x20, #0x24]
0xfffffff00885755c: 4d7e8012  mov	w13, #-0x3f3
0xfffffff008857560: ec3707a9  stp	x12, x13, [sp, #0x70]
0xfffffff008857564: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff008857568: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff00885756c: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008857570: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008857574: 48058152  mov	w8, #0x82a
0xfffffff008857578: 694efff0  adrp	x9, #0xfffffff007226000
0xfffffff00885757c: 29e12f91  add	x9, x9, #0xbf8
0xfffffff008857580: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008857584: 884eff90  adrp	x8, #0xfffffff007227000
0xfffffff008857588: 08811191  add	x8, x8, #0x460
0xfffffff00885758c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008857590: 880c8052  mov	w8, #0x64
0xfffffff008857594: e34fff90  adrp	x3, #0xfffffff007253000
0xfffffff008857598: 63c03e91  add	x3, x3, #0xfb0
0xfffffff00885759c: f62300a9  stp	x22, x8, [sp]
0xfffffff0088575a0: 804cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088575a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088575a8: 818dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088575ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088575b0: 02008052  mov	w2, #0
0xfffffff0088575b4: df6eeb97  bl	#0xfffffff008333130
0xfffffff0088575b8: fafeff17  b	#0xfffffff0088571a0
0xfffffff0088575bc: 167e8012  mov	w22, #-0x3f1
0xfffffff0088575c0: fdfeff17  b	#0xfffffff0088571b4
0xfffffff0088575c4: 800c8052  mov	w0, #0x64
0xfffffff0088575c8: 81008052  mov	w1, #4
0xfffffff0088575cc: 81900094  bl	#0xfffffff00887b7d0
0xfffffff0088575d0: 400f0034  cbz	w0, #0xfffffff0088577b8
0xfffffff0088575d4: 800c8052  mov	w0, #0x64
0xfffffff0088575d8: 90900094  bl	#0xfffffff00887b818
0xfffffff0088575dc: f80300aa  mov	x24, x0
0xfffffff0088575e0: f3720194  bl	#0xfffffff0088b41ac
0xfffffff0088575e4: f70300aa  mov	x23, x0
0xfffffff0088575e8: 80008052  mov	w0, #4
0xfffffff0088575ec: 99900094  bl	#0xfffffff00887b850
0xfffffff0088575f0: b80a0034  cbz	w24, #0xfffffff008857744
0xfffffff0088575f4: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088575f8: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff0088575fc: 2a5b40b9  ldr	w10, [x25, #0x58]
0xfffffff008857600: f55b06a9  stp	x21, x22, [sp, #0x60]
0xfffffff008857604: f92b05a9  stp	x25, x10, [sp, #0x50]
0xfffffff008857608: f42704a9  stp	x20, x9, [sp, #0x40]
0xfffffff00885760c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008857610: e80f8152  mov	w8, #0x87f
0xfffffff008857614: 694efff0  adrp	x9, #0xfffffff007226000
0xfffffff008857618: 29e12f91  add	x9, x9, #0xbf8
0xfffffff00885761c: e92302a9  stp	x9, x8, [sp, #0x20]
