; Candidate 7263
; ADRP+ADD at VM 0xfffffff008863db0 (fileoff 0x185fdb0): page=0x1fe986000 add_imm=0xe80

0xfffffff008863d30: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff008863d34: 88628052  mov	w8, #0x314
0xfffffff008863d38: 294effb0  adrp	x9, #0xfffffff007228000
0xfffffff008863d3c: 29813091  add	x9, x9, #0xc20
0xfffffff008863d40: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff008863d44: 284eff90  adrp	x8, #0xfffffff007227000
0xfffffff008863d48: 08811191  add	x8, x8, #0x460
0xfffffff008863d4c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008863d50: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008863d54: 680c8052  mov	w8, #0x63
0xfffffff008863d58: 204effb0  adrp	x0, #0xfffffff007228000
0xfffffff008863d5c: 00083391  add	x0, x0, #0xcc2
0xfffffff008863d60: d2ffff17  b	#0xfffffff008863ca8
0xfffffff008863d64: 12410194  bl	#0xfffffff0088b41ac
0xfffffff008863d68: f50300aa  mov	x21, x0
0xfffffff008863d6c: 80008052  mov	w0, #4
0xfffffff008863d70: b85e0094  bl	#0xfffffff00887b850
0xfffffff008863d74: e80314aa  mov	x8, x20
0xfffffff008863d78: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008863d7c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008863d80: 684dffb0  adrp	x8, #0xfffffff007210000
0xfffffff008863d84: 08b92791  add	x8, x8, #0x9ee
0xfffffff008863d88: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008863d8c: 68618052  mov	w8, #0x30b
0xfffffff008863d90: 294effb0  adrp	x9, #0xfffffff007228000
0xfffffff008863d94: 29813091  add	x9, x9, #0xc20
0xfffffff008863d98: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008863d9c: 284eff90  adrp	x8, #0xfffffff007227000
0xfffffff008863da0: 08811191  add	x8, x8, #0x460
0xfffffff008863da4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008863da8: 680c8052  mov	w8, #0x63
0xfffffff008863dac: f52300a9  stp	x21, x8, [sp]
0xfffffff008863db0: 204cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008863db4: 00003a91  add	x0, x0, #0xe80
0xfffffff008863db8: 218dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008863dbc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008863dc0: 834ffff0  adrp	x3, #0xfffffff007256000
0xfffffff008863dc4: 63001c91  add	x3, x3, #0x700
0xfffffff008863dc8: 02008052  mov	w2, #0
0xfffffff008863dcc: d93ceb97  bl	#0xfffffff008333130
0xfffffff008863dd0: 7c000014  b	#0xfffffff008863fc0
0xfffffff008863dd4: 600c8052  mov	w0, #0x63
0xfffffff008863dd8: 81008052  mov	w1, #4
0xfffffff008863ddc: 7d5e0094  bl	#0xfffffff00887b7d0
0xfffffff008863de0: e00e0034  cbz	w0, #0xfffffff008863fbc
0xfffffff008863de4: 600c8052  mov	w0, #0x63
0xfffffff008863de8: 8c5e0094  bl	#0xfffffff00887b818
0xfffffff008863dec: f50300aa  mov	x21, x0
0xfffffff008863df0: ef400194  bl	#0xfffffff0088b41ac
0xfffffff008863df4: f40300aa  mov	x20, x0
0xfffffff008863df8: 80008052  mov	w0, #4
0xfffffff008863dfc: 955e0094  bl	#0xfffffff00887b850
0xfffffff008863e00: b50a0034  cbz	w21, #0xfffffff008863f54
0xfffffff008863e04: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008863e08: 294effb0  adrp	x9, #0xfffffff007228000
0xfffffff008863e0c: 2abd3291  add	x10, x9, #0xcaf
0xfffffff008863e10: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008863e14: 08628052  mov	w8, #0x310
0xfffffff008863e18: 294effb0  adrp	x9, #0xfffffff007228000
0xfffffff008863e1c: 29813091  add	x9, x9, #0xc20
0xfffffff008863e20: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008863e24: 284eff90  adrp	x8, #0xfffffff007227000
0xfffffff008863e28: 08811191  add	x8, x8, #0x460
0xfffffff008863e2c: e8a701a9  stp	x8, x9, [sp, #0x18]
