; Candidate 4248
; ADRP+ADD at VM 0xfffffff0087998fc (fileoff 0x17958fc): page=0x1fe998000 add_imm=0xd90

0xfffffff00879987c: ed430091  add	x13, sp, #0x10
0xfffffff008799880: 6b000034  cbz	w11, #0xfffffff00879988c
0xfffffff008799884: 8e796ab8  ldr	w14, [x12, x10, lsl #2]
0xfffffff008799888: 02000014  b	#0xfffffff008799890
0xfffffff00879988c: 4e7d4092  and	x14, x10, #0xffffffff
0xfffffff008799890: ae796ef8  ldr	x14, [x13, x14, lsl #3]
0xfffffff008799894: 6e782af8  str	x14, [x3, x10, lsl #3]
0xfffffff008799898: ce0200b4  cbz	x14, #0xfffffff0087998f0
0xfffffff00879989c: 4a050091  add	x10, x10, #1
0xfffffff0087998a0: 1f020aeb  cmp	x16, x10
0xfffffff0087998a4: e1feff54  b.ne	#0xfffffff008799880
0xfffffff0087998a8: 51ffff17  b	#0xfffffff0087995ec
0xfffffff0087998ac: ff01102b  cmn	w15, w16
0xfffffff0087998b0: c1010054  b.ne	#0xfffffff0087998e8
0xfffffff0087998b4: 084effd0  adrp	x8, #0xfffffff00715b000
0xfffffff0087998b8: 080d3f91  add	x8, x8, #0xfc3
0xfffffff0087998bc: e80300f9  str	x8, [sp]
0xfffffff0087998c0: c04cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087998c4: 00403691  add	x0, x0, #0xd90
0xfffffff0087998c8: 2193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087998cc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087998d0: 834dff90  adrp	x3, #0xfffffff007149000
0xfffffff0087998d4: 63280491  add	x3, x3, #0x10a
0xfffffff0087998d8: 02008052  mov	w2, #0
0xfffffff0087998dc: 1566ee97  bl	#0xfffffff008333130
0xfffffff0087998e0: 20008052  mov	w0, #1
0xfffffff0087998e4: 0f000014  b	#0xfffffff008799920
0xfffffff0087998e8: 00008052  mov	w0, #0
0xfffffff0087998ec: 0d000014  b	#0xfffffff008799920
0xfffffff0087998f0: 084effd0  adrp	x8, #0xfffffff00715b000
0xfffffff0087998f4: 080d3f91  add	x8, x8, #0xfc3
0xfffffff0087998f8: e80300f9  str	x8, [sp]
0xfffffff0087998fc: c04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008799900: 00403691  add	x0, x0, #0xd90
0xfffffff008799904: 2193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008799908: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879990c: 834dff90  adrp	x3, #0xfffffff007149000
0xfffffff008799910: 63440391  add	x3, x3, #0xd1
0xfffffff008799914: 02008052  mov	w2, #0
0xfffffff008799918: 0666ee97  bl	#0xfffffff008333130
0xfffffff00879991c: 40338052  mov	w0, #0x19a
0xfffffff008799920: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008799924: 2993ff90  adrp	x9, #0xfffffff0079fd000
0xfffffff008799928: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff00879992c: 290140f9  ldr	x9, [x9]
0xfffffff008799930: 3f0108eb  cmp	x9, x8
0xfffffff008799934: 21010054  b.ne	#0xfffffff008799958
0xfffffff008799938: fd7b57a9  ldp	x29, x30, [sp, #0x170]
0xfffffff00879993c: f44f56a9  ldp	x20, x19, [sp, #0x160]
0xfffffff008799940: f65755a9  ldp	x22, x21, [sp, #0x150]
0xfffffff008799944: f85f54a9  ldp	x24, x23, [sp, #0x140]
0xfffffff008799948: fa6753a9  ldp	x26, x25, [sp, #0x130]
0xfffffff00879994c: fc6f52a9  ldp	x28, x27, [sp, #0x120]
0xfffffff008799950: ff030691  add	sp, sp, #0x180
0xfffffff008799954: ff0f5fd6  retab	
0xfffffff008799958: 3d11d797  bl	#0xfffffff007d5de4c
0xfffffff00879995c: 5f2403d5  bti	c
0xfffffff008799960: 090080d2  mov	x9, #0
0xfffffff008799964: 08008052  mov	w8, #0
0xfffffff008799968: 0a00098b  add	x10, x0, x9
0xfffffff00879996c: 4b414039  ldrb	w11, [x10, #0x10]
0xfffffff008799970: 8b000034  cbz	w11, #0xfffffff008799980
0xfffffff008799974: 4a494039  ldrb	w10, [x10, #0x12]
0xfffffff008799978: 5f050071  cmp	w10, #1
