; Candidate 9919
; ADRP+ADD at VM 0xfffffff008bc6498 (fileoff 0x1bc2498): page=0x1fe76a000 add_imm=0xdf3

0xfffffff008bc6418: b502088b  add	x21, x21, x8
0xfffffff008bc641c: 940208eb  subs	x20, x20, x8
0xfffffff008bc6420: c1f9ff54  b.ne	#0xfffffff008bc6358
0xfffffff008bc6424: 692240a9  ldp	x9, x8, [x19]
0xfffffff008bc6428: 1f0109eb  cmp	x8, x9
0xfffffff008bc642c: e0079f1a  cset	w0, ne
0xfffffff008bc6430: 0a000014  b	#0xfffffff008bc6458
0xfffffff008bc6434: e039fff0  adrp	x0, #0xfffffff007305000
0xfffffff008bc6438: 00400c91  add	x0, x0, #0x310
0xfffffff008bc643c: 2176fff0  adrp	x1, #0xfffffff007a8d000
0xfffffff008bc6440: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bc6444: 233bff90  adrp	x3, #0xfffffff00732a000
0xfffffff008bc6448: 63e83091  add	x3, x3, #0xc3a
0xfffffff008bc644c: 02008052  mov	w2, #0
0xfffffff008bc6450: 38b3dd97  bl	#0xfffffff008333130
0xfffffff008bc6454: 00008052  mov	w0, #0
0xfffffff008bc6458: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008bc645c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008bc6460: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008bc6464: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008bc6468: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008bc646c: ff030291  add	sp, sp, #0x80
0xfffffff008bc6470: ff0f5fd6  retab	
0xfffffff008bc6474: 683bffb0  adrp	x8, #0xfffffff007333000
0xfffffff008bc6478: 08753791  add	x8, x8, #0xddd
0xfffffff008bc647c: 693bffb0  adrp	x9, #0xfffffff007333000
0xfffffff008bc6480: 291d3791  add	x9, x9, #0xdc7
0xfffffff008bc6484: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008bc6488: 683bffb0  adrp	x8, #0xfffffff007333000
0xfffffff008bc648c: 08753291  add	x8, x8, #0xc9d
0xfffffff008bc6490: a9048052  mov	w9, #0x25
0xfffffff008bc6494: e82700a9  stp	x8, x9, [sp]
0xfffffff008bc6498: 403bffd0  adrp	x0, #0xfffffff007330000
0xfffffff008bc649c: 00cc3791  add	x0, x0, #0xdf3
0xfffffff008bc64a0: ededff97  bl	#0xfffffff008bc1c54
0xfffffff008bc64a4: d62a0094  bl	#0xfffffff008bd0ffc
0xfffffff008bc64a8: d82a0094  bl	#0xfffffff008bd1008
0xfffffff008bc64ac: 7f2303d5  pacibsp	
0xfffffff008bc64b0: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008bc64b4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008bc64b8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008bc64bc: fd830091  add	x29, sp, #0x20
0xfffffff008bc64c0: f30302aa  mov	x19, x2
0xfffffff008bc64c4: f40301aa  mov	x20, x1
0xfffffff008bc64c8: f50300aa  mov	x21, x0
0xfffffff008bc64cc: 36008052  mov	w22, #1
0xfffffff008bc64d0: e00315aa  mov	x0, x21
0xfffffff008bc64d4: e10313aa  mov	x1, x19
0xfffffff008bc64d8: 34250094  bl	#0xfffffff008bcf9a8
0xfffffff008bc64dc: a0000034  cbz	w0, #0xfffffff008bc64f0
0xfffffff008bc64e0: c8060011  add	w8, w22, #1
0xfffffff008bc64e4: df02146b  cmp	w22, w20
0xfffffff008bc64e8: f60308aa  mov	x22, x8
0xfffffff008bc64ec: 29ffff54  b.ls	#0xfffffff008bc64d0
0xfffffff008bc64f0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008bc64f4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008bc64f8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008bc64fc: ff0f5fd6  retab	
0xfffffff008bc6500: 7f2303d5  pacibsp	
0xfffffff008bc6504: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008bc6508: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008bc650c: fd430091  add	x29, sp, #0x10
0xfffffff008bc6510: f40301aa  mov	x20, x1
0xfffffff008bc6514: f30300aa  mov	x19, x0
