; Candidate 6820
; ADRP+ADD at VM 0xfffffff008844430 (fileoff 0x1840430): page=0x1fe9a5000 add_imm=0xe80

0xfffffff0088443b0: 3f034039  ldrb	wzr, [x25]
0xfffffff0088443b4: ff0240b9  ldr	wzr, [x23]
0xfffffff0088443b8: 7dbf0194  bl	#0xfffffff0088b41ac
0xfffffff0088443bc: f50300aa  mov	x21, x0
0xfffffff0088443c0: a0008052  mov	w0, #5
0xfffffff0088443c4: 23dd0094  bl	#0xfffffff00887b850
0xfffffff0088443c8: 88ea40b9  ldr	w8, [x20, #0xe8]
0xfffffff0088443cc: 29074039  ldrb	w9, [x25, #1]
0xfffffff0088443d0: 2a034039  ldrb	w10, [x25]
0xfffffff0088443d4: 8b9640f9  ldr	x11, [x20, #0x128]
0xfffffff0088443d8: 8c5a40b9  ldr	w12, [x20, #0x58]
0xfffffff0088443dc: 8d5241b9  ldr	w13, [x20, #0x150]
0xfffffff0088443e0: ee0240b9  ldr	w14, [x23]
0xfffffff0088443e4: ef0640b9  ldr	w15, [x23, #4]
0xfffffff0088443e8: f00e40b9  ldr	w16, [x23, #0xc]
0xfffffff0088443ec: f0af07a9  stp	x16, x11, [sp, #0x78]
0xfffffff0088443f0: eebf06a9  stp	x14, x15, [sp, #0x68]
0xfffffff0088443f4: eab705a9  stp	x10, x13, [sp, #0x58]
0xfffffff0088443f8: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff0088443fc: ecdb03a9  stp	x12, x22, [sp, #0x38]
0xfffffff008844400: 68f28052  mov	w8, #0x793
0xfffffff008844404: 694effb0  adrp	x9, #0xfffffff007211000
0xfffffff008844408: 29352691  add	x9, x9, #0x98d
0xfffffff00884440c: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff008844410: e84efff0  adrp	x8, #0xfffffff007223000
0xfffffff008844414: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008844418: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884441c: 480a8052  mov	w8, #0x52
0xfffffff008844420: 6350ff90  adrp	x3, #0xfffffff007250000
0xfffffff008844424: 63b40b91  add	x3, x3, #0x2ed
0xfffffff008844428: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884442c: f50300f9  str	x21, [sp]
0xfffffff008844430: 204dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008844434: 00003a91  add	x0, x0, #0xe80
0xfffffff008844438: 218eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00884443c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008844440: 02008052  mov	w2, #0
0xfffffff008844444: 3bbbeb97  bl	#0xfffffff008333130
0xfffffff008844448: 400a8052  mov	w0, #0x52
0xfffffff00884444c: a1008052  mov	w1, #5
0xfffffff008844450: e0dc0094  bl	#0xfffffff00887b7d0
0xfffffff008844454: 20090034  cbz	w0, #0xfffffff008844578
0xfffffff008844458: 400a8052  mov	w0, #0x52
0xfffffff00884445c: efdc0094  bl	#0xfffffff00887b818
0xfffffff008844460: f70300aa  mov	x23, x0
0xfffffff008844464: 52bf0194  bl	#0xfffffff0088b41ac
0xfffffff008844468: f50300aa  mov	x21, x0
0xfffffff00884446c: a0008052  mov	w0, #5
0xfffffff008844470: f8dc0094  bl	#0xfffffff00887b850
0xfffffff008844474: 57030034  cbz	w23, #0xfffffff0088444dc
0xfffffff008844478: f60300aa  mov	x22, x0
0xfffffff00884447c: 995a40b9  ldr	w25, [x20, #0x58]
0xfffffff008844480: e00314aa  mov	x0, x20
0xfffffff008844484: 01fcbf12  mov	w1, #0x1fffff
0xfffffff008844488: a066ff97  bl	#0xfffffff00881df08
0xfffffff00884448c: f70300aa  mov	x23, x0
0xfffffff008844490: e00314aa  mov	x0, x20
0xfffffff008844494: 01fcbf12  mov	w1, #0x1fffff
0xfffffff008844498: ae66ff97  bl	#0xfffffff00881df50
0xfffffff00884449c: f78304a9  stp	x23, x0, [sp, #0x48]
0xfffffff0088444a0: f4e703a9  stp	x20, x25, [sp, #0x38]
0xfffffff0088444a4: 48f38052  mov	w8, #0x79a
0xfffffff0088444a8: 694effb0  adrp	x9, #0xfffffff007211000
0xfffffff0088444ac: 29352691  add	x9, x9, #0x98d
