; Candidate 7159
; ADRP+ADD at VM 0xfffffff00885bd2c (fileoff 0x1857d2c): page=0x1fe98e000 add_imm=0xe80

0xfffffff00885bcac: 37020034  cbz	w23, #0xfffffff00885bcf0
0xfffffff00885bcb0: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885bcb4: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00885bcb8: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00885bcbc: 484eff90  adrp	x8, #0xfffffff007223000
0xfffffff00885bcc0: 09892891  add	x9, x8, #0xa22
0xfffffff00885bcc4: 684eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885bcc8: 08811191  add	x8, x8, #0x460
0xfffffff00885bccc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885bcd0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00885bcd4: 880c8052  mov	w8, #0x64
0xfffffff00885bcd8: a04dfff0  adrp	x0, #0xfffffff007212000
0xfffffff00885bcdc: 000c2191  add	x0, x0, #0x843
0xfffffff00885bce0: f62300a9  stp	x22, x8, [sp]
0xfffffff00885bce4: df6dd597  bl	#0xfffffff007db7460
0xfffffff00885bce8: 540300b5  cbnz	x20, #0xfffffff00885bd50
0xfffffff00885bcec: 23000014  b	#0xfffffff00885bd78
0xfffffff00885bcf0: 2f610194  bl	#0xfffffff0088b41ac
0xfffffff00885bcf4: f60300aa  mov	x22, x0
0xfffffff00885bcf8: 00018052  mov	w0, #8
0xfffffff00885bcfc: d57e0094  bl	#0xfffffff00887b850
0xfffffff00885bd00: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885bd04: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00885bd08: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00885bd0c: 484eff90  adrp	x8, #0xfffffff007223000
0xfffffff00885bd10: 09892891  add	x9, x8, #0xa22
0xfffffff00885bd14: 684eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885bd18: 08811191  add	x8, x8, #0x460
0xfffffff00885bd1c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885bd20: 880c8052  mov	w8, #0x64
0xfffffff00885bd24: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885bd28: f60300f9  str	x22, [sp]
0xfffffff00885bd2c: 604cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885bd30: 00003a91  add	x0, x0, #0xe80
0xfffffff00885bd34: 618dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885bd38: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885bd3c: c34fffb0  adrp	x3, #0xfffffff007254000
0xfffffff00885bd40: 63403d91  add	x3, x3, #0xf50
0xfffffff00885bd44: 02008052  mov	w2, #0
0xfffffff00885bd48: fa5ceb97  bl	#0xfffffff008333130
0xfffffff00885bd4c: 740100b4  cbz	x20, #0xfffffff00885bd78
0xfffffff00885bd50: 550100b4  cbz	x21, #0xfffffff00885bd78
0xfffffff00885bd54: 960a40f9  ldr	x22, [x20, #0x10]
0xfffffff00885bd58: b94a40f9  ldr	x25, [x21, #0x90]
0xfffffff00885bd5c: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff00885bd60: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff00885bd64: 1f210071  cmp	w8, #8
0xfffffff00885bd68: 240b40fa  ccmp	x25, #0, #4, eq
0xfffffff00885bd6c: 41040054  b.ne	#0xfffffff00885bdf4
0xfffffff00885bd70: 990600b5  cbnz	x25, #0xfffffff00885be40
0xfffffff00885bd74: ab000014  b	#0xfffffff00885c020
0xfffffff00885bd78: 800c8052  mov	w0, #0x64
0xfffffff00885bd7c: 81008052  mov	w1, #4
0xfffffff00885bd80: 947e0094  bl	#0xfffffff00887b7d0
0xfffffff00885bd84: a00e0034  cbz	w0, #0xfffffff00885bf58
0xfffffff00885bd88: 800c8052  mov	w0, #0x64
0xfffffff00885bd8c: a37e0094  bl	#0xfffffff00887b818
0xfffffff00885bd90: f70300aa  mov	x23, x0
0xfffffff00885bd94: 06610194  bl	#0xfffffff0088b41ac
0xfffffff00885bd98: f60300aa  mov	x22, x0
0xfffffff00885bd9c: 80008052  mov	w0, #4
0xfffffff00885bda0: ac7e0094  bl	#0xfffffff00887b850
0xfffffff00885bda4: 570a0034  cbz	w23, #0xfffffff00885beec
0xfffffff00885bda8: 684240b9  ldr	w8, [x19, #0x40]
