; Candidate 6944
; ADRP+ADD at VM 0xfffffff00884b938 (fileoff 0x1847938): page=0x1fe99e000 add_imm=0xe80

0xfffffff00884b8b8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884b8bc: a8098052  mov	w8, #0x4d
0xfffffff00884b8c0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884b8c4: f50300f9  str	x21, [sp]
0xfffffff00884b8c8: e04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884b8cc: 00003a91  add	x0, x0, #0xe80
0xfffffff00884b8d0: e18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00884b8d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884b8d8: 2350ffd0  adrp	x3, #0xfffffff007251000
0xfffffff00884b8dc: 63e82891  add	x3, x3, #0xa3a
0xfffffff00884b8e0: 02008052  mov	w2, #0
0xfffffff00884b8e4: 139eeb97  bl	#0xfffffff008333130
0xfffffff00884b8e8: 157d8012  mov	w21, #-0x3e9
0xfffffff00884b8ec: 1c000014  b	#0xfffffff00884b95c
0xfffffff00884b8f0: 2fa20194  bl	#0xfffffff0088b41ac
0xfffffff00884b8f4: f50300aa  mov	x21, x0
0xfffffff00884b8f8: 80008052  mov	w0, #4
0xfffffff00884b8fc: d5bf0094  bl	#0xfffffff00887b850
0xfffffff00884b900: e80314aa  mov	x8, x20
0xfffffff00884b904: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff00884b908: a84effd0  adrp	x8, #0xfffffff007221000
0xfffffff00884b90c: 083d0391  add	x8, x8, #0xcf
0xfffffff00884b910: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00884b914: e8048052  mov	w8, #0x27
0xfffffff00884b918: 294effd0  adrp	x9, #0xfffffff007211000
0xfffffff00884b91c: 29892c91  add	x9, x9, #0xb22
0xfffffff00884b920: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884b924: c84effd0  adrp	x8, #0xfffffff007225000
0xfffffff00884b928: 088d2891  add	x8, x8, #0xa23
0xfffffff00884b92c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884b930: a8098052  mov	w8, #0x4d
0xfffffff00884b934: f52300a9  stp	x21, x8, [sp]
0xfffffff00884b938: e04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884b93c: 00003a91  add	x0, x0, #0xe80
0xfffffff00884b940: e18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00884b944: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884b948: 2350ffd0  adrp	x3, #0xfffffff007251000
0xfffffff00884b94c: 63bc2991  add	x3, x3, #0xa6f
0xfffffff00884b950: 02008052  mov	w2, #0
0xfffffff00884b954: f79deb97  bl	#0xfffffff008333130
0xfffffff00884b958: 557d8012  mov	w21, #-0x3eb
0xfffffff00884b95c: a0098052  mov	w0, #0x4d
0xfffffff00884b960: c1008052  mov	w1, #6
0xfffffff00884b964: 9bbf0094  bl	#0xfffffff00887b7d0
0xfffffff00884b968: 00050034  cbz	w0, #0xfffffff00884ba08
0xfffffff00884b96c: a0098052  mov	w0, #0x4d
0xfffffff00884b970: aabf0094  bl	#0xfffffff00887b818
0xfffffff00884b974: f70300aa  mov	x23, x0
0xfffffff00884b978: 0da20194  bl	#0xfffffff0088b41ac
0xfffffff00884b97c: f60300aa  mov	x22, x0
0xfffffff00884b980: c0008052  mov	w0, #6
0xfffffff00884b984: b3bf0094  bl	#0xfffffff00887b850
0xfffffff00884b988: 97010034  cbz	w23, #0xfffffff00884b9b8
0xfffffff00884b98c: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00884b990: 284effd0  adrp	x8, #0xfffffff007211000
0xfffffff00884b994: 08892c91  add	x8, x8, #0xb22
0xfffffff00884b998: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00884b99c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00884b9a0: a8098052  mov	w8, #0x4d
0xfffffff00884b9a4: c04effd0  adrp	x0, #0xfffffff007225000
0xfffffff00884b9a8: 00042891  add	x0, x0, #0xa01
0xfffffff00884b9ac: f62300a9  stp	x22, x8, [sp]
0xfffffff00884b9b0: acaed597  bl	#0xfffffff007db7460
0xfffffff00884b9b4: 15000014  b	#0xfffffff00884ba08
