; Candidate 12559
; ADRP+ADD at VM 0xfffffff0090bb2d8 (fileoff 0x20b72d8): page=0x1fe39e000 add_imm=0xe24

0xfffffff0090bb258: e00315aa  mov	x0, x21
0xfffffff0090bb25c: 41008052  mov	w1, #2
0xfffffff0090bb260: 02008052  mov	w2, #0
0xfffffff0090bb264: e30313aa  mov	x3, x19
0xfffffff0090bb268: 04028052  mov	w4, #0x10
0xfffffff0090bb26c: 050080d2  mov	x5, #0
0xfffffff0090bb270: 060080d2  mov	x6, #0
0xfffffff0090bb274: 519081d2  mov	x17, #0xc82
0xfffffff0090bb278: 910a3fd7  blraa	x20, x17
0xfffffff0090bb27c: 20080035  cbnz	w0, #0xfffffff0090bb380
0xfffffff0090bb280: 601dffb0  adrp	x0, #0xfffffff007468000
0xfffffff0090bb284: 00640791  add	x0, x0, #0x1d9
0xfffffff0090bb288: 631dff90  adrp	x3, #0xfffffff007467000
0xfffffff0090bb28c: 63683f91  add	x3, x3, #0xfda
0xfffffff0090bb290: 651dffb0  adrp	x5, #0xfffffff007468000
0xfffffff0090bb294: a5a40b91  add	x5, x5, #0x2e9
0xfffffff0090bb298: e10313aa  mov	x1, x19
0xfffffff0090bb29c: 82028052  mov	w2, #0x14
0xfffffff0090bb2a0: 84158052  mov	w4, #0xac
0xfffffff0090bb2a4: da84ff97  bl	#0xfffffff00909c60c
0xfffffff0090bb2a8: 8054ff90  adrp	x0, #0xfffffff007b4b000
0xfffffff0090bb2ac: 00801091  add	x0, x0, #0x420
0xfffffff0090bb2b0: e10313aa  mov	x1, x19
0xfffffff0090bb2b4: 166dca97  bl	#0xfffffff00835670c
0xfffffff0090bb2b8: 13008052  mov	w19, #0
0xfffffff0090bb2bc: 48018052  mov	w8, #0xa
0xfffffff0090bb2c0: 29034039  ldrb	w9, [x25]
0xfffffff0090bb2c4: 1f01096b  cmp	w8, w9
0xfffffff0090bb2c8: e3000054  b.lo	#0xfffffff0090bb2e4
0xfffffff0090bb2cc: 687e4093  sxtw	x8, w19
0xfffffff0090bb2d0: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090bb2d4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090bb2d8: e01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090bb2dc: 00903891  add	x0, x0, #0xe24
0xfffffff0090bb2e0: 506fca97  bl	#0xfffffff008357020
0xfffffff0090bb2e4: e00313aa  mov	x0, x19
0xfffffff0090bb2e8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0090bb2ec: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0090bb2f0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0090bb2f4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0090bb2f8: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0090bb2fc: ff030291  add	sp, sp, #0x80
0xfffffff0090bb300: ff0f5fd6  retab	
0xfffffff0090bb304: c8138052  mov	w8, #0x9e
0xfffffff0090bb308: 691dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bb30c: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bb310: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090bb314: e81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090bb318: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bb31c: 6a1dffb0  adrp	x10, #0xfffffff007468000
0xfffffff0090bb320: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090bb324: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090bb328: ea0300f9  str	x10, [sp]
0xfffffff0090bb32c: e01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090bb330: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090bb334: 3b6fca97  bl	#0xfffffff008357020
0xfffffff0090bb338: 53faffb5  cbnz	x19, #0xfffffff0090bb280
0xfffffff0090bb33c: 0e000014  b	#0xfffffff0090bb374
0xfffffff0090bb340: e8138052  mov	w8, #0x9f
0xfffffff0090bb344: 691dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bb348: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bb34c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090bb350: e81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090bb354: 08b92d91  add	x8, x8, #0xb6e
