; Candidate 9029
; ADRP+ADD at VM 0xfffffff00898d334 (fileoff 0x1989334): page=0x1fe8f6000 add_imm=0xe76

0xfffffff00898d2b4: 09ae42f9  ldr	x9, [x16, #0x558]
0xfffffff00898d2b8: aa47ffd0  adrp	x10, #0xfffffff007283000
0xfffffff00898d2bc: 4abd3891  add	x10, x10, #0xe2f
0xfffffff00898d2c0: a447ffd0  adrp	x4, #0xfffffff007283000
0xfffffff00898d2c4: 84d83991  add	x4, x4, #0xe76
0xfffffff00898d2c8: e02b00a9  stp	x0, x10, [sp]
0xfffffff00898d2cc: e00319aa  mov	x0, x25
0xfffffff00898d2d0: 41008052  mov	w1, #2
0xfffffff00898d2d4: e2031aaa  mov	x2, x26
0xfffffff00898d2d8: 03008052  mov	w3, #0
0xfffffff00898d2dc: f10308aa  mov	x17, x8
0xfffffff00898d2e0: 312ae3f2  movk	x17, #0x1951, lsl #48
0xfffffff00898d2e4: 31093fd7  blraa	x9, x17
0xfffffff00898d2e8: 16000014  b	#0xfffffff00898d340
0xfffffff00898d2ec: a8324239  ldrb	w8, [x21, #0x8c]
0xfffffff00898d2f0: 88020034  cbz	w8, #0xfffffff00898d340
0xfffffff00898d2f4: b00240f9  ldr	x16, [x21]
0xfffffff00898d2f8: f10315aa  mov	x17, x21
0xfffffff00898d2fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898d300: 301ac1da  autda	x16, x17
0xfffffff00898d304: 113d80d2  mov	x17, #0x1e8
0xfffffff00898d308: 1002118b  add	x16, x16, x17
0xfffffff00898d30c: 080240f9  ldr	x8, [x16]
0xfffffff00898d310: e90310aa  mov	x9, x16
0xfffffff00898d314: e00315aa  mov	x0, x21
0xfffffff00898d318: 010080d2  mov	x1, #0
0xfffffff00898d31c: f10309aa  mov	x17, x9
0xfffffff00898d320: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00898d324: 11093fd7  blraa	x8, x17
0xfffffff00898d328: a847ffd0  adrp	x8, #0xfffffff007283000
0xfffffff00898d32c: 08bd3891  add	x8, x8, #0xe2f
0xfffffff00898d330: e02300a9  stp	x0, x8, [sp]
0xfffffff00898d334: a047ffd0  adrp	x0, #0xfffffff007283000
0xfffffff00898d338: 00d83991  add	x0, x0, #0xe76
0xfffffff00898d33c: 3927e797  bl	#0xfffffff008357020
0xfffffff00898d340: a07e40f9  ldr	x0, [x21, #0xf8]
0xfffffff00898d344: e00200b4  cbz	x0, #0xfffffff00898d3a0
0xfffffff00898d348: 100040f9  ldr	x16, [x0]
0xfffffff00898d34c: f10300aa  mov	x17, x0
0xfffffff00898d350: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898d354: 301ac1da  autda	x16, x17
0xfffffff00898d358: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff00898d35c: e90310aa  mov	x9, x16
0xfffffff00898d360: f10309aa  mov	x17, x9
0xfffffff00898d364: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff00898d368: 11093fd7  blraa	x8, x17
0xfffffff00898d36c: 000300f9  str	x0, [x24]
0xfffffff00898d370: a07e40f9  ldr	x0, [x21, #0xf8]
0xfffffff00898d374: 100040f9  ldr	x16, [x0]
0xfffffff00898d378: f10300aa  mov	x17, x0
0xfffffff00898d37c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898d380: 301ac1da  autda	x16, x17
0xfffffff00898d384: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff00898d388: e90310aa  mov	x9, x16
0xfffffff00898d38c: f10309aa  mov	x17, x9
0xfffffff00898d390: 31a2fff2  movk	x17, #0xfd11, lsl #48
0xfffffff00898d394: 11093fd7  blraa	x8, x17
0xfffffff00898d398: 16008052  mov	w22, #0
0xfffffff00898d39c: 800200b9  str	w0, [x20]
0xfffffff00898d3a0: a08240f9  ldr	x0, [x21, #0x100]
0xfffffff00898d3a4: e00200b4  cbz	x0, #0xfffffff00898d400
0xfffffff00898d3a8: 100040f9  ldr	x16, [x0]
0xfffffff00898d3ac: f10300aa  mov	x17, x0
0xfffffff00898d3b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
