; Candidate 5708
; ADRP+ADD at VM 0xfffffff0088014b8 (fileoff 0x17fd4b8): page=0x1fe9e8000 add_imm=0xe80

0xfffffff008801438: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880143c: e80313aa  mov	x8, x19
0xfffffff008801440: c050ff90  adrp	x0, #0xfffffff007219000
0xfffffff008801444: 00540491  add	x0, x0, #0x115
0xfffffff008801448: f72300a9  stp	x23, x8, [sp]
0xfffffff00880144c: 0c000014  b	#0xfffffff00880147c
0xfffffff008801450: 60040034  cbz	w0, #0xfffffff0088014dc
0xfffffff008801454: e803154b  neg	w8, w21
0xfffffff008801458: 28042837  tbnz	w8, #5, #0xfffffff0088014dc
0xfffffff00880145c: 28034079  ldrh	w8, [x25]
0xfffffff008801460: aa835af8  ldur	x10, [x29, #-0x58]
0xfffffff008801464: 49a94329  ldp	w9, w10, [x10, #0x1c]
0xfffffff008801468: 2b0f40b9  ldr	w11, [x25, #0xc]
0xfffffff00880146c: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff008801470: e82700a9  stp	x8, x9, [sp]
0xfffffff008801474: c050ff90  adrp	x0, #0xfffffff007219000
0xfffffff008801478: 00280391  add	x0, x0, #0xca
0xfffffff00880147c: f9d7d697  bl	#0xfffffff007db7460
0xfffffff008801480: 25000014  b	#0xfffffff008801514
0xfffffff008801484: 4acb0294  bl	#0xfffffff0088b41ac
0xfffffff008801488: f70300aa  mov	x23, x0
0xfffffff00880148c: e00314aa  mov	x0, x20
0xfffffff008801490: f0e80194  bl	#0xfffffff00887b850
0xfffffff008801494: 28034079  ldrh	w8, [x25]
0xfffffff008801498: aa835af8  ldur	x10, [x29, #-0x58]
0xfffffff00880149c: 49a94329  ldp	w9, w10, [x10, #0x1c]
0xfffffff0088014a0: 2b0f40b9  ldr	w11, [x25, #0xc]
0xfffffff0088014a4: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0088014a8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088014ac: e80313aa  mov	x8, x19
0xfffffff0088014b0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088014b4: f70300f9  str	x23, [sp]
0xfffffff0088014b8: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088014bc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088014c0: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088014c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088014c8: 0352ffd0  adrp	x3, #0xfffffff007243000
0xfffffff0088014cc: 638c2d91  add	x3, x3, #0xb63
0xfffffff0088014d0: 02008052  mov	w2, #0
0xfffffff0088014d4: 17c7ec97  bl	#0xfffffff008333130
0xfffffff0088014d8: 0f000014  b	#0xfffffff008801514
0xfffffff0088014dc: 28034079  ldrh	w8, [x25]
0xfffffff0088014e0: aa835af8  ldur	x10, [x29, #-0x58]
0xfffffff0088014e4: 49a94329  ldp	w9, w10, [x10, #0x1c]
0xfffffff0088014e8: 2b0f40b9  ldr	w11, [x25, #0xc]
0xfffffff0088014ec: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff0088014f0: e82700a9  stp	x8, x9, [sp]
0xfffffff0088014f4: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088014f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088014fc: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff008801500: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008801504: 0352ffd0  adrp	x3, #0xfffffff007243000
0xfffffff008801508: 63642c91  add	x3, x3, #0xb19
0xfffffff00880150c: 02008052  mov	w2, #0
0xfffffff008801510: 08c7ec97  bl	#0xfffffff008333130
0xfffffff008801514: e00313aa  mov	x0, x19
0xfffffff008801518: e10314aa  mov	x1, x20
0xfffffff00880151c: ade80194  bl	#0xfffffff00887b7d0
0xfffffff008801520: 600b0034  cbz	w0, #0xfffffff00880168c
0xfffffff008801524: e00313aa  mov	x0, x19
0xfffffff008801528: bce80194  bl	#0xfffffff00887b818
0xfffffff00880152c: 3503f837  tbnz	w21, #0x1f, #0xfffffff008801590
0xfffffff008801530: b8021b12  and	w24, w21, #0x20
0xfffffff008801534: 1b000052  eor	w27, w0, #1
