; Candidate 14865
; ADRP+ADD at VM 0xfffffff0099ce9e0 (fileoff 0x29ca9e0): page=0x1fdc1f000 add_imm=0xdba

0xfffffff0099ce960: 45538052  mov	w5, #0x29a
0xfffffff0099ce964: 0d000014  b	#0xfffffff0099ce998
0xfffffff0099ce968: 345b8052  mov	w20, #0x2d9
0xfffffff0099ce96c: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0099ce970: e0e0fef0  adrp	x0, #0xfffffff0075ed000
0xfffffff0099ce974: 00781291  add	x0, x0, #0x49e
0xfffffff0099ce978: 01e1feb0  adrp	x1, #0xfffffff0075ef000
0xfffffff0099ce97c: 21942191  add	x1, x1, #0x865
0xfffffff0099ce980: e2e0fef0  adrp	x2, #0xfffffff0075ed000
0xfffffff0099ce984: 42d81291  add	x2, x2, #0x4b6
0xfffffff0099ce988: 64e1feb0  adrp	x4, #0xfffffff0075fb000
0xfffffff0099ce98c: 84282b91  add	x4, x4, #0xaca
0xfffffff0099ce990: 030080d2  mov	x3, #0
0xfffffff0099ce994: 65558052  mov	w5, #0x2ab
0xfffffff0099ce998: 06008052  mov	w6, #0
0xfffffff0099ce99c: 77280094  bl	#0xfffffff0099d8b78
0xfffffff0099ce9a0: cfffff17  b	#0xfffffff0099ce8dc
0xfffffff0099ce9a4: f40300aa  mov	x20, x0
0xfffffff0099ce9a8: e0e0fef0  adrp	x0, #0xfffffff0075ed000
0xfffffff0099ce9ac: 00781291  add	x0, x0, #0x49e
0xfffffff0099ce9b0: e1e0fef0  adrp	x1, #0xfffffff0075ed000
0xfffffff0099ce9b4: 21801491  add	x1, x1, #0x520
0xfffffff0099ce9b8: 02e1feb0  adrp	x2, #0xfffffff0075ef000
0xfffffff0099ce9bc: 42d82191  add	x2, x2, #0x876
0xfffffff0099ce9c0: 64e1feb0  adrp	x4, #0xfffffff0075fb000
0xfffffff0099ce9c4: 84282b91  add	x4, x4, #0xaca
0xfffffff0099ce9c8: 030080d2  mov	x3, #0
0xfffffff0099ce9cc: a5568052  mov	w5, #0x2b5
0xfffffff0099ce9d0: 06008052  mov	w6, #0
0xfffffff0099ce9d4: 69280094  bl	#0xfffffff0099d8b78
0xfffffff0099ce9d8: b4ffff17  b	#0xfffffff0099ce8a8
0xfffffff0099ce9dc: 5f2403d5  bti	c
0xfffffff0099ce9e0: e0e0fef0  adrp	x0, #0xfffffff0075ed000
0xfffffff0099ce9e4: 00e83691  add	x0, x0, #0xdba
0xfffffff0099ce9e8: c0035fd6  ret	
0xfffffff0099ce9ec: 7f2303d5  pacibsp	
0xfffffff0099ce9f0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0099ce9f4: fd030091  mov	x29, sp
0xfffffff0099ce9f8: c815fff0  adrp	x8, #0xfffffff007c89000
0xfffffff0099ce9fc: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff0099cea00: 020140f9  ldr	x2, [x8]
0xfffffff0099cea04: 100040f9  ldr	x16, [x0]
0xfffffff0099cea08: f10300aa  mov	x17, x0
0xfffffff0099cea0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099cea10: 301ac1da  autda	x16, x17
0xfffffff0099cea14: 112680d2  mov	x17, #0x130
0xfffffff0099cea18: 1002118b  add	x16, x16, x17
0xfffffff0099cea1c: 080240f9  ldr	x8, [x16]
0xfffffff0099cea20: e90310aa  mov	x9, x16
0xfffffff0099cea24: 41e1fed0  adrp	x1, #0xfffffff0075f8000
0xfffffff0099cea28: 21441991  add	x1, x1, #0x651
0xfffffff0099cea2c: 63008052  mov	w3, #3
0xfffffff0099cea30: f10309aa  mov	x17, x9
0xfffffff0099cea34: f141f4f2  movk	x17, #0xa20f, lsl #48
0xfffffff0099cea38: 11093fd7  blraa	x8, x17
0xfffffff0099cea3c: c815fff0  adrp	x8, #0xfffffff007c89000
0xfffffff0099cea40: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff0099cea44: 010140f9  ldr	x1, [x8]
0xfffffff0099cea48: ab54a497  bl	#0xfffffff0082e3cf4
0xfffffff0099cea4c: 000200b4  cbz	x0, #0xfffffff0099cea8c
0xfffffff0099cea50: 100040f9  ldr	x16, [x0]
0xfffffff0099cea54: f10300aa  mov	x17, x0
0xfffffff0099cea58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099cea5c: 301ac1da  autda	x16, x17
