; Candidate 627
; ADRP+ADD at VM 0xfffffff007fc72fc (fileoff 0xfc32fc): page=0x1ff9b5000 add_imm=0xd70

0xfffffff007fc727c: e81301f9  str	x8, [sp, #0x220]
0xfffffff007fc7280: 84320391  add	x4, x20, #0xcc
0xfffffff007fc7284: 600f01d0  adrp	x0, #0xfffffff00a1b5000
0xfffffff007fc7288: 00000e91  add	x0, x0, #0x380
0xfffffff007fc728c: e5030891  add	x5, sp, #0x200
0xfffffff007fc7290: e10318aa  mov	x1, x24
0xfffffff007fc7294: e20314aa  mov	x2, x20
0xfffffff007fc7298: 030080d2  mov	x3, #0
0xfffffff007fc729c: e60315aa  mov	x6, x21
0xfffffff007fc72a0: 743b0b94  bl	#0xfffffff008296070
0xfffffff007fc72a4: 00100034  cbz	w0, #0xfffffff007fc74a4
0xfffffff007fc72a8: f90300aa  mov	x25, x0
0xfffffff007fc72ac: e884fff0  adrp	x8, #0xfffffff007066000
0xfffffff007fc72b0: 08d53491  add	x8, x8, #0xd35
0xfffffff007fc72b4: e86700a9  stp	x8, x25, [sp]
0xfffffff007fc72b8: 2082ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff007fc72bc: 00000091  add	x0, x0, #0
0xfffffff007fc72c0: 811201f0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fc72c4: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fc72c8: 2387fff0  adrp	x3, #0xfffffff0070ae000
0xfffffff007fc72cc: 63f42a91  add	x3, x3, #0xabd
0xfffffff007fc72d0: 02028052  mov	w2, #0x10
0xfffffff007fc72d4: 97af0d94  bl	#0xfffffff008333130
0xfffffff007fc72d8: 600f01d0  adrp	x0, #0xfffffff00a1b5000
0xfffffff007fc72dc: 00000e91  add	x0, x0, #0x380
0xfffffff007fc72e0: e10318aa  mov	x1, x24
0xfffffff007fc72e4: d13a0b94  bl	#0xfffffff008295e28
0xfffffff007fc72e8: e00318aa  mov	x0, x24
0xfffffff007fc72ec: 01008052  mov	w1, #0
0xfffffff007fc72f0: 02028052  mov	w2, #0x10
0xfffffff007fc72f4: 3316f697  bl	#0xfffffff007d4cbc0
0xfffffff007fc72f8: f50319aa  mov	x21, x25
0xfffffff007fc72fc: a0cdffb0  adrp	x0, #0xfffffff00797c000
0xfffffff007fc7300: 00c03591  add	x0, x0, #0xd70
0xfffffff007fc7304: e10316aa  mov	x1, x22
0xfffffff007fc7308: 410af997  bl	#0xfffffff007e09c0c
0xfffffff007fc730c: e00240f9  ldr	x0, [x23]
0xfffffff007fc7310: a00000b4  cbz	x0, #0xfffffff007fc7324
0xfffffff007fc7314: 08504039  ldrb	w8, [x0, #0x14]
0xfffffff007fc7318: 88270036  tbz	w8, #0, #0xfffffff007fc7808
0xfffffff007fc731c: 73530c94  bl	#0xfffffff0082dc0e8
0xfffffff007fc7320: ff0200f9  str	xzr, [x23]
0xfffffff007fc7324: f50300f9  str	x21, [sp]
0xfffffff007fc7328: 2082ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff007fc732c: 00000091  add	x0, x0, #0
0xfffffff007fc7330: 811201f0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fc7334: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fc7338: 2387fff0  adrp	x3, #0xfffffff0070ae000
0xfffffff007fc733c: 63ec2191  add	x3, x3, #0x87b
0xfffffff007fc7340: 02028052  mov	w2, #0x10
0xfffffff007fc7344: 7baf0d94  bl	#0xfffffff008333130
0xfffffff007fc7348: e00314aa  mov	x0, x20
0xfffffff007fc734c: 01008052  mov	w1, #0
0xfffffff007fc7350: a4fdff97  bl	#0xfffffff007fc69e0
0xfffffff007fc7354: 7f0200f9  str	xzr, [x19]
0xfffffff007fc7358: 26000014  b	#0xfffffff007fc73f0
0xfffffff007fc735c: 000080d2  mov	x0, #0
0xfffffff007fc7360: 21029052  mov	w1, #0x8011
0xfffffff007fc7364: e2ff9f52  mov	w2, #0xffff
0xfffffff007fc7368: 03daff97  bl	#0xfffffff007fbdb74
0xfffffff007fc736c: a00240f9  ldr	x0, [x21]
0xfffffff007fc7370: 01008452  mov	w1, #0x2000
0xfffffff007fc7374: 02008452  mov	w2, #0x2000
0xfffffff007fc7378: 3ddaff97  bl	#0xfffffff007fbdc6c
