; Candidate 9358
; ADRP+ADD at VM 0xfffffff008a2cdd8 (fileoff 0x1a28dd8): page=0x1fe86d000 add_imm=0xe40

0xfffffff008a2cd58: e10313aa  mov	x1, x19
0xfffffff008a2cd5c: 02008092  mov	x2, #-1
0xfffffff008a2cd60: 040080d2  mov	x4, #0
0xfffffff008a2cd64: 050080d2  mov	x5, #0
0xfffffff008a2cd68: 6744dd97  bl	#0xfffffff00817df04
0xfffffff008a2cd6c: 700240f9  ldr	x16, [x19]
0xfffffff008a2cd70: f10313aa  mov	x17, x19
0xfffffff008a2cd74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2cd78: 301ac1da  autda	x16, x17
0xfffffff008a2cd7c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a2cd80: 1002118b  add	x16, x16, x17
0xfffffff008a2cd84: 080240f9  ldr	x8, [x16]
0xfffffff008a2cd88: e90310aa  mov	x9, x16
0xfffffff008a2cd8c: e00313aa  mov	x0, x19
0xfffffff008a2cd90: 010080d2  mov	x1, #0
0xfffffff008a2cd94: f10309aa  mov	x17, x9
0xfffffff008a2cd98: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a2cd9c: 11093fd7  blraa	x8, x17
0xfffffff008a2cda0: 700240f9  ldr	x16, [x19]
0xfffffff008a2cda4: f10313aa  mov	x17, x19
0xfffffff008a2cda8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2cdac: 301ac1da  autda	x16, x17
0xfffffff008a2cdb0: 113d80d2  mov	x17, #0x1e8
0xfffffff008a2cdb4: 1002118b  add	x16, x16, x17
0xfffffff008a2cdb8: 080240f9  ldr	x8, [x16]
0xfffffff008a2cdbc: e90310aa  mov	x9, x16
0xfffffff008a2cdc0: e00313aa  mov	x0, x19
0xfffffff008a2cdc4: 010080d2  mov	x1, #0
0xfffffff008a2cdc8: f10309aa  mov	x17, x9
0xfffffff008a2cdcc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a2cdd0: 11093fd7  blraa	x8, x17
0xfffffff008a2cdd4: e00300f9  str	x0, [sp]
0xfffffff008a2cdd8: 6043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a2cddc: 00003991  add	x0, x0, #0xe40
0xfffffff008a2cde0: e180fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a2cde4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a2cde8: a343ff90  adrp	x3, #0xfffffff0072a0000
0xfffffff008a2cdec: 63103591  add	x3, x3, #0xd44
0xfffffff008a2cdf0: 02028052  mov	w2, #0x10
0xfffffff008a2cdf4: cf18e497  bl	#0xfffffff008333130
0xfffffff008a2cdf8: 700240f9  ldr	x16, [x19]
0xfffffff008a2cdfc: f10313aa  mov	x17, x19
0xfffffff008a2ce00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2ce04: 301ac1da  autda	x16, x17
0xfffffff008a2ce08: f10310aa  mov	x17, x16
0xfffffff008a2ce0c: f147c1da  xpacd	x17
0xfffffff008a2ce10: 1f0211eb  cmp	x16, x17
0xfffffff008a2ce14: 40000054  b.eq	#0xfffffff008a2ce1c
0xfffffff008a2ce18: 408e38d4  brk	#0xc472
0xfffffff008a2ce1c: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a2ce20: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a2ce24: e00313aa  mov	x0, x19
0xfffffff008a2ce28: 010080d2  mov	x1, #0
0xfffffff008a2ce2c: f10308aa  mov	x17, x8
0xfffffff008a2ce30: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a2ce34: 31093fd7  blraa	x9, x17
0xfffffff008a2ce38: e00300f9  str	x0, [sp]
0xfffffff008a2ce3c: 8043ffb0  adrp	x0, #0xfffffff00729d000
0xfffffff008a2ce40: 00581f91  add	x0, x0, #0x7d6
0xfffffff008a2ce44: 77a8e497  bl	#0xfffffff008357020
0xfffffff008a2ce48: 00008052  mov	w0, #0
0xfffffff008a2ce4c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008a2ce50: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008a2ce54: f65742a9  ldp	x22, x21, [sp, #0x20]
