; Candidate 13417
; ADRP+ADD at VM 0xfffffff0092cf61c (fileoff 0x22cb61c): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cf59c: 400300b4  cbz	x0, #0xfffffff0092cf604
0xfffffff0092cf5a0: 700240f9  ldr	x16, [x19]
0xfffffff0092cf5a4: f10313aa  mov	x17, x19
0xfffffff0092cf5a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf5ac: 301ac1da  autda	x16, x17
0xfffffff0092cf5b0: 116e80d2  mov	x17, #0x370
0xfffffff0092cf5b4: 1002118b  add	x16, x16, x17
0xfffffff0092cf5b8: 080240f9  ldr	x8, [x16]
0xfffffff0092cf5bc: e90310aa  mov	x9, x16
0xfffffff0092cf5c0: e00313aa  mov	x0, x19
0xfffffff0092cf5c4: f10309aa  mov	x17, x9
0xfffffff0092cf5c8: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cf5cc: 11093fd7  blraa	x8, x17
0xfffffff0092cf5d0: 100040f9  ldr	x16, [x0]
0xfffffff0092cf5d4: f10300aa  mov	x17, x0
0xfffffff0092cf5d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf5dc: 301ac1da  autda	x16, x17
0xfffffff0092cf5e0: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf5e4: 1002118b  add	x16, x16, x17
0xfffffff0092cf5e8: 080240f9  ldr	x8, [x16]
0xfffffff0092cf5ec: e90310aa  mov	x9, x16
0xfffffff0092cf5f0: 010080d2  mov	x1, #0
0xfffffff0092cf5f4: f10309aa  mov	x17, x9
0xfffffff0092cf5f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf5fc: 11093fd7  blraa	x8, x17
0xfffffff0092cf600: 03000014  b	#0xfffffff0092cf60c
0xfffffff0092cf604: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cf608: 00102191  add	x0, x0, #0x844
0xfffffff0092cf60c: a8024079  ldrh	w8, [x21]
0xfffffff0092cf610: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cf614: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cf618: f60300f9  str	x22, [sp]
0xfffffff0092cf61c: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cf620: 00983891  add	x0, x0, #0xe26
0xfffffff0092cf624: 7f1ec297  bl	#0xfffffff008357020
0xfffffff0092cf628: 75ea3991  add	x21, x19, #0xe7a
0xfffffff0092cf62c: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cf630: 94463091  add	x20, x20, #0xc11
0xfffffff0092cf634: e00314aa  mov	x0, x20
0xfffffff0092cf638: e10315aa  mov	x1, x21
0xfffffff0092cf63c: 42008052  mov	w2, #2
0xfffffff0092cf640: 5e76c697  bl	#0xfffffff00846cfb8
0xfffffff0092cf644: c0070034  cbz	w0, #0xfffffff0092cf73c
0xfffffff0092cf648: 700240f9  ldr	x16, [x19]
0xfffffff0092cf64c: f10313aa  mov	x17, x19
0xfffffff0092cf650: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf654: 301ac1da  autda	x16, x17
0xfffffff0092cf658: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf65c: 1002118b  add	x16, x16, x17
0xfffffff0092cf660: 080240f9  ldr	x8, [x16]
0xfffffff0092cf664: e90310aa  mov	x9, x16
0xfffffff0092cf668: e00313aa  mov	x0, x19
0xfffffff0092cf66c: 010080d2  mov	x1, #0
0xfffffff0092cf670: f10309aa  mov	x17, x9
0xfffffff0092cf674: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf678: 11093fd7  blraa	x8, x17
0xfffffff0092cf67c: f60300aa  mov	x22, x0
0xfffffff0092cf680: 700240f9  ldr	x16, [x19]
0xfffffff0092cf684: f10313aa  mov	x17, x19
0xfffffff0092cf688: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf68c: 301ac1da  autda	x16, x17
0xfffffff0092cf690: 116e80d2  mov	x17, #0x370
0xfffffff0092cf694: 1002118b  add	x16, x16, x17
0xfffffff0092cf698: 080240f9  ldr	x8, [x16]
