; Candidate 15189
; ADRP+ADD at VM 0xfffffff009b2dc8c (fileoff 0x2b29c8c): page=0x88c000 add_imm=0xd30

0xfffffff009b2dc0c: 112380d2  mov	x17, #0x118
0xfffffff009b2dc10: 1002118b  add	x16, x16, x17
0xfffffff009b2dc14: 080240f9  ldr	x8, [x16]
0xfffffff009b2dc18: e90310aa  mov	x9, x16
0xfffffff009b2dc1c: f10309aa  mov	x17, x9
0xfffffff009b2dc20: 718af0f2  movk	x17, #0x8453, lsl #48
0xfffffff009b2dc24: 11093fd7  blraa	x8, x17
0xfffffff009b2dc28: 200100b4  cbz	x0, #0xfffffff009b2dc4c
0xfffffff009b2dc2c: e10313aa  mov	x1, x19
0xfffffff009b2dc30: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009b2dc34: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009b2dc38: ff2303d5  autibsp	
0xfffffff009b2dc3c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009b2dc40: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009b2dc48
0xfffffff009b2dc44: 208e38d4  brk	#0xc471
0xfffffff009b2dc48: 79060014  b	#0xfffffff009b2f62c
0xfffffff009b2dc4c: 00008012  mov	w0, #-1
0xfffffff009b2dc50: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009b2dc54: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009b2dc58: ff0f5fd6  retab	
0xfffffff009b2dc5c: 5f2403d5  bti	c
0xfffffff009b2dc60: 3f0000b9  str	wzr, [x1]
0xfffffff009b2dc64: e0588052  mov	w0, #0x2c7
0xfffffff009b2dc68: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009b2dc6c: c0035fd6  ret	
0xfffffff009b2dc70: 5f2403d5  bti	c
0xfffffff009b2dc74: a0da9e17  b	#0xfffffff0082e46f4
0xfffffff009b2dc78: 5f2403d5  bti	c
0xfffffff009b2dc7c: c0035fd6  ret	
0xfffffff009b2dc80: 7f2303d5  pacibsp	
0xfffffff009b2dc84: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b2dc88: fd030091  mov	x29, sp
0xfffffff009b2dc8c: 60440090  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2dc90: 00c03491  add	x0, x0, #0xd30
0xfffffff009b2dc94: c1d7fe90  adrp	x1, #0xfffffff007625000
0xfffffff009b2dc98: 21503791  add	x1, x1, #0xdd4
0xfffffff009b2dc9c: 220dfff0  adrp	x2, #0xfffffff007cd4000
0xfffffff009b2dca0: 424045f9  ldr	x2, [x2, #0xa80]
0xfffffff009b2dca4: 03468052  mov	w3, #0x230
0xfffffff009b2dca8: a4d79e97  bl	#0xfffffff0082e3b38
0xfffffff009b2dcac: 500dffd0  adrp	x16, #0xfffffff007cd7000
0xfffffff009b2dcb0: 10420d91  add	x16, x16, #0x350
0xfffffff009b2dcb4: 10420091  add	x16, x16, #0x10
0xfffffff009b2dcb8: f10300aa  mov	x17, x0
0xfffffff009b2dcbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b2dcc0: 300ac1da  pacda	x16, x17
0xfffffff009b2dcc4: 100000f9  str	x16, [x0]
0xfffffff009b2dcc8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b2dccc: ff0f5fd6  retab	
0xfffffff009b2dcd0: 5f2403d5  bti	c
0xfffffff009b2dcd4: 60440090  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2dcd8: 00c03491  add	x0, x0, #0xd30
0xfffffff009b2dcdc: 86da9e17  b	#0xfffffff0082e46f4
0xfffffff009b2dce0: 7f2303d5  pacibsp	
0xfffffff009b2dce4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b2dce8: fd030091  mov	x29, sp
0xfffffff009b2dcec: c1d7feb0  adrp	x1, #0xfffffff007626000
0xfffffff009b2dcf0: 21fc1891  add	x1, x1, #0x63f
0xfffffff009b2dcf4: 220dfff0  adrp	x2, #0xfffffff007cd4000
0xfffffff009b2dcf8: 423445f9  ldr	x2, [x2, #0xa68]
0xfffffff009b2dcfc: 03038052  mov	w3, #0x18
0xfffffff009b2dd00: 8ed79e97  bl	#0xfffffff0082e3b38
0xfffffff009b2dd04: 500dffd0  adrp	x16, #0xfffffff007cd7000
0xfffffff009b2dd08: 10821791  add	x16, x16, #0x5e0
