; Candidate 12407
; ADRP+ADD at VM 0xfffffff00909c2e0 (fileoff 0x20982e0): page=0x1fe3bd000 add_imm=0xe24

0xfffffff00909c260: e00314aa  mov	x0, x20
0xfffffff00909c264: e20317aa  mov	x2, x23
0xfffffff00909c268: 5e150094  bl	#0xfffffff0090a17e0
0xfffffff00909c26c: 0e000014  b	#0xfffffff00909c2a4
0xfffffff00909c270: 08034039  ldrb	w8, [x24]
0xfffffff00909c274: 1ff10071  cmp	w8, #0x3c
0xfffffff00909c278: 68010054  b.hi	#0xfffffff00909c2a4
0xfffffff00909c27c: c80640f9  ldr	x8, [x22, #8]
0xfffffff00909c280: 291effb0  adrp	x9, #0xfffffff007461000
0xfffffff00909c284: 298d2391  add	x9, x9, #0x8e3
0xfffffff00909c288: 2a1effb0  adrp	x10, #0xfffffff007461000
0xfffffff00909c28c: 4a310c91  add	x10, x10, #0x30c
0xfffffff00909c290: e84f01a9  stp	x8, x19, [sp, #0x10]
0xfffffff00909c294: ea2700a9  stp	x10, x9, [sp]
0xfffffff00909c298: 201effb0  adrp	x0, #0xfffffff007461000
0xfffffff00909c29c: 00f02391  add	x0, x0, #0x8fc
0xfffffff00909c2a0: 60ebca97  bl	#0xfffffff008357020
0xfffffff00909c2a4: 13008052  mov	w19, #0
0xfffffff00909c2a8: 03000014  b	#0xfffffff00909c2b4
0xfffffff00909c2ac: df2200f9  str	xzr, [x22, #0x40]
0xfffffff00909c2b0: dfa60039  strb	wzr, [x22, #0x29]
0xfffffff00909c2b4: 48018052  mov	w8, #0xa
0xfffffff00909c2b8: 09034039  ldrb	w9, [x24]
0xfffffff00909c2bc: 1f01096b  cmp	w8, w9
0xfffffff00909c2c0: 63010054  b.lo	#0xfffffff00909c2ec
0xfffffff00909c2c4: 687e4093  sxtw	x8, w19
0xfffffff00909c2c8: 291effb0  adrp	x9, #0xfffffff007461000
0xfffffff00909c2cc: 298d2391  add	x9, x9, #0x8e3
0xfffffff00909c2d0: 2a1effb0  adrp	x10, #0xfffffff007461000
0xfffffff00909c2d4: 4a310c91  add	x10, x10, #0x30c
0xfffffff00909c2d8: ea2700a9  stp	x10, x9, [sp]
0xfffffff00909c2dc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00909c2e0: e01dffb0  adrp	x0, #0xfffffff007459000
0xfffffff00909c2e4: 00903891  add	x0, x0, #0xe24
0xfffffff00909c2e8: 4eebca97  bl	#0xfffffff008357020
0xfffffff00909c2ec: e00313aa  mov	x0, x19
0xfffffff00909c2f0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00909c2f4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00909c2f8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00909c2fc: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00909c300: ff030291  add	sp, sp, #0x80
0xfffffff00909c304: ff0f5fd6  retab	
0xfffffff00909c308: 28358052  mov	w8, #0x1a9
0xfffffff00909c30c: 291effb0  adrp	x9, #0xfffffff007461000
0xfffffff00909c310: 29550c91  add	x9, x9, #0x315
0xfffffff00909c314: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00909c318: e81dffb0  adrp	x8, #0xfffffff007459000
0xfffffff00909c31c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909c320: 2a1effb0  adrp	x10, #0xfffffff007461000
0xfffffff00909c324: 4aad2391  add	x10, x10, #0x8eb
0xfffffff00909c328: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00909c32c: ea0300f9  str	x10, [sp]
0xfffffff00909c330: e01dffb0  adrp	x0, #0xfffffff007459000
0xfffffff00909c334: 00d42c91  add	x0, x0, #0xb35
0xfffffff00909c338: 3aebca97  bl	#0xfffffff008357020
0xfffffff00909c33c: 53008012  mov	w19, #-3
0xfffffff00909c340: 18000014  b	#0xfffffff00909c3a0
0xfffffff00909c344: 48358052  mov	w8, #0x1aa
0xfffffff00909c348: 291effb0  adrp	x9, #0xfffffff007461000
0xfffffff00909c34c: 29550c91  add	x9, x9, #0x315
0xfffffff00909c350: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909c354: e81dffb0  adrp	x8, #0xfffffff007459000
0xfffffff00909c358: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909c35c: 0a1efff0  adrp	x10, #0xfffffff00745f000
