; Candidate 6694
; ADRP+ADD at VM 0xfffffff00883ae48 (fileoff 0x1836e48): page=0x1fe9af000 add_imm=0xe80

0xfffffff00883adc8: ea2f08a9  stp	x10, x11, [sp, #0x80]
0xfffffff00883adcc: f63f07a9  stp	x22, x15, [sp, #0x70]
0xfffffff00883add0: ee2706a9  stp	x14, x9, [sp, #0x60]
0xfffffff00883add4: ed2305a9  stp	x13, x8, [sp, #0x50]
0xfffffff00883add8: ec5704a9  stp	x12, x21, [sp, #0x40]
0xfffffff00883addc: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00883ade0: 686d8052  mov	w8, #0x36b
0xfffffff00883ade4: 494fffb0  adrp	x9, #0xfffffff007223000
0xfffffff00883ade8: 29312891  add	x9, x9, #0xa0c
0xfffffff00883adec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883adf0: 484fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883adf4: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883adf8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883adfc: 880a8052  mov	w8, #0x54
0xfffffff00883ae00: 404fffb0  adrp	x0, #0xfffffff007223000
0xfffffff00883ae04: 00ac2691  add	x0, x0, #0x9ab
0xfffffff00883ae08: f82300a9  stp	x24, x8, [sp]
0xfffffff00883ae0c: 95f1d597  bl	#0xfffffff007db7460
0xfffffff00883ae10: 72000014  b	#0xfffffff00883afd8
0xfffffff00883ae14: e6e40194  bl	#0xfffffff0088b41ac
0xfffffff00883ae18: f60300aa  mov	x22, x0
0xfffffff00883ae1c: 00018052  mov	w0, #8
0xfffffff00883ae20: 8c020194  bl	#0xfffffff00887b850
0xfffffff00883ae24: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff00883ae28: 484fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883ae2c: 08312891  add	x8, x8, #0xa0c
0xfffffff00883ae30: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883ae34: 484fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883ae38: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883ae3c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883ae40: 880c8052  mov	w8, #0x64
0xfffffff00883ae44: f62300a9  stp	x22, x8, [sp]
0xfffffff00883ae48: 604dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883ae4c: 00003a91  add	x0, x0, #0xe80
0xfffffff00883ae50: 618effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00883ae54: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883ae58: a350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff00883ae5c: 63203791  add	x3, x3, #0xdc8
0xfffffff00883ae60: 02008052  mov	w2, #0
0xfffffff00883ae64: b3e0eb97  bl	#0xfffffff008333130
0xfffffff00883ae68: f4f6ffb5  cbnz	x20, #0xfffffff00883ad44
0xfffffff00883ae6c: 800c8052  mov	w0, #0x64
0xfffffff00883ae70: 81008052  mov	w1, #4
0xfffffff00883ae74: 57020194  bl	#0xfffffff00887b7d0
0xfffffff00883ae78: 60060034  cbz	w0, #0xfffffff00883af44
0xfffffff00883ae7c: 800c8052  mov	w0, #0x64
0xfffffff00883ae80: 66020194  bl	#0xfffffff00887b818
0xfffffff00883ae84: f70300aa  mov	x23, x0
0xfffffff00883ae88: c9e40194  bl	#0xfffffff0088b41ac
0xfffffff00883ae8c: f60300aa  mov	x22, x0
0xfffffff00883ae90: 80008052  mov	w0, #4
0xfffffff00883ae94: 6f020194  bl	#0xfffffff00887b850
0xfffffff00883ae98: 57020034  cbz	w23, #0xfffffff00883aee0
0xfffffff00883ae9c: 484fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883aea0: 08552391  add	x8, x8, #0x8d5
0xfffffff00883aea4: f45704a9  stp	x20, x21, [sp, #0x40]
0xfffffff00883aea8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883aeac: 08698052  mov	w8, #0x348
0xfffffff00883aeb0: 494fffb0  adrp	x9, #0xfffffff007223000
0xfffffff00883aeb4: 29312891  add	x9, x9, #0xa0c
0xfffffff00883aeb8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883aebc: 484fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883aec0: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883aec4: e02301a9  stp	x0, x8, [sp, #0x10]
