; Candidate 3368
; ADRP+ADD at VM 0xfffffff0087381fc (fileoff 0x17341fc): page=0x1fe9f9000 add_imm=0xd90

0xfffffff00873817c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008738184
0xfffffff008738180: 208e38d4  brk	#0xc471
0xfffffff008738184: f10301aa  mov	x17, x1
0xfffffff008738188: 71a1ebf2  movk	x17, #0x5d0b, lsl #48
0xfffffff00873818c: 110a1fd7  braa	x16, x17
0xfffffff008738190: 611241b9  ldr	w1, [x19, #0x110]
0xfffffff008738194: 700240f9  ldr	x16, [x19]
0xfffffff008738198: f10313aa  mov	x17, x19
0xfffffff00873819c: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff0087381a0: 301ac1da  autda	x16, x17
0xfffffff0087381a4: 080e4cf8  ldr	x8, [x16, #0xc0]!
0xfffffff0087381a8: e90310aa  mov	x9, x16
0xfffffff0087381ac: e00313aa  mov	x0, x19
0xfffffff0087381b0: f10309aa  mov	x17, x9
0xfffffff0087381b4: d1cde3f2  movk	x17, #0x1e6e, lsl #48
0xfffffff0087381b8: 11093fd7  blraa	x8, x17
0xfffffff0087381bc: 611241b9  ldr	w1, [x19, #0x110]
0xfffffff0087381c0: 700240f9  ldr	x16, [x19]
0xfffffff0087381c4: f10313aa  mov	x17, x19
0xfffffff0087381c8: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff0087381cc: 301ac1da  autda	x16, x17
0xfffffff0087381d0: 080e4cf8  ldr	x8, [x16, #0xc0]!
0xfffffff0087381d4: e90310aa  mov	x9, x16
0xfffffff0087381d8: e00313aa  mov	x0, x19
0xfffffff0087381dc: f10309aa  mov	x17, x9
0xfffffff0087381e0: d1cde3f2  movk	x17, #0x1e6e, lsl #48
0xfffffff0087381e4: 11093fd7  blraa	x8, x17
0xfffffff0087381e8: 080040b9  ldr	w8, [x0]
0xfffffff0087381ec: 08350a53  ubfx	w8, w8, #0xa, #4
0xfffffff0087381f0: e950ffd0  adrp	x9, #0xfffffff007156000
0xfffffff0087381f4: 29813a91  add	x9, x9, #0xea0
0xfffffff0087381f8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087381fc: c04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008738200: 00403691  add	x0, x0, #0xd90
0xfffffff008738204: 2196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008738208: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873820c: 0350fff0  adrp	x3, #0xfffffff00713b000
0xfffffff008738210: 634c1691  add	x3, x3, #0x593
0xfffffff008738214: 02008052  mov	w2, #0
0xfffffff008738218: c6ebef97  bl	#0xfffffff008333130
0xfffffff00873821c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008738220: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008738224: ffc30091  add	sp, sp, #0x30
0xfffffff008738228: ff0f5fd6  retab	
0xfffffff00873822c: 9f2403d5  bti	j
0xfffffff008738230: 700240f9  ldr	x16, [x19]
0xfffffff008738234: f10313aa  mov	x17, x19
0xfffffff008738238: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff00873823c: 301ac1da  autda	x16, x17
0xfffffff008738240: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff008738244: e10310aa  mov	x1, x16
0xfffffff008738248: f00308aa  mov	x16, x8
0xfffffff00873824c: e00313aa  mov	x0, x19
0xfffffff008738250: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008738254: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008738258: ffc30091  add	sp, sp, #0x30
0xfffffff00873825c: ff2303d5  autibsp	
0xfffffff008738260: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008738264: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00873826c
0xfffffff008738268: 208e38d4  brk	#0xc471
0xfffffff00873826c: f10301aa  mov	x17, x1
0xfffffff008738270: 7110f4f2  movk	x17, #0xa083, lsl #48
0xfffffff008738274: 110a1fd7  braa	x16, x17
0xfffffff008738278: 9f2403d5  bti	j
