; Candidate 3373
; ADRP+ADD at VM 0xfffffff008738798 (fileoff 0x1734798): page=0x1fe9f9000 add_imm=0xd90

0xfffffff008738718: 63901991  add	x3, x3, #0x664
0xfffffff00873871c: 02008052  mov	w2, #0
0xfffffff008738720: 84eaef97  bl	#0xfffffff008333130
0xfffffff008738724: 80138052  mov	w0, #0x9c
0xfffffff008738728: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff00873872c: 010080d2  mov	x1, #0
0xfffffff008738730: 020080d2  mov	x2, #0
0xfffffff008738734: 030080d2  mov	x3, #0
0xfffffff008738738: 040080d2  mov	x4, #0
0xfffffff00873873c: 050080d2  mov	x5, #0
0xfffffff008738740: f115e997  bl	#0xfffffff00817df04
0xfffffff008738744: 691241b9  ldr	w9, [x19, #0x110]
0xfffffff008738748: 681641b9  ldr	w8, [x19, #0x114]
0xfffffff00873874c: 34008012  mov	w20, #-2
0xfffffff008738750: 3f01086b  cmp	w9, w8
0xfffffff008738754: 00f9ff54  b.eq	#0xfffffff008738674
0xfffffff008738758: cfffff17  b	#0xfffffff008738694
0xfffffff00873875c: 7f2303d5  pacibsp	
0xfffffff008738760: ff8300d1  sub	sp, sp, #0x20
0xfffffff008738764: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008738768: fd430091  add	x29, sp, #0x10
0xfffffff00873876c: 00d842f9  ldr	x0, [x0, #0x5b0]
0xfffffff008738770: e00000b4  cbz	x0, #0xfffffff00873878c
0xfffffff008738774: 01008052  mov	w1, #0
0xfffffff008738778: 22008052  mov	w2, #1
0xfffffff00873877c: 23008052  mov	w3, #1
0xfffffff008738780: a3e90094  bl	#0xfffffff008772e0c
0xfffffff008738784: 00008052  mov	w0, #0
0xfffffff008738788: 0e000014  b	#0xfffffff0087387c0
0xfffffff00873878c: e850fff0  adrp	x8, #0xfffffff007157000
0xfffffff008738790: 08ed0091  add	x8, x8, #0x3b
0xfffffff008738794: e80300f9  str	x8, [sp]
0xfffffff008738798: c04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff00873879c: 00403691  add	x0, x0, #0xd90
0xfffffff0087387a0: 2196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087387a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087387a8: 0350fff0  adrp	x3, #0xfffffff00713b000
0xfffffff0087387ac: 63342b91  add	x3, x3, #0xacd
0xfffffff0087387b0: 02008052  mov	w2, #0
0xfffffff0087387b4: 5feaef97  bl	#0xfffffff008333130
0xfffffff0087387b8: 00588052  mov	w0, #0x2c0
0xfffffff0087387bc: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0087387c0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087387c4: ff830091  add	sp, sp, #0x20
0xfffffff0087387c8: ff0f5fd6  retab	
0xfffffff0087387cc: 7f2303d5  pacibsp	
0xfffffff0087387d0: ff8300d1  sub	sp, sp, #0x20
0xfffffff0087387d4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087387d8: fd430091  add	x29, sp, #0x10
0xfffffff0087387dc: 00d842f9  ldr	x0, [x0, #0x5b0]
0xfffffff0087387e0: a00000b4  cbz	x0, #0xfffffff0087387f4
0xfffffff0087387e4: 21008052  mov	w1, #1
0xfffffff0087387e8: cae90094  bl	#0xfffffff008772f10
0xfffffff0087387ec: 00008052  mov	w0, #0
0xfffffff0087387f0: 0e000014  b	#0xfffffff008738828
0xfffffff0087387f4: e850fff0  adrp	x8, #0xfffffff007157000
0xfffffff0087387f8: 08610191  add	x8, x8, #0x58
0xfffffff0087387fc: e80300f9  str	x8, [sp]
0xfffffff008738800: c04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008738804: 00403691  add	x0, x0, #0xd90
0xfffffff008738808: 2196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873880c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008738810: 0350fff0  adrp	x3, #0xfffffff00713b000
0xfffffff008738814: 63782c91  add	x3, x3, #0xb1e
