; Candidate 3579
; ADRP+ADD at VM 0xfffffff008746bb0 (fileoff 0x1742bb0): page=0x1fe9eb000 add_imm=0xd90

0xfffffff008746b30: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff008746b34: 11093fd7  blraa	x8, x17
0xfffffff008746b38: 600600f9  str	x0, [x19, #8]
0xfffffff008746b3c: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff008746b40: 140500f9  str	x20, [x8, #8]
0xfffffff008746b44: b00240f9  ldr	x16, [x21]
0xfffffff008746b48: f10315aa  mov	x17, x21
0xfffffff008746b4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008746b50: 301ac1da  autda	x16, x17
0xfffffff008746b54: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008746b58: e90310aa  mov	x9, x16
0xfffffff008746b5c: e00315aa  mov	x0, x21
0xfffffff008746b60: f10309aa  mov	x17, x9
0xfffffff008746b64: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff008746b68: 11093fd7  blraa	x8, x17
0xfffffff008746b6c: f40300aa  mov	x20, x0
0xfffffff008746b70: b00240f9  ldr	x16, [x21]
0xfffffff008746b74: f10315aa  mov	x17, x21
0xfffffff008746b78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008746b7c: 301ac1da  autda	x16, x17
0xfffffff008746b80: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008746b84: e90310aa  mov	x9, x16
0xfffffff008746b88: e00315aa  mov	x0, x21
0xfffffff008746b8c: f10309aa  mov	x17, x9
0xfffffff008746b90: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff008746b94: 11093fd7  blraa	x8, x17
0xfffffff008746b98: 1f4034eb  cmp	x0, w20, uxtw
0xfffffff008746b9c: a0010054  b.eq	#0xfffffff008746bd0
0xfffffff008746ba0: 08378352  mov	w8, #0x19b8
0xfffffff008746ba4: 8950ffb0  adrp	x9, #0xfffffff007157000
0xfffffff008746ba8: 29893791  add	x9, x9, #0xde2
0xfffffff008746bac: e92300a9  stp	x9, x8, [sp]
0xfffffff008746bb0: 404ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008746bb4: 00403691  add	x0, x0, #0xd90
0xfffffff008746bb8: a195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008746bbc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008746bc0: c34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff008746bc4: 633c2091  add	x3, x3, #0x80f
0xfffffff008746bc8: 02008052  mov	w2, #0
0xfffffff008746bcc: 59b1ef97  bl	#0xfffffff008333130
0xfffffff008746bd0: b00240f9  ldr	x16, [x21]
0xfffffff008746bd4: f10315aa  mov	x17, x21
0xfffffff008746bd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008746bdc: 301ac1da  autda	x16, x17
0xfffffff008746be0: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008746be4: e90310aa  mov	x9, x16
0xfffffff008746be8: e00315aa  mov	x0, x21
0xfffffff008746bec: f10309aa  mov	x17, x9
0xfffffff008746bf0: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff008746bf4: 11093fd7  blraa	x8, x17
0xfffffff008746bf8: fc0300aa  mov	x28, x0
0xfffffff008746bfc: 197c4092  and	x25, x0, #0xffffffff
0xfffffff008746c00: e0031baa  mov	x0, x27
0xfffffff008746c04: 01008052  mov	w1, #0
0xfffffff008746c08: d2f64d94  bl	#0xfffffff009ac4750
0xfffffff008746c0c: f41740f9  ldr	x20, [sp, #0x28]
0xfffffff008746c10: 40cfff34  cbz	w0, #0xfffffff0087465f8
0xfffffff008746c14: 8850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff008746c18: 08893791  add	x8, x8, #0xde2
0xfffffff008746c1c: e80300a9  stp	x8, x0, [sp]
0xfffffff008746c20: 404ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008746c24: 00403691  add	x0, x0, #0xd90
0xfffffff008746c28: a195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008746c2c: 21dc41f9  ldr	x1, [x1, #0x3b8]
