; Candidate 7938
; ADRP+ADD at VM 0xfffffff008888cf8 (fileoff 0x1884cf8): page=0x1fe961000 add_imm=0xe80

0xfffffff008888c78: 2ab92791  add	x10, x9, #0x9ee
0xfffffff008888c7c: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008888c80: c8398052  mov	w8, #0x1ce
0xfffffff008888c84: 294dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff008888c88: 29b11291  add	x9, x9, #0x4ac
0xfffffff008888c8c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008888c90: 284dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008888c94: 087d0391  add	x8, x8, #0xdf
0xfffffff008888c98: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008888c9c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008888ca0: 88098052  mov	w8, #0x4c
0xfffffff008888ca4: 204dffd0  adrp	x0, #0xfffffff00722e000
0xfffffff008888ca8: 00501591  add	x0, x0, #0x554
0xfffffff008888cac: b7ffff17  b	#0xfffffff008888b88
0xfffffff008888cb0: 3fad0094  bl	#0xfffffff0088b41ac
0xfffffff008888cb4: f50300aa  mov	x21, x0
0xfffffff008888cb8: 80008052  mov	w0, #4
0xfffffff008888cbc: e5caff97  bl	#0xfffffff00887b850
0xfffffff008888cc0: e80313aa  mov	x8, x19
0xfffffff008888cc4: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008888cc8: 484cff90  adrp	x8, #0xfffffff007210000
0xfffffff008888ccc: 0ab92791  add	x10, x8, #0x9ee
0xfffffff008888cd0: e8378052  mov	w8, #0x1bf
0xfffffff008888cd4: 294dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff008888cd8: 29b11291  add	x9, x9, #0x4ac
0xfffffff008888cdc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008888ce0: 284dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008888ce4: 087d0391  add	x8, x8, #0xdf
0xfffffff008888ce8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008888cec: 88098052  mov	w8, #0x4c
0xfffffff008888cf0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008888cf4: f50300f9  str	x21, [sp]
0xfffffff008888cf8: 004bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008888cfc: 00003a91  add	x0, x0, #0xe80
0xfffffff008888d00: 018cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008888d04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008888d08: a34effb0  adrp	x3, #0xfffffff00725d000
0xfffffff008888d0c: 631c1091  add	x3, x3, #0x407
0xfffffff008888d10: 02008052  mov	w2, #0
0xfffffff008888d14: 07a9ea97  bl	#0xfffffff008333130
0xfffffff008888d18: 1a000014  b	#0xfffffff008888d80
0xfffffff008888d1c: 24ad0094  bl	#0xfffffff0088b41ac
0xfffffff008888d20: f30300aa  mov	x19, x0
0xfffffff008888d24: 80008052  mov	w0, #4
0xfffffff008888d28: cacaff97  bl	#0xfffffff00887b850
0xfffffff008888d2c: 284dffd0  adrp	x8, #0xfffffff00722e000
0xfffffff008888d30: 08d11291  add	x8, x8, #0x4b4
0xfffffff008888d34: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008888d38: 28338052  mov	w8, #0x199
0xfffffff008888d3c: 294dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff008888d40: 29b11291  add	x9, x9, #0x4ac
0xfffffff008888d44: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008888d48: 284dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008888d4c: 087d0391  add	x8, x8, #0xdf
0xfffffff008888d50: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008888d54: 88098052  mov	w8, #0x4c
0xfffffff008888d58: f32300a9  stp	x19, x8, [sp]
0xfffffff008888d5c: 004bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008888d60: 00003a91  add	x0, x0, #0xe80
0xfffffff008888d64: 018cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008888d68: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008888d6c: a34effb0  adrp	x3, #0xfffffff00725d000
0xfffffff008888d70: 63380f91  add	x3, x3, #0x3ce
0xfffffff008888d74: 02008052  mov	w2, #0
