; Candidate 1314
; ADRP+ADD at VM 0xfffffff00834c72c (fileoff 0x134872c): page=0x1fed57000 add_imm=0xd29

0xfffffff00834c6ac: 9f710171  cmp	w12, #0x5c
0xfffffff00834c6b0: 83040054  b.lo	#0xfffffff00834c740
0xfffffff00834c6b4: e80302aa  mov	x8, x2
0xfffffff00834c6b8: e90301aa  mov	x9, x1
0xfffffff00834c6bc: 530540f9  ldr	x19, [x10, #8]
0xfffffff00834c6c0: 4a1540b9  ldr	w10, [x10, #0x14]
0xfffffff00834c6c4: 730000b4  cbz	x19, #0xfffffff00834c6d0
0xfffffff00834c6c8: 5ff10171  cmp	w10, #0x7c
0xfffffff00834c6cc: a3030054  b.lo	#0xfffffff00834c740
0xfffffff00834c6d0: ebcf00a9  stp	x11, x19, [sp, #8]
0xfffffff00834c6d4: ec2b0329  stp	w12, w10, [sp, #0x18]
0xfffffff00834c6d8: 62514139  ldrb	w2, [x11, #0x54]
0xfffffff00834c6dc: e1230091  add	x1, sp, #8
0xfffffff00834c6e0: e00309aa  mov	x0, x9
0xfffffff00834c6e4: 511586d2  mov	x17, #0x30aa
0xfffffff00834c6e8: 11093fd7  blraa	x8, x17
0xfffffff00834c6ec: a0020035  cbnz	w0, #0xfffffff00834c740
0xfffffff00834c6f0: 681e40b9  ldr	w8, [x19, #0x1c]
0xfffffff00834c6f4: 89d19652  mov	w9, #0xb68c
0xfffffff00834c6f8: 49b4a972  movk	w9, #0x4da2, lsl #16
0xfffffff00834c6fc: 1f01096b  cmp	w8, w9
0xfffffff00834c700: 61010054  b.ne	#0xfffffff00834c72c
0xfffffff00834c704: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff00834c708: 88010034  cbz	w8, #0xfffffff00834c738
0xfffffff00834c70c: 69920091  add	x9, x19, #0x24
0xfffffff00834c710: 29410091  add	x9, x9, #0x10
0xfffffff00834c714: 08050071  subs	w8, w8, #1
0xfffffff00834c718: c1ffff54  b.ne	#0xfffffff00834c710
0xfffffff00834c71c: 28214039  ldrb	w8, [x9, #8]
0xfffffff00834c720: c8001836  tbz	w8, #3, #0xfffffff00834c738
0xfffffff00834c724: 00008052  mov	w0, #0
0xfffffff00834c728: 06000014  b	#0xfffffff00834c740
0xfffffff00834c72c: a06afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff00834c730: 00a43491  add	x0, x0, #0xd29
0xfffffff00834c734: 775bfe97  bl	#0xfffffff0082e3510
0xfffffff00834c738: e0578052  mov	w0, #0x2bf
0xfffffff00834c73c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00834c740: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00834c744: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00834c748: ff030191  add	sp, sp, #0x40
0xfffffff00834c74c: ff0f5fd6  retab	
0xfffffff00834c750: 7f2303d5  pacibsp	
0xfffffff00834c754: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00834c758: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00834c75c: fd430091  add	x29, sp, #0x10
0xfffffff00834c760: 89d19652  mov	w9, #0xb68c
0xfffffff00834c764: 49b4a972  movk	w9, #0x4da2, lsl #16
0xfffffff00834c768: 280040f9  ldr	x8, [x1]
0xfffffff00834c76c: 0a1d40b9  ldr	w10, [x8, #0x1c]
0xfffffff00834c770: 5f01096b  cmp	w10, w9
0xfffffff00834c774: 61070054  b.ne	#0xfffffff00834c860
0xfffffff00834c778: 0b2140b9  ldr	w11, [x8, #0x20]
0xfffffff00834c77c: 0a910091  add	x10, x8, #0x24
0xfffffff00834c780: 8b000034  cbz	w11, #0xfffffff00834c790
0xfffffff00834c784: 4a410091  add	x10, x10, #0x10
0xfffffff00834c788: 6b050071  subs	w11, w11, #1
0xfffffff00834c78c: c1ffff54  b.ne	#0xfffffff00834c784
0xfffffff00834c790: f3578052  mov	w19, #0x2bf
0xfffffff00834c794: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00834c798: 4a0140f9  ldr	x10, [x10]
0xfffffff00834c79c: ebec92d2  mov	x11, #0x9767
0xfffffff00834c7a0: 0bacb6f2  movk	x11, #0xb560, lsl #16
0xfffffff00834c7a4: 0b2eddf2  movk	x11, #0xe970, lsl #32
0xfffffff00834c7a8: eb86f8f2  movk	x11, #0xc437, lsl #48
