; Candidate 5270
; ADRP+ADD at VM 0xfffffff0087e3ab8 (fileoff 0x17dfab8): page=0x1fea06000 add_imm=0xe80

0xfffffff0087e3a38: f60300aa  mov	x22, x0
0xfffffff0087e3a3c: dc410394  bl	#0xfffffff0088b41ac
0xfffffff0087e3a40: f50300aa  mov	x21, x0
0xfffffff0087e3a44: c0008052  mov	w0, #6
0xfffffff0087e3a48: 825f0294  bl	#0xfffffff00887b850
0xfffffff0087e3a4c: d6010034  cbz	w22, #0xfffffff0087e3a84
0xfffffff0087e3a50: e80317aa  mov	x8, x23
0xfffffff0087e3a54: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff0087e3a58: c8978052  mov	w8, #0x4be
0xfffffff0087e3a5c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e3a60: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3a64: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e3a68: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e3a6c: 680e8052  mov	w8, #0x73
0xfffffff0087e3a70: 8051ff90  adrp	x0, #0xfffffff007213000
0xfffffff0087e3a74: 00402091  add	x0, x0, #0x810
0xfffffff0087e3a78: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e3a7c: 794ed797  bl	#0xfffffff007db7460
0xfffffff0087e3a80: 16000014  b	#0xfffffff0087e3ad8
0xfffffff0087e3a84: ca410394  bl	#0xfffffff0088b41ac
0xfffffff0087e3a88: f50300aa  mov	x21, x0
0xfffffff0087e3a8c: c0008052  mov	w0, #6
0xfffffff0087e3a90: 705f0294  bl	#0xfffffff00887b850
0xfffffff0087e3a94: e80317aa  mov	x8, x23
0xfffffff0087e3a98: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff0087e3a9c: c8978052  mov	w8, #0x4be
0xfffffff0087e3aa0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e3aa4: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3aa8: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e3aac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e3ab0: 680e8052  mov	w8, #0x73
0xfffffff0087e3ab4: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e3ab8: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e3abc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e3ac0: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e3ac4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e3ac8: c352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087e3acc: 63cc0f91  add	x3, x3, #0x3f3
0xfffffff0087e3ad0: 02008052  mov	w2, #0
0xfffffff0087e3ad4: 973ded97  bl	#0xfffffff008333130
0xfffffff0087e3ad8: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0087e3adc: 2991ffb0  adrp	x9, #0xfffffff007a08000
0xfffffff0087e3ae0: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0087e3ae4: 290140f9  ldr	x9, [x9]
0xfffffff0087e3ae8: 3f0108eb  cmp	x9, x8
0xfffffff0087e3aec: 615f0054  b.ne	#0xfffffff0087e46d8
0xfffffff0087e3af0: e00317aa  mov	x0, x23
0xfffffff0087e3af4: fd7b52a9  ldp	x29, x30, [sp, #0x120]
0xfffffff0087e3af8: f44f51a9  ldp	x20, x19, [sp, #0x110]
0xfffffff0087e3afc: f65750a9  ldp	x22, x21, [sp, #0x100]
0xfffffff0087e3b00: f85f4fa9  ldp	x24, x23, [sp, #0xf0]
0xfffffff0087e3b04: fa674ea9  ldp	x26, x25, [sp, #0xe0]
0xfffffff0087e3b08: fc6f4da9  ldp	x28, x27, [sp, #0xd0]
0xfffffff0087e3b0c: ffc30491  add	sp, sp, #0x130
0xfffffff0087e3b10: ff0f5fd6  retab	
0xfffffff0087e3b14: a6410394  bl	#0xfffffff0088b41ac
0xfffffff0087e3b18: f50300aa  mov	x21, x0
0xfffffff0087e3b1c: 00018052  mov	w0, #8
0xfffffff0087e3b20: 4c5f0294  bl	#0xfffffff00887b850
0xfffffff0087e3b24: a8758052  mov	w8, #0x3ad
0xfffffff0087e3b28: e85f02a9  stp	x8, x23, [sp, #0x20]
0xfffffff0087e3b2c: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3b30: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e3b34: e02301a9  stp	x0, x8, [sp, #0x10]
