; Candidate 10488
; ADRP+ADD at VM 0xfffffff008d7a488 (fileoff 0x1d76488): page=0x1583000 add_imm=0xd80

0xfffffff008d7a408: 00e01e91  add	x0, x0, #0x7b8
0xfffffff008d7a40c: e1bbd697  bl	#0xfffffff008329390
0xfffffff008d7a410: 28ac00b0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7a414: 004d01f9  str	x0, [x8, #0x298]
0xfffffff008d7a418: a031ffb0  adrp	x0, #0xfffffff0073af000
0xfffffff008d7a41c: 002c1f91  add	x0, x0, #0x7cb
0xfffffff008d7a420: dcbbd697  bl	#0xfffffff008329390
0xfffffff008d7a424: 28ac00b0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7a428: 005101f9  str	x0, [x8, #0x2a0]
0xfffffff008d7a42c: a031ffb0  adrp	x0, #0xfffffff0073af000
0xfffffff008d7a430: 00841f91  add	x0, x0, #0x7e1
0xfffffff008d7a434: d7bbd697  bl	#0xfffffff008329390
0xfffffff008d7a438: 28ac00b0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7a43c: 005501f9  str	x0, [x8, #0x2a8]
0xfffffff008d7a440: 00ac00f0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7a444: 00003691  add	x0, x0, #0xd80
0xfffffff008d7a448: c131fff0  adrp	x1, #0xfffffff0073b5000
0xfffffff008d7a44c: 21a02291  add	x1, x1, #0x8a8
0xfffffff008d7a450: 22ac0090  adrp	x2, #0xfffffff00a2fe000
0xfffffff008d7a454: 42c02f91  add	x2, x2, #0xbf0
0xfffffff008d7a458: 031c8052  mov	w3, #0xe0
0xfffffff008d7a45c: b7a5d597  bl	#0xfffffff0082e3b38
0xfffffff008d7a460: 106bff90  adrp	x16, #0xfffffff007ada000
0xfffffff008d7a464: 10223991  add	x16, x16, #0xe48
0xfffffff008d7a468: 10420091  add	x16, x16, #0x10
0xfffffff008d7a46c: f10300aa  mov	x17, x0
0xfffffff008d7a470: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7a474: 300ac1da  pacda	x16, x17
0xfffffff008d7a478: 100000f9  str	x16, [x0]
0xfffffff008d7a47c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d7a480: ff0f5fd6  retab	
0xfffffff008d7a484: 5f2403d5  bti	c
0xfffffff008d7a488: 00ac00f0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7a48c: 00003691  add	x0, x0, #0xd80
0xfffffff008d7a490: 99a8d517  b	#0xfffffff0082e46f4
0xfffffff008d7a494: 7f2303d5  pacibsp	
0xfffffff008d7a498: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d7a49c: fd030091  mov	x29, sp
0xfffffff008d7a4a0: c131fff0  adrp	x1, #0xfffffff0073b5000
0xfffffff008d7a4a4: 21082491  add	x1, x1, #0x902
0xfffffff008d7a4a8: 22ac0090  adrp	x2, #0xfffffff00a2fe000
0xfffffff008d7a4ac: 42a00e91  add	x2, x2, #0x3a8
0xfffffff008d7a4b0: 03328052  mov	w3, #0x190
0xfffffff008d7a4b4: a1a5d597  bl	#0xfffffff0082e3b38
0xfffffff008d7a4b8: 106bffb0  adrp	x16, #0xfffffff007adb000
0xfffffff008d7a4bc: 10420691  add	x16, x16, #0x190
0xfffffff008d7a4c0: 10420091  add	x16, x16, #0x10
0xfffffff008d7a4c4: f10300aa  mov	x17, x0
0xfffffff008d7a4c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7a4cc: 300ac1da  pacda	x16, x17
0xfffffff008d7a4d0: 100000f9  str	x16, [x0]
0xfffffff008d7a4d4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d7a4d8: ff0f5fd6  retab	
0xfffffff008d7a4dc: 5f2403d5  bti	c
0xfffffff008d7a4e0: 85a8d517  b	#0xfffffff0082e46f4
0xfffffff008d7a4e4: 7f2303d5  pacibsp	
0xfffffff008d7a4e8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d7a4ec: fd030091  mov	x29, sp
0xfffffff008d7a4f0: a8c20094  bl	#0xfffffff008daaf90
0xfffffff008d7a4f4: 106bff90  adrp	x16, #0xfffffff007ada000
0xfffffff008d7a4f8: 10823b91  add	x16, x16, #0xee0
0xfffffff008d7a4fc: 10420091  add	x16, x16, #0x10
0xfffffff008d7a500: f10300aa  mov	x17, x0
0xfffffff008d7a504: 31b4f9f2  movk	x17, #0xcda1, lsl #48
