; Candidate 6331
; ADRP+ADD at VM 0xfffffff008824ecc (fileoff 0x1820ecc): page=0x1fe9c5000 add_imm=0xe80

0xfffffff008824e4c: f70300aa  mov	x23, x0
0xfffffff008824e50: 80008052  mov	w0, #4
0xfffffff008824e54: 7f5a0194  bl	#0xfffffff00887b850
0xfffffff008824e58: d90f0034  cbz	w25, #0xfffffff008825050
0xfffffff008824e5c: f80300aa  mov	x24, x0
0xfffffff008824e60: 791240b9  ldr	w25, [x19, #0x10]
0xfffffff008824e64: 961600b4  cbz	x22, #0xfffffff008825134
0xfffffff008824e68: d00240f9  ldr	x16, [x22]
0xfffffff008824e6c: f10316aa  mov	x17, x22
0xfffffff008824e70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008824e74: 301ac1da  autda	x16, x17
0xfffffff008824e78: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008824e7c: e90310aa  mov	x9, x16
0xfffffff008824e80: e00316aa  mov	x0, x22
0xfffffff008824e84: f10309aa  mov	x17, x9
0xfffffff008824e88: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff008824e8c: 11093fd7  blraa	x8, x17
0xfffffff008824e90: aa000014  b	#0xfffffff008825138
0xfffffff008824e94: c63c0294  bl	#0xfffffff0088b41ac
0xfffffff008824e98: f60300aa  mov	x22, x0
0xfffffff008824e9c: e0008052  mov	w0, #7
0xfffffff008824ea0: 6c5a0194  bl	#0xfffffff00887b850
0xfffffff008824ea4: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008824ea8: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008824eac: e84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008824eb0: 088d0091  add	x8, x8, #0x23
0xfffffff008824eb4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008824eb8: e84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008824ebc: 08653291  add	x8, x8, #0xc99
0xfffffff008824ec0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008824ec4: e80a8052  mov	w8, #0x57
0xfffffff008824ec8: f62300a9  stp	x22, x8, [sp]
0xfffffff008824ecc: 204effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008824ed0: 00003a91  add	x0, x0, #0xe80
0xfffffff008824ed4: 218fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008824ed8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008824edc: 2351ffd0  adrp	x3, #0xfffffff00724a000
0xfffffff008824ee0: 63903d91  add	x3, x3, #0xf64
0xfffffff008824ee4: 02008052  mov	w2, #0
0xfffffff008824ee8: 9238ec97  bl	#0xfffffff008333130
0xfffffff008824eec: 54f3ffb5  cbnz	x20, #0xfffffff008824d54
0xfffffff008824ef0: e00a8052  mov	w0, #0x57
0xfffffff008824ef4: 81008052  mov	w1, #4
0xfffffff008824ef8: 365a0194  bl	#0xfffffff00887b7d0
0xfffffff008824efc: 600a0034  cbz	w0, #0xfffffff008825048
0xfffffff008824f00: e00a8052  mov	w0, #0x57
0xfffffff008824f04: 455a0194  bl	#0xfffffff00887b818
0xfffffff008824f08: f60300aa  mov	x22, x0
0xfffffff008824f0c: a83c0294  bl	#0xfffffff0088b41ac
0xfffffff008824f10: f50300aa  mov	x21, x0
0xfffffff008824f14: 80008052  mov	w0, #4
0xfffffff008824f18: 4e5a0194  bl	#0xfffffff00887b850
0xfffffff008824f1c: 36060034  cbz	w22, #0xfffffff008824fe0
0xfffffff008824f20: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008824f24: e94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff008824f28: 29c10191  add	x9, x9, #0x70
0xfffffff008824f2c: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff008824f30: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff008824f34: 48468052  mov	w8, #0x232
0xfffffff008824f38: e94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff008824f3c: 298d0091  add	x9, x9, #0x23
0xfffffff008824f40: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008824f44: e84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008824f48: 08653291  add	x8, x8, #0xc99
