; Candidate 6625
; ADRP+ADD at VM 0xfffffff008836548 (fileoff 0x1832548): page=0x1fe9b3000 add_imm=0xe80

0xfffffff0088364c8: 08c50091  add	x8, x8, #0x31
0xfffffff0088364cc: 496a8052  mov	w9, #0x352
0xfffffff0088364d0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088364d4: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff0088364d8: 08cd0891  add	x8, x8, #0x233
0xfffffff0088364dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088364e0: 280f8052  mov	w8, #0x79
0xfffffff0088364e4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088364e8: 804dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088364ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088364f0: 818effd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088364f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088364f8: c350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff0088364fc: 63340591  add	x3, x3, #0x14d
0xfffffff008836500: 02008052  mov	w2, #0
0xfffffff008836504: 0bf3eb97  bl	#0xfffffff008333130
0xfffffff008836508: 547e8012  mov	w20, #-0x3f3
0xfffffff00883650c: 18000014  b	#0xfffffff00883656c
0xfffffff008836510: 27f70194  bl	#0xfffffff0088b41ac
0xfffffff008836514: f40300aa  mov	x20, x0
0xfffffff008836518: 80008052  mov	w0, #4
0xfffffff00883651c: cd140194  bl	#0xfffffff00887b850
0xfffffff008836520: 684fff90  adrp	x8, #0xfffffff007222000
0xfffffff008836524: 08313d91  add	x8, x8, #0xf4c
0xfffffff008836528: c9698052  mov	w9, #0x34e
0xfffffff00883652c: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff008836530: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008836534: 08cd0891  add	x8, x8, #0x233
0xfffffff008836538: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883653c: 280f8052  mov	w8, #0x79
0xfffffff008836540: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008836544: f40300f9  str	x20, [sp]
0xfffffff008836548: 804dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883654c: 00003a91  add	x0, x0, #0xe80
0xfffffff008836550: 818effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008836554: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008836558: c350ff90  adrp	x3, #0xfffffff00724e000
0xfffffff00883655c: 63780491  add	x3, x3, #0x11e
0xfffffff008836560: 02008052  mov	w2, #0
0xfffffff008836564: f3f2eb97  bl	#0xfffffff008333130
0xfffffff008836568: 147d8012  mov	w20, #-0x3e9
0xfffffff00883656c: 200f8052  mov	w0, #0x79
0xfffffff008836570: c1008052  mov	w1, #6
0xfffffff008836574: 97140194  bl	#0xfffffff00887b7d0
0xfffffff008836578: c0040034  cbz	w0, #0xfffffff008836610
0xfffffff00883657c: 200f8052  mov	w0, #0x79
0xfffffff008836580: a6140194  bl	#0xfffffff00887b818
0xfffffff008836584: f60300aa  mov	x22, x0
0xfffffff008836588: 09f70194  bl	#0xfffffff0088b41ac
0xfffffff00883658c: f50300aa  mov	x21, x0
0xfffffff008836590: c0008052  mov	w0, #6
0xfffffff008836594: af140194  bl	#0xfffffff00887b850
0xfffffff008836598: 76010034  cbz	w22, #0xfffffff0088365c4
0xfffffff00883659c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088365a0: 684fffb0  adrp	x8, #0xfffffff007223000
0xfffffff0088365a4: 08cd0891  add	x8, x8, #0x233
0xfffffff0088365a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088365ac: 280f8052  mov	w8, #0x79
0xfffffff0088365b0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088365b4: e04efff0  adrp	x0, #0xfffffff007215000
0xfffffff0088365b8: 00a81591  add	x0, x0, #0x56a
0xfffffff0088365bc: a903d697  bl	#0xfffffff007db7460
0xfffffff0088365c0: 14000014  b	#0xfffffff008836610
0xfffffff0088365c4: faf60194  bl	#0xfffffff0088b41ac
